family,method,spearman_ck_mean_log_norm,spearman_ck_max_log_norm
All 5 C3,raw_sse,0.5656058171611328,0.5596049082457446
All 5 C3,relative_nre,-0.7331042114127463,-0.5036151157159265
All 5 C3,residual_mahalanobis,0.314720963857416,0.388651790161504
All 5 C3,residual_isolation_forest,0.7541126863082049,0.7170267284919929
All 5 C3,conditional_percentile_100,0.030920433298577615,0.17456363680553597
No Khovanov C3,raw_sse,0.6091836018552725,0.5175423710341776
No Khovanov C3,relative_nre,-0.7301709515108902,-0.603165556302029
No Khovanov C3,residual_mahalanobis,0.3467802887764698,0.31099498972260997
No Khovanov C3,residual_isolation_forest,0.7927337493319597,0.7350391956567291
No Khovanov C3,conditional_percentile_100,0.12307483449686572,0.157593131275034
