family,method_a,method_b,overlap,jaccard
All 5 C3,raw_sse,raw_sse,60,1.0
All 5 C3,raw_sse,relative_nre,0,0.0
All 5 C3,raw_sse,residual_mahalanobis,46,0.6216216216216216
All 5 C3,raw_sse,residual_isolation_forest,39,0.48148148148148145
All 5 C3,raw_sse,conditional_percentile_100,14,0.1320754716981132
All 5 C3,relative_nre,raw_sse,0,0.0
All 5 C3,relative_nre,relative_nre,60,1.0
All 5 C3,relative_nre,residual_mahalanobis,0,0.0
All 5 C3,relative_nre,residual_isolation_forest,0,0.0
All 5 C3,relative_nre,conditional_percentile_100,18,0.17647058823529413
All 5 C3,residual_mahalanobis,raw_sse,46,0.6216216216216216
All 5 C3,residual_mahalanobis,relative_nre,0,0.0
All 5 C3,residual_mahalanobis,residual_mahalanobis,60,1.0
All 5 C3,residual_mahalanobis,residual_isolation_forest,39,0.48148148148148145
All 5 C3,residual_mahalanobis,conditional_percentile_100,12,0.1111111111111111
All 5 C3,residual_isolation_forest,raw_sse,39,0.48148148148148145
All 5 C3,residual_isolation_forest,relative_nre,0,0.0
All 5 C3,residual_isolation_forest,residual_mahalanobis,39,0.48148148148148145
All 5 C3,residual_isolation_forest,residual_isolation_forest,60,1.0
All 5 C3,residual_isolation_forest,conditional_percentile_100,8,0.07142857142857142
All 5 C3,conditional_percentile_100,raw_sse,14,0.1320754716981132
All 5 C3,conditional_percentile_100,relative_nre,18,0.17647058823529413
All 5 C3,conditional_percentile_100,residual_mahalanobis,12,0.1111111111111111
All 5 C3,conditional_percentile_100,residual_isolation_forest,8,0.07142857142857142
All 5 C3,conditional_percentile_100,conditional_percentile_100,60,1.0
No Khovanov C3,raw_sse,raw_sse,31,1.0
No Khovanov C3,raw_sse,relative_nre,0,0.0
No Khovanov C3,raw_sse,residual_mahalanobis,13,0.2653061224489796
No Khovanov C3,raw_sse,residual_isolation_forest,21,0.5121951219512195
No Khovanov C3,raw_sse,conditional_percentile_100,4,0.06896551724137931
No Khovanov C3,relative_nre,raw_sse,0,0.0
No Khovanov C3,relative_nre,relative_nre,31,1.0
No Khovanov C3,relative_nre,residual_mahalanobis,0,0.0
No Khovanov C3,relative_nre,residual_isolation_forest,0,0.0
No Khovanov C3,relative_nre,conditional_percentile_100,5,0.08771929824561403
No Khovanov C3,residual_mahalanobis,raw_sse,13,0.2653061224489796
No Khovanov C3,residual_mahalanobis,relative_nre,0,0.0
No Khovanov C3,residual_mahalanobis,residual_mahalanobis,31,1.0
No Khovanov C3,residual_mahalanobis,residual_isolation_forest,18,0.4090909090909091
No Khovanov C3,residual_mahalanobis,conditional_percentile_100,8,0.14814814814814814
No Khovanov C3,residual_isolation_forest,raw_sse,21,0.5121951219512195
No Khovanov C3,residual_isolation_forest,relative_nre,0,0.0
No Khovanov C3,residual_isolation_forest,residual_mahalanobis,18,0.4090909090909091
No Khovanov C3,residual_isolation_forest,residual_isolation_forest,31,1.0
No Khovanov C3,residual_isolation_forest,conditional_percentile_100,4,0.06896551724137931
No Khovanov C3,conditional_percentile_100,raw_sse,4,0.06896551724137931
No Khovanov C3,conditional_percentile_100,relative_nre,5,0.08771929824561403
No Khovanov C3,conditional_percentile_100,residual_mahalanobis,8,0.14814814814814814
No Khovanov C3,conditional_percentile_100,residual_isolation_forest,4,0.06896551724137931
No Khovanov C3,conditional_percentile_100,conditional_percentile_100,31,1.0
