family,method,knot_id_base
All 5 C3,raw_sse,14a00599
All 5 C3,raw_sse,15a53675
All 5 C3,raw_sse,15a84319
All 5 C3,raw_sse,15n164604
All 5 C3,raw_sse,15n122316
All 5 C3,raw_sse,15n028185
All 5 C3,raw_sse,15a78797
All 5 C3,raw_sse,15a68100
All 5 C3,raw_sse,15a67989
All 5 C3,raw_sse,15n033596
All 5 C3,raw_sse,15n164613
All 5 C3,raw_sse,15a28356
All 5 C3,raw_sse,15a85174
All 5 C3,raw_sse,15a83101
All 5 C3,raw_sse,15a79486
All 5 C3,raw_sse,15n140504
All 5 C3,raw_sse,15n068007
All 5 C3,raw_sse,15n062615
All 5 C3,raw_sse,15a58638
All 5 C3,raw_sse,15n121327
All 5 C3,raw_sse,15n023542
All 5 C3,raw_sse,15n005291
All 5 C3,raw_sse,15a84781
All 5 C3,raw_sse,15a78827
All 5 C3,raw_sse,15a78853
All 5 C3,raw_sse,15a76600
All 5 C3,raw_sse,14n06022
All 5 C3,raw_sse,15a85260
All 5 C3,raw_sse,14a03465
All 5 C3,raw_sse,15a53143
All 5 C3,raw_sse,15a85204
All 5 C3,raw_sse,15n033377
All 5 C3,raw_sse,15n023225
All 5 C3,raw_sse,14n21324
All 5 C3,raw_sse,15a85243
All 5 C3,raw_sse,15n007953
All 5 C3,raw_sse,15n060810
All 5 C3,raw_sse,15a83824
All 5 C3,raw_sse,15n022078
All 5 C3,raw_sse,15a84776
All 5 C3,raw_sse,15a27102
All 5 C3,raw_sse,15n135860
All 5 C3,raw_sse,15a58615
All 5 C3,raw_sse,15n054096
All 5 C3,raw_sse,15n106950
All 5 C3,raw_sse,15a81590
All 5 C3,raw_sse,14a01685
All 5 C3,raw_sse,15a73064
All 5 C3,raw_sse,15a58616
All 5 C3,raw_sse,15n163311
All 5 C3,raw_sse,15a85185
All 5 C3,raw_sse,15n143746
All 5 C3,raw_sse,15a18097
All 5 C3,raw_sse,15a46121
All 5 C3,raw_sse,15a53139
All 5 C3,raw_sse,15a81987
All 5 C3,raw_sse,15n119483
All 5 C3,raw_sse,15a54872
All 5 C3,raw_sse,15n011787
All 5 C3,raw_sse,15a32461
All 5 C3,relative_nre,15n164339
All 5 C3,relative_nre,14n07560
All 5 C3,relative_nre,14n11799
All 5 C3,relative_nre,14n27326
All 5 C3,relative_nre,15n156616
All 5 C3,relative_nre,15n135142
All 5 C3,relative_nre,15n018530
All 5 C3,relative_nre,12n096
All 5 C3,relative_nre,14n18082
All 5 C3,relative_nre,15n164172
All 5 C3,relative_nre,13n2016
All 5 C3,relative_nre,15n071882
All 5 C3,relative_nre,14n25086
All 5 C3,relative_nre,14n15129
All 5 C3,relative_nre,15n083527
All 5 C3,relative_nre,15n128767
All 5 C3,relative_nre,15n089064
All 5 C3,relative_nre,14n15859
All 5 C3,relative_nre,12n475
All 5 C3,relative_nre,15n144652
