bins_per_view,metric,selected_n,observed,null_mean,null_sd,null_q025,null_q975,n_ge_observed,n_randomizations,p_emp,median_selected_cell_size,fixed_selected
20,kh_diagonal_mean,31,3.129032258064516,3.129032258064515,8.884005476064869e-16,3.129032258064516,3.129032258064516,2000,2000,1.0,1.0,29
20,kh_diagonal_ge_3_prop,31,0.967741935483871,0.9677419354838714,4.442002738032434e-16,0.967741935483871,0.967741935483871,2000,2000,1.0,1.0,29
20,kh_diagonal_ge_4_prop,31,0.16129032258064516,0.16129032258064516,0.0,0.16129032258064516,0.16129032258064516,2000,2000,1.0,1.0,29
20,kh_support_mean,31,32.03225806451613,32.079387096774184,0.04838283639202344,32.03225806451613,32.12903225806452,2000,2000,1.0,1.0,29
10,kh_diagonal_mean,31,3.129032258064516,3.071451612903225,0.03376053674239978,3.0,3.129032258064516,205,2000,0.10294852573713144,1.0,19
10,kh_diagonal_ge_3_prop,31,0.967741935483871,0.9207419354838708,0.030098456080423032,0.8709677419354839,0.967741935483871,296,2000,0.14842578710644677,1.0,19
10,kh_diagonal_ge_4_prop,31,0.16129032258064516,0.15070967741935481,0.015148459331433457,0.12903225806451613,0.16129032258064516,1344,2000,0.6721639180409795,1.0,19
10,kh_support_mean,31,32.03225806451613,31.102870967741936,0.41171543920086373,30.29032258064516,31.903225806451612,19,2000,0.009995002498750625,1.0,19
5,kh_diagonal_mean,31,3.129032258064516,2.967887096774194,0.057380031668039566,2.8701612903225806,3.064516129032258,8,2000,0.004497751124437781,5.0,3
5,kh_diagonal_ge_3_prop,31,0.967741935483871,0.8359838709677418,0.04633712869902035,0.7419354838709677,0.9354838709677419,2,2000,0.0014992503748125937,5.0,3
5,kh_diagonal_ge_4_prop,31,0.16129032258064516,0.13190322580645159,0.03423980925981286,0.06451612903225806,0.1935483870967742,688,2000,0.344327836081959,5.0,3
5,kh_support_mean,31,32.03225806451613,29.662612903225806,0.5838862344878805,28.483870967741936,30.806451612903224,0,2000,0.0004997501249375312,5.0,3
2,kh_diagonal_mean,31,3.129032258064516,2.6605322580645163,0.07496893789064707,2.5161290322580645,2.806451612903226,0,2000,0.0004997501249375312,175.0,0
2,kh_diagonal_ge_3_prop,31,0.967741935483871,0.6390806451612903,0.06983189943292925,0.5153225806451613,0.7741935483870968,0,2000,0.0004997501249375312,175.0,0
2,kh_diagonal_ge_4_prop,31,0.16129032258064516,0.021451612903225805,0.024483489127792135,0.0,0.06451612903225806,1,2000,0.0009995002498750624,175.0,0
2,kh_support_mean,31,32.03225806451613,28.29574193548387,0.7326520883539338,26.806451612903224,29.742741935483867,0,2000,0.0004997501249375312,175.0,0
1,kh_diagonal_mean,31,3.129032258064516,2.4135,0.08810815351524356,2.2580645161290325,2.5806451612903225,0,2000,0.0004997501249375312,2262.0,0
1,kh_diagonal_ge_3_prop,31,0.967741935483871,0.406258064516129,0.08564919402705486,0.25806451612903225,0.5806451612903226,0,2000,0.0004997501249375312,2262.0,0
1,kh_diagonal_ge_4_prop,31,0.16129032258064516,0.007241935483870968,0.015206208526794843,0.0,0.03225806451612903,0,2000,0.0004997501249375312,2262.0,0
1,kh_support_mean,31,32.03225806451613,26.96616129032258,0.7442913378643274,25.580645161290324,28.451612903225808,0,2000,0.0004997501249375312,2262.0,0
