knot_id_base,number_of_crossings,is_alternating,signature,relative_C3,stored_khovanov_diagonal_count,stored_khovanov_support_size
14n12096,14,0,6,0.9738214323720337,3.0,31.0
15n156616,15,0,6,0.9857614132169842,4.0,35.0
14n10139,14,0,6,0.9755028200489518,3.0,31.0
14n18082,14,0,8,0.9696286048738959,3.0,30.0
15n164172,15,0,6,0.9831009896775567,3.0,29.0
15n082934,15,0,6,0.9704586570181973,3.0,34.0
15n011498,15,0,2,0.9747153346812812,3.0,35.0
14n12222,14,0,8,0.9711397254442907,3.0,29.0
14n08510,14,0,8,0.9922741300415026,4.0,32.0
15n012332,15,0,6,0.9725337873789507,4.0,29.0
14n16230,14,0,8,0.9698201553687347,3.0,32.0
14n11463,14,0,0,0.975971054591891,3.0,29.0
15n127121,15,0,0,0.9692880706608492,3.0,32.0
15n126937,15,0,0,0.9759072044269448,3.0,35.0
14n07740,14,0,8,0.9695434713206342,3.0,29.0
15n086052,15,0,6,0.9691178035543259,3.0,35.0
14n01804,14,0,6,0.9707140576779824,3.0,34.0
14n17672,14,0,2,0.9752474193891667,3.0,31.0
14n14219,14,0,0,0.9719272108119613,3.0,32.0
15n156274,15,0,4,0.9702671065233586,3.0,32.0
15n012301,15,0,8,0.9926359476428648,4.0,31.0
14n08669,14,0,0,0.9978929445567735,3.0,29.0
15n020777,15,0,6,0.9722038948600618,3.0,37.0
15n092024,15,0,4,0.972927530062786,3.0,34.0
15n127728,15,0,0,0.9843247845056933,3.0,35.0
15n163364,15,0,6,0.9853144620623603,3.0,32.0
15n161017,15,0,6,0.9700117058635734,3.0,34.0
15n055602,15,0,6,0.993104182185804,4.0,34.0
15n089626,15,0,0,0.9866978823028626,3.0,32.0
15n137778,15,0,0,0.9984037458763435,3.0,31.0
15a85257,15,1,2,0.9770777907842929,2.0,28.0
