bins_per_view,metric,selected_n,observed,null_mean,null_sd,null_q025,null_q975,n_ge_observed,n_randomizations,p_emp,median_selected_cell_size,fixed_selected
20,kh_diagonal_mean,31,3.161290322580645,3.1458064516129034,0.016120154409317695,3.129032258064516,3.161290322580645,1040,2000,0.52023988005997,1.0,28
20,kh_diagonal_ge_3_prop,31,0.8709677419354839,0.8709677419354839,0.0,0.8709677419354839,0.8709677419354839,2000,2000,1.0,1.0,28
20,kh_diagonal_ge_4_prop,31,0.2903225806451613,0.27483870967741936,0.016120154409317723,0.25806451612903225,0.2903225806451613,1040,2000,0.52023988005997,1.0,28
20,kh_support_mean,31,31.193548387096776,31.33404838709677,0.11404660417453616,31.193548387096776,31.483870967741936,2000,2000,1.0,1.0,28
10,kh_diagonal_mean,31,3.161290322580645,3.0528870967741932,0.044446989254563245,2.967741935483871,3.129032258064516,33,2000,0.01699150424787606,2.0,16
10,kh_diagonal_ge_3_prop,31,0.8709677419354839,0.824032258064516,0.03723873707134009,0.7419354838709677,0.9032258064516129,409,2000,0.2048975512243878,2.0,16
10,kh_diagonal_ge_4_prop,31,0.2903225806451613,0.22885483870967732,0.0236792468659411,0.1935483870967742,0.2903225806451613,59,2000,0.029985007496251874,2.0,16
10,kh_support_mean,31,31.193548387096776,31.15406451612903,0.38382164335509683,30.419354838709676,31.903225806451612,972,2000,0.4862568715642179,2.0,16
5,kh_diagonal_mean,31,3.161290322580645,2.785419354838709,0.07485392152232669,2.6451612903225805,2.935483870967742,0,2000,0.0004997501249375312,7.0,4
5,kh_diagonal_ge_3_prop,31,0.8709677419354839,0.6638225806451612,0.055011983331266244,0.5483870967741935,0.7741935483870968,0,2000,0.0004997501249375312,7.0,4
5,kh_diagonal_ge_4_prop,31,0.2903225806451613,0.12159677419354838,0.039284857208372714,0.06451612903225806,0.1935483870967742,0,2000,0.0004997501249375312,7.0,4
5,kh_support_mean,31,31.193548387096776,29.526790322580645,0.607382206833727,28.354032258064517,30.741935483870968,7,2000,0.00399800099950025,7.0,4
2,kh_diagonal_mean,31,3.161290322580645,2.4718548387096777,0.07819957718591376,2.3225806451612905,2.6129032258064515,0,2000,0.0004997501249375312,196.0,1
2,kh_diagonal_ge_3_prop,31,0.8709677419354839,0.45632258064516124,0.0732496915078795,0.3225806451612903,0.5806451612903226,0,2000,0.0004997501249375312,196.0,1
2,kh_diagonal_ge_4_prop,31,0.2903225806451613,0.015532258064516129,0.02194708409108707,0.0,0.06451612903225806,0,2000,0.0004997501249375312,196.0,1
2,kh_support_mean,31,31.193548387096776,28.39682258064516,0.6806338443851065,27.096774193548388,29.806451612903224,0,2000,0.0004997501249375312,196.0,1
1,kh_diagonal_mean,31,3.161290322580645,2.464935483870968,0.087431281486303,2.2903225806451615,2.6451612903225805,0,2000,0.0004997501249375312,469.0,1
1,kh_diagonal_ge_3_prop,31,0.8709677419354839,0.4549999999999999,0.08391660470120452,0.2903225806451613,0.6129032258064516,0,2000,0.0004997501249375312,469.0,1
1,kh_diagonal_ge_4_prop,31,0.2903225806451613,0.00993548387096774,0.017259696623753294,0.0,0.06451612903225806,0,2000,0.0004997501249375312,469.0,1
1,kh_support_mean,31,31.193548387096776,27.966580645161287,0.7176024794345899,26.580645161290324,29.451612903225808,0,2000,0.0004997501249375312,469.0,1
