knot_id_base,number_of_crossings,is_alternating,signature,conditional_C3,stored_khovanov_diagonal_count,stored_khovanov_support_size
14n07560,14,0,8,0.9915074309978769,3.0,23.0
15n133702,15,0,8,0.9957446808510638,3.0,28.0
15n156616,15,0,6,0.9936305732484076,4.0,35.0
14n18082,14,0,8,0.989451476793249,3.0,30.0
15n164613,15,0,8,0.9936034115138592,3.0,35.0
15a83101,15,1,8,0.9893842887473461,2.0,30.0
15n140504,15,0,8,0.9915074309978769,4.0,26.0
15n068007,15,0,8,0.997867803837953,3.0,33.0
15n089064,15,0,8,0.9893842887473461,3.0,23.0
15n033851,15,0,6,0.9893842887473461,3.0,36.0
15n050268,15,0,4,0.989451476793249,3.0,36.0
15n093576,15,0,8,0.9915074309978769,3.0,32.0
14n08510,14,0,8,0.9936305732484076,4.0,32.0
15n163303,15,0,6,0.9936305732484076,4.0,35.0
15n159774,15,0,8,0.9936305732484076,3.0,33.0
15n012482,15,0,8,0.9893842887473461,3.0,31.0
15n062696,15,0,6,0.997867803837953,3.0,36.0
15n140634,15,0,8,0.9957537154989384,3.0,30.0
15a58615,15,1,12,0.9936842105263158,2.0,30.0
15n031888,15,0,8,0.9936305732484076,3.0,29.0
15n160317,15,0,4,0.989451476793249,3.0,36.0
15n012301,15,0,8,0.9978494623655914,4.0,31.0
15n086622,15,0,6,0.9893617021276596,3.0,35.0
15n031211,15,0,8,0.9936170212765958,3.0,36.0
15n127574,15,0,6,0.9915074309978769,3.0,32.0
15n163311,15,0,8,0.9893842887473461,4.0,28.0
15n143746,15,0,8,0.9915074309978769,4.0,26.0
15n135916,15,0,10,0.9957537154989384,2.0,26.0
15a51218,15,1,10,0.9893842887473461,2.0,30.0
15n055602,15,0,6,0.9957537154989384,4.0,34.0
15n119483,15,0,8,0.9893842887473461,4.0,30.0
