n_bins,n,nonalternating_n,abs_gap_positive_prop,mean_abs_gap,abs_gap_ge_4_prop,kh_diagonal_mean,kh_diagonal_ge_3_prop,kh_support_mean,crossing_15_prop,alternating_prop,comparison_bins,jaccard
50,66.0,57.0,0.7543859649122807,1.7543859649122806,0.12280701754385964,2.984848484848485,0.8333333333333334,29.015151515151516,0.7727272727272727,0.13636363636363635,,
100,60.0,52.0,0.7307692307692307,1.7307692307692308,0.1346153846153846,3.0166666666666666,0.85,30.133333333333333,0.8166666666666667,0.13333333333333333,,
200,47.0,40.0,0.675,1.45,0.05,2.893617021276596,0.8085106382978723,30.085106382978722,0.9361702127659575,0.14893617021276595,,
50,,,,,,,,,,,50.0,1.0
50,,,,,,,,,,,100.0,0.6363636363636364
50,,,,,,,,,,,200.0,0.43037974683544306
100,,,,,,,,,,,50.0,0.6363636363636364
100,,,,,,,,,,,100.0,1.0
100,,,,,,,,,,,200.0,0.5070422535211268
200,,,,,,,,,,,50.0,0.43037974683544306
200,,,,,,,,,,,100.0,0.5070422535211268
200,,,,,,,,,,,200.0,1.0
