method,method_label,family,n,nonalternating_n,abs_gap_positive_prop,mean_abs_gap,abs_gap_ge_4_prop,kh_diagonal_mean,kh_diagonal_ge_3_prop,kh_support_mean,crossing_15_prop,alternating_prop
raw_sse,Raw SSE,All 5 >=3/5,263,102,0.696078431372549,1.5098039215686274,0.058823529411764705,2.349809885931559,0.3193916349809886,29.988593155893536,0.9429657794676806,0.6121673003802282
raw_sse,Raw SSE,No Khovanov >=3/4,220,69,0.7391304347826086,1.6231884057971016,0.07246376811594203,2.290909090909091,0.2590909090909091,30.154545454545456,0.9363636363636364,0.6863636363636364
raw_sse,Raw SSE,Original raw strict 5/5,39,16,1.0,2.25,0.125,2.4615384615384617,0.41025641025641024,30.692307692307693,1.0,0.5897435897435898
relative_nre,Relative error,All 5 >=3/5,18,18,0.3333333333333333,0.8888888888888888,0.1111111111111111,3.388888888888889,0.9444444444444444,29.77777777777778,0.4444444444444444,0.0
relative_nre,Relative error,No Khovanov >=3/4,5,5,0.6,1.6,0.2,3.6,1.0,31.4,0.6,0.0
residual_mahalanobis,Residual Mahalanobis,All 5 >=3/5,333,139,0.6187050359712231,1.3237410071942446,0.04316546762589928,2.3363363363363363,0.30930930930930933,29.75975975975976,0.954954954954955,0.5825825825825826
residual_mahalanobis,Residual Mahalanobis,No Khovanov >=3/4,271,97,0.6082474226804123,1.3195876288659794,0.05154639175257732,2.273062730627306,0.24723247232472326,29.66789667896679,0.9704797047970479,0.6420664206642066
residual_isolation_forest,Residual Isolation Forest,All 5 >=3/5,213,90,0.8666666666666667,1.8444444444444446,0.05555555555555555,2.427230046948357,0.39906103286384975,30.568075117370892,0.9671361502347418,0.5774647887323944
residual_isolation_forest,Residual Isolation Forest,No Khovanov >=3/4,122,40,0.975,2.15,0.1,2.3688524590163933,0.32786885245901637,30.30327868852459,0.9754098360655737,0.6721311475409836
conditional_percentile_100,Conditional percentile,All 5 >=3/5,60,52,0.7307692307692307,1.7307692307692308,0.1346153846153846,3.0166666666666666,0.85,30.133333333333333,0.8166666666666667,0.13333333333333333
conditional_percentile_100,Conditional percentile,No Khovanov >=3/4,31,28,0.7857142857142857,2.0,0.21428571428571427,3.161290322580645,0.8709677419354839,31.129032258064516,0.9032258064516129,0.0967741935483871
