family,method_a,method_b,size_a,size_b,overlap,jaccard
All 5 >=3/5,raw_sse,raw_sse,263,263,263,1.0
All 5 >=3/5,raw_sse,relative_nre,263,18,1,0.0035714285714285713
All 5 >=3/5,raw_sse,residual_mahalanobis,263,333,202,0.5126903553299492
All 5 >=3/5,raw_sse,residual_isolation_forest,263,213,133,0.3877551020408163
All 5 >=3/5,raw_sse,conditional_percentile_100,263,60,23,0.07666666666666666
All 5 >=3/5,relative_nre,raw_sse,18,263,1,0.0035714285714285713
All 5 >=3/5,relative_nre,relative_nre,18,18,18,1.0
All 5 >=3/5,relative_nre,residual_mahalanobis,18,333,4,0.011527377521613832
All 5 >=3/5,relative_nre,residual_isolation_forest,18,213,1,0.004347826086956522
All 5 >=3/5,relative_nre,conditional_percentile_100,18,60,6,0.08333333333333333
All 5 >=3/5,residual_mahalanobis,raw_sse,333,263,202,0.5126903553299492
All 5 >=3/5,residual_mahalanobis,relative_nre,333,18,4,0.011527377521613832
All 5 >=3/5,residual_mahalanobis,residual_mahalanobis,333,333,333,1.0
All 5 >=3/5,residual_mahalanobis,residual_isolation_forest,333,213,148,0.37185929648241206
All 5 >=3/5,residual_mahalanobis,conditional_percentile_100,333,60,31,0.0856353591160221
All 5 >=3/5,residual_isolation_forest,raw_sse,213,263,133,0.3877551020408163
All 5 >=3/5,residual_isolation_forest,relative_nre,213,18,1,0.004347826086956522
All 5 >=3/5,residual_isolation_forest,residual_mahalanobis,213,333,148,0.37185929648241206
All 5 >=3/5,residual_isolation_forest,residual_isolation_forest,213,213,213,1.0
All 5 >=3/5,residual_isolation_forest,conditional_percentile_100,213,60,17,0.06640625
All 5 >=3/5,conditional_percentile_100,raw_sse,60,263,23,0.07666666666666666
All 5 >=3/5,conditional_percentile_100,relative_nre,60,18,6,0.08333333333333333
All 5 >=3/5,conditional_percentile_100,residual_mahalanobis,60,333,31,0.0856353591160221
All 5 >=3/5,conditional_percentile_100,residual_isolation_forest,60,213,17,0.06640625
All 5 >=3/5,conditional_percentile_100,conditional_percentile_100,60,60,60,1.0
No Khovanov >=3/4,raw_sse,raw_sse,220,220,220,1.0
No Khovanov >=3/4,raw_sse,relative_nre,220,5,0,0.0
No Khovanov >=3/4,raw_sse,residual_mahalanobis,220,271,158,0.4744744744744745
No Khovanov >=3/4,raw_sse,residual_isolation_forest,220,122,85,0.33073929961089493
No Khovanov >=3/4,raw_sse,conditional_percentile_100,220,31,10,0.04149377593360996
No Khovanov >=3/4,relative_nre,raw_sse,5,220,0,0.0
No Khovanov >=3/4,relative_nre,relative_nre,5,5,5,1.0
No Khovanov >=3/4,relative_nre,residual_mahalanobis,5,271,0,0.0
No Khovanov >=3/4,relative_nre,residual_isolation_forest,5,122,0,0.0
No Khovanov >=3/4,relative_nre,conditional_percentile_100,5,31,3,0.09090909090909091
No Khovanov >=3/4,residual_mahalanobis,raw_sse,271,220,158,0.4744744744744745
No Khovanov >=3/4,residual_mahalanobis,relative_nre,271,5,0,0.0
No Khovanov >=3/4,residual_mahalanobis,residual_mahalanobis,271,271,271,1.0
No Khovanov >=3/4,residual_mahalanobis,residual_isolation_forest,271,122,94,0.31438127090301005
No Khovanov >=3/4,residual_mahalanobis,conditional_percentile_100,271,31,16,0.055944055944055944
No Khovanov >=3/4,residual_isolation_forest,raw_sse,122,220,85,0.33073929961089493
No Khovanov >=3/4,residual_isolation_forest,relative_nre,122,5,0,0.0
No Khovanov >=3/4,residual_isolation_forest,residual_mahalanobis,122,271,94,0.31438127090301005
No Khovanov >=3/4,residual_isolation_forest,residual_isolation_forest,122,122,122,1.0
No Khovanov >=3/4,residual_isolation_forest,conditional_percentile_100,122,31,10,0.06993006993006994
No Khovanov >=3/4,conditional_percentile_100,raw_sse,31,220,10,0.04149377593360996
No Khovanov >=3/4,conditional_percentile_100,relative_nre,31,5,3,0.09090909090909091
No Khovanov >=3/4,conditional_percentile_100,residual_mahalanobis,31,271,16,0.055944055944055944
No Khovanov >=3/4,conditional_percentile_100,residual_isolation_forest,31,122,10,0.06993006993006994
No Khovanov >=3/4,conditional_percentile_100,conditional_percentile_100,31,31,31,1.0
