method,invariant,n_selected,spearman_score_log_norm,score_median,score_q99
raw_sse,Alexander,470,0.06627568368049734,0.023223098442907313,0.5881301702826209
raw_sse,Jones,470,0.5845491137773459,0.10025400571818538,2.877437024761254
raw_sse,HOMFLY-PT,470,0.16584567100830241,0.3460137260843456,6.845499643220682
raw_sse,Theta,470,0.9235469109611751,0.045761120984289395,71.68290152382416
raw_sse,Khovanov,470,0.3880188200853963,0.7402380130805937,26.606943643732404
relative_nre,Alexander,470,-0.7348501974458402,0.008013659034356501,0.5067776050223443
relative_nre,Jones,470,-0.6653830571335535,0.013468529215398425,0.2296956875723091
relative_nre,HOMFLY-PT,470,-0.781567273881623,0.024895744186742053,0.2644951965069246
relative_nre,Theta,470,-0.5875279419025115,0.021461896738297587,0.21423269983902854
relative_nre,Khovanov,470,-0.5784774038650553,0.012535068776789698,0.16352090103067687
residual_mahalanobis,Alexander,470,-0.03037153670587418,1.5862595447037242,23.598517361904857
residual_mahalanobis,Jones,470,0.2360651411784883,10.487434192892614,145.4778474395351
residual_mahalanobis,HOMFLY-PT,470,0.008974732532571647,15.704812421949581,248.370202213682
residual_mahalanobis,Theta,470,0.7531318138733742,3.5953406534261876,564.5479556189193
residual_mahalanobis,Khovanov,470,0.29595604242535273,22.074108574607152,520.8693053159947
residual_isolation_forest,Alexander,470,0.6528195825836363,0.4465744582180328,0.6434621476894525
residual_isolation_forest,Jones,470,0.7716061895611991,0.34335754516174954,0.563719845750327
residual_isolation_forest,HOMFLY-PT,470,0.7067151119244123,0.3323883219408888,0.4969023143507768
residual_isolation_forest,Theta,470,0.8519881923627927,0.3057600411079089,0.5252061931730267
residual_isolation_forest,Khovanov,470,0.2928579348723489,0.3214624536021018,0.482874269843679
conditional_percentile_100,Alexander,470,-0.0176323543659596,0.5,0.9872881355932204
conditional_percentile_100,Jones,470,-0.0030339010668410274,0.4957627118644068,0.9893842887473461
conditional_percentile_100,HOMFLY-PT,470,0.005290962193256127,0.5010615711252654,0.9893617021276596
conditional_percentile_100,Theta,470,-0.0008754848150042419,0.49361702127659574,0.9872611464968153
conditional_percentile_100,Khovanov,470,0.004404082845156832,0.5031847133757962,0.9893617021276596
