source,family,method_a,method_b,size_a,size_b,overlap,union,metric,bootstrap_unit,observed,bootstrap_mean,bootstrap_se,ci_level,ci_low,ci_high,n_valid_bootstrap
stage23_standard_scores,All 5 >=3/5,raw_sse,relative_nre,263,18,1,280,jaccard,knot category within observed union,0.0035714285714285713,0.0034542857142857144,0.0035056748152624976,0.95,0.0,0.010714285714285714,5000
stage23_standard_scores,All 5 >=3/5,raw_sse,residual_mahalanobis,263,333,202,394,jaccard,knot category within observed union,0.5126903553299492,0.5120791878172589,0.02496401130837232,0.95,0.46446700507614214,0.5609137055837563,5000
stage23_standard_scores,All 5 >=3/5,raw_sse,residual_isolation_forest,263,213,133,343,jaccard,knot category within observed union,0.3877551020408163,0.38732419825072884,0.026808918404221786,0.95,0.33527696793002915,0.4402332361516035,5000
stage23_standard_scores,All 5 >=3/5,raw_sse,conditional_percentile_100,263,60,23,300,jaccard,knot category within observed union,0.07666666666666666,0.07684866666666666,0.015298595319083407,0.95,0.04991666666666703,0.10666666666666667,5000
stage23_standard_scores,All 5 >=3/5,relative_nre,residual_mahalanobis,18,333,4,347,jaccard,knot category within observed union,0.011527377521613832,0.0115164265129683,0.0057085040535184844,0.95,0.002881844380403458,0.023054755043227664,5000
stage23_standard_scores,All 5 >=3/5,relative_nre,residual_isolation_forest,18,213,1,230,jaccard,knot category within observed union,0.004347826086956522,0.004349565217391304,0.0043255905320589505,0.95,0.0,0.013043478260869565,5000
stage23_standard_scores,All 5 >=3/5,relative_nre,conditional_percentile_100,18,60,6,72,jaccard,knot category within observed union,0.08333333333333333,0.082525,0.032414125925198344,0.95,0.027777777777777776,0.1527777777777778,5000
stage23_standard_scores,All 5 >=3/5,residual_mahalanobis,residual_isolation_forest,333,213,148,398,jaccard,knot category within observed union,0.37185929648241206,0.3715723618090452,0.023833238198817594,0.95,0.32663316582914576,0.41959798994974873,5000
stage23_standard_scores,All 5 >=3/5,residual_mahalanobis,conditional_percentile_100,333,60,31,362,jaccard,knot category within observed union,0.0856353591160221,0.08560662983425414,0.014688535627629621,0.95,0.058011049723756904,0.11602209944751381,5000
stage23_standard_scores,All 5 >=3/5,residual_isolation_forest,conditional_percentile_100,213,60,17,256,jaccard,knot category within observed union,0.06640625,0.0659578125,0.01569673494542123,0.95,0.03515625,0.09765625,5000
stage23_standard_scores,No Khovanov >=3/4,raw_sse,relative_nre,220,5,0,225,jaccard,knot category within observed union,0.0,0.0,0.0,0.95,0.0,0.0,5000
stage23_standard_scores,No Khovanov >=3/4,raw_sse,residual_mahalanobis,220,271,158,333,jaccard,knot category within observed union,0.4744744744744745,0.47445765765765774,0.027738814190286752,0.95,0.42042042042042044,0.5285285285285285,5000
stage23_standard_scores,No Khovanov >=3/4,raw_sse,residual_isolation_forest,220,122,85,257,jaccard,knot category within observed union,0.33073929961089493,0.3305346303501946,0.02892275339463748,0.95,0.2723735408560311,0.38910505836575876,5000
stage23_standard_scores,No Khovanov >=3/4,raw_sse,conditional_percentile_100,220,31,10,241,jaccard,knot category within observed union,0.04149377593360996,0.04137095435684647,0.012718368830571036,0.95,0.0206431535269714,0.06639004149377593,5000
stage23_standard_scores,No Khovanov >=3/4,relative_nre,residual_mahalanobis,5,271,0,276,jaccard,knot category within observed union,0.0,0.0,0.0,0.95,0.0,0.0,5000
stage23_standard_scores,No Khovanov >=3/4,relative_nre,residual_isolation_forest,5,122,0,127,jaccard,knot category within observed union,0.0,0.0,0.0,0.95,0.0,0.0,5000
stage23_standard_scores,No Khovanov >=3/4,relative_nre,conditional_percentile_100,5,31,3,33,jaccard,knot category within observed union,0.09090909090909091,0.09185454545454545,0.05039039142669121,0.95,0.0,0.21212121212121213,5000
stage23_standard_scores,No Khovanov >=3/4,residual_mahalanobis,residual_isolation_forest,271,122,94,299,jaccard,knot category within observed union,0.31438127090301005,0.31478662207357855,0.02658304262834206,0.95,0.2608695652173913,0.36454849498327757,5000
stage23_standard_scores,No Khovanov >=3/4,residual_mahalanobis,conditional_percentile_100,271,31,16,286,jaccard,knot category within observed union,0.055944055944055944,0.055876223776223775,0.013809614599443916,0.95,0.03146853146853147,0.08391608391608392,5000
stage23_standard_scores,No Khovanov >=3/4,residual_isolation_forest,conditional_percentile_100,122,31,10,143,jaccard,knot category within observed union,0.06993006993006994,0.06970909090909091,0.021337798726484933,0.95,0.03496503496503497,0.11188811188811189,5000
stage23B_equal_size_scores,All 5 C3,raw_sse,relative_nre,60,60,0,120,jaccard,knot category within observed union,0.0,0.0,0.0,0.95,0.0,0.0,5000
