source,family,method,metric,n_selected,bootstrap_unit,inference_target,observed,bootstrap_mean,bootstrap_se,ci_level,ci_low,ci_high,n_valid_bootstrap,member_set
stage23_standard_scores,All 5 >=3/5,raw_sse,abs_gap_positive_prop,263,canonical knot,finite-atlas empirical stability,0.696078431372549,0.6967320749458837,0.045558272960607375,0.95,0.6039603960396039,0.7843137254901961,5000,
stage23_standard_scores,All 5 >=3/5,raw_sse,mean_abs_gap,263,canonical knot,finite-atlas empirical stability,1.5098039215686274,1.510458562291479,0.10848510900015343,0.95,1.2903225806451613,1.7204301075268817,5000,
stage23_standard_scores,All 5 >=3/5,raw_sse,abs_gap_ge_4_prop,263,canonical knot,finite-atlas empirical stability,0.058823529411764705,0.05849720619985578,0.023154704305195787,0.95,0.01868726202838354,0.10752688172043011,5000,
stage23_standard_scores,All 5 >=3/5,raw_sse,kh_diagonal_mean,263,canonical knot,finite-atlas empirical stability,2.349809885931559,2.349285171102662,0.03360015914115445,0.95,2.285171102661597,2.414448669201521,5000,
stage23_standard_scores,All 5 >=3/5,raw_sse,kh_diagonal_ge_3_prop,263,canonical knot,finite-atlas empirical stability,0.3193916349809886,0.31909809885931556,0.02905433588443692,0.95,0.2623574144486692,0.376425855513308,5000,
stage23_standard_scores,All 5 >=3/5,raw_sse,kh_diagonal_ge_4_prop,263,canonical knot,finite-atlas empirical stability,0.030418250950570342,0.030187072243346005,0.010531590294420435,0.95,0.011406844106463879,0.053231939163498096,5000,
stage23_standard_scores,All 5 >=3/5,raw_sse,kh_support_mean,263,canonical knot,finite-atlas empirical stability,29.988593155893536,29.98768060836502,0.20627675453198357,0.95,29.58555133079848,30.39163498098859,5000,
stage23_standard_scores,All 5 >=3/5,raw_sse,crossing_15_prop,263,canonical knot,finite-atlas empirical stability,0.9429657794676806,0.9429832699619772,0.014313260311044532,0.95,0.9125475285171103,0.9695817490494296,5000,
stage23_standard_scores,All 5 >=3/5,raw_sse,alternating_prop,263,canonical knot,finite-atlas empirical stability,0.6121673003802282,0.6128235741444867,0.03027740466396226,0.95,0.5551330798479087,0.6730038022813688,5000,
stage23_standard_scores,No Khovanov >=3/4,raw_sse,abs_gap_positive_prop,220,canonical knot,finite-atlas empirical stability,0.7391304347826086,0.7381427626733299,0.05385965266180148,0.95,0.6296146953405019,0.8412698412698413,5000,
stage23_standard_scores,No Khovanov >=3/4,raw_sse,mean_abs_gap,220,canonical knot,finite-atlas empirical stability,1.6231884057971016,1.6207699321553912,0.13316341660290687,0.95,1.3623188405797102,1.8780672579453064,5000,
stage23_standard_scores,No Khovanov >=3/4,raw_sse,abs_gap_ge_4_prop,220,canonical knot,finite-atlas empirical stability,0.07246376811594203,0.0722422034043658,0.03114242978738893,0.95,0.015384615384615385,0.1388888888888889,5000,
