assignment,knot_id_base
baseline_canonical,13a3092
baseline_canonical,13a4878
baseline_canonical,14n01955
baseline_canonical,14n05024
baseline_canonical,14n07507
baseline_canonical,14n07560
baseline_canonical,14n08362
baseline_canonical,14n08510
baseline_canonical,14n09742
baseline_canonical,14n12201
baseline_canonical,14n15856
baseline_canonical,14n18079
baseline_canonical,14n19947
baseline_canonical,14n21324
baseline_canonical,14n23835
baseline_canonical,14n24120
baseline_canonical,14n24551
baseline_canonical,14n24763
baseline_canonical,14n24778
baseline_canonical,14n27179
baseline_canonical,14n27214
baseline_canonical,14n27436
baseline_canonical,15a41133
baseline_canonical,15a51447
baseline_canonical,15a54584
baseline_canonical,15a54597
baseline_canonical,15a54664
baseline_canonical,15a54671
baseline_canonical,15a54813
baseline_canonical,15a54846
baseline_canonical,15a58615
baseline_canonical,15a58637
baseline_canonical,15a58650
baseline_canonical,15a67050
baseline_canonical,15a68273
baseline_canonical,15a69409
baseline_canonical,15a74186
baseline_canonical,15a74300
baseline_canonical,15a74865
baseline_canonical,15a78720
baseline_canonical,15a78721
baseline_canonical,15a78727
baseline_canonical,15a78734
baseline_canonical,15a78793
baseline_canonical,15a78802
baseline_canonical,15a78843
baseline_canonical,15a81420
baseline_canonical,15a82172
baseline_canonical,15a82178
baseline_canonical,15a83944
baseline_canonical,15a84245
baseline_canonical,15a84772
baseline_canonical,15a84773
baseline_canonical,15a84775
baseline_canonical,15a84784
baseline_canonical,15a84787
baseline_canonical,15a84790
baseline_canonical,15a84832
baseline_canonical,15a84957
baseline_canonical,15a85074
baseline_canonical,15a85170
baseline_canonical,15a85171
baseline_canonical,15a85172
baseline_canonical,15a85181
baseline_canonical,15a85193
baseline_canonical,15a85204
baseline_canonical,15a85240
baseline_canonical,15a85241
baseline_canonical,15a85245
baseline_canonical,15a85246
baseline_canonical,15a85247
baseline_canonical,15a85258
baseline_canonical,15a85259
baseline_canonical,15n005173
baseline_canonical,15n005788
baseline_canonical,15n005900
baseline_canonical,15n006162
baseline_canonical,15n008500
baseline_canonical,15n012212
baseline_canonical,15n012301
baseline_canonical,15n012482
baseline_canonical,15n012642
baseline_canonical,15n013472
baseline_canonical,15n013955
baseline_canonical,15n015791
baseline_canonical,15n018530
baseline_canonical,15n018579
baseline_canonical,15n026021
baseline_canonical,15n027211
baseline_canonical,15n028035
baseline_canonical,15n031211
baseline_canonical,15n031235
baseline_canonical,15n031240
baseline_canonical,15n031888
baseline_canonical,15n032227
baseline_canonical,15n032331
baseline_canonical,15n032334
baseline_canonical,15n032574
baseline_canonical,15n032653
baseline_canonical,15n033777
baseline_canonical,15n033851
baseline_canonical,15n038323
baseline_canonical,15n038419
baseline_canonical,15n040125
baseline_canonical,15n041009
baseline_canonical,15n041132
baseline_canonical,15n043686
baseline_canonical,15n045218
baseline_canonical,15n046405
baseline_canonical,15n046450
baseline_canonical,15n046508
baseline_canonical,15n046825
baseline_canonical,15n048057
baseline_canonical,15n048979
baseline_canonical,15n050148
baseline_canonical,15n050179
baseline_canonical,15n054115
baseline_canonical,15n055347
baseline_canonical,15n055395
baseline_canonical,15n055558
baseline_canonical,15n055602
baseline_canonical,15n056608
baseline_canonical,15n057093
baseline_canonical,15n060856
baseline_canonical,15n061299
baseline_canonical,15n062629
baseline_canonical,15n062696
baseline_canonical,15n068007
baseline_canonical,15n068021
baseline_canonical,15n068323
baseline_canonical,15n079291
baseline_canonical,15n080794
baseline_canonical,15n082717
baseline_canonical,15n083035
baseline_canonical,15n084090
baseline_canonical,15n084272
baseline_canonical,15n084300
baseline_canonical,15n084461
baseline_canonical,15n086486
baseline_canonical,15n086622
baseline_canonical,15n087652
baseline_canonical,15n087971
baseline_canonical,15n088458
baseline_canonical,15n089064
baseline_canonical,15n093546
baseline_canonical,15n094282
baseline_canonical,15n094893
baseline_canonical,15n096183
