knot_id_base,number_of_crossings,is_alternating,signature,s_invariant_qc,all5_ge3,no_khovanov_ge3of4,G_abs_s_minus_sigma,G_abs_abs_s_minus_abs_sigma,khovanov_F_support_size,khovanov_F_q_minus_2t_diagonal_count
15a00001,15,1,0,0,False,False,0.0,0.0,30,2
15a00002,15,1,2,2,False,False,0.0,0.0,30,2
15a00003,15,1,0,0,False,False,0.0,0.0,30,2
15a00004,15,1,0,0,False,False,0.0,0.0,30,2
15a00005,15,1,2,2,False,False,0.0,0.0,30,2
15a00006,15,1,2,2,False,False,0.0,0.0,30,2
15a00007,15,1,2,2,False,False,0.0,0.0,30,2
15a00008,15,1,0,0,False,False,0.0,0.0,30,2
15a00009,15,1,2,2,False,False,0.0,0.0,30,2
15a00010,15,1,2,2,False,False,0.0,0.0,30,2
15a00011,15,1,4,4,False,False,0.0,0.0,30,2
15a00012,15,1,2,2,False,False,0.0,0.0,30,2
15a00013,15,1,0,0,False,False,0.0,0.0,30,2
15a00014,15,1,2,2,False,False,0.0,0.0,30,2
15a00015,15,1,0,0,False,False,0.0,0.0,30,2
15a00016,15,1,0,0,False,False,0.0,0.0,30,2
15a00017,15,1,2,2,False,False,0.0,0.0,30,2
15a00018,15,1,2,2,False,False,0.0,0.0,30,2
15a00019,15,1,2,2,False,False,0.0,0.0,30,2
15a00020,15,1,0,0,False,False,0.0,0.0,30,2
15a00021,15,1,4,4,False,False,0.0,0.0,30,2
15a00022,15,1,0,0,False,False,0.0,0.0,30,2
15a00023,15,1,0,0,False,False,0.0,0.0,30,2
15a00024,15,1,4,4,False,False,0.0,0.0,30,2
15a00025,15,1,0,0,False,False,0.0,0.0,30,2
15a00026,15,1,4,4,False,False,0.0,0.0,30,2
15a00027,15,1,2,2,False,False,0.0,0.0,30,2
15a00028,15,1,0,0,False,False,0.0,0.0,30,2
15a00029,15,1,2,2,False,False,0.0,0.0,30,2
15a00030,15,1,2,2,False,False,0.0,0.0,30,2
15a00031,15,1,0,0,False,False,0.0,0.0,30,2
15a00032,15,1,2,2,False,False,0.0,0.0,30,2
15a00033,15,1,2,2,False,False,0.0,0.0,30,2
15a00034,15,1,0,0,False,False,0.0,0.0,30,2
15a00035,15,1,6,6,False,False,0.0,0.0,30,2
15a00036,15,1,4,4,False,False,0.0,0.0,30,2
15a00037,15,1,6,6,False,False,0.0,0.0,30,2
15a00038,15,1,4,4,False,False,0.0,0.0,30,2
15a00039,15,1,2,2,False,False,0.0,0.0,30,2
15a00040,15,1,2,2,False,False,0.0,0.0,30,2
15a00041,15,1,0,0,False,False,0.0,0.0,30,2
15a00042,15,1,2,2,False,False,0.0,0.0,30,2
15a00043,15,1,0,0,False,False,0.0,0.0,30,2
15a00044,15,1,2,2,False,False,0.0,0.0,30,2
15a00045,15,1,2,2,False,False,0.0,0.0,30,2
15a00046,15,1,4,4,False,False,0.0,0.0,30,2
15a00047,15,1,0,0,False,False,0.0,0.0,30,2
15a00048,15,1,2,2,False,False,0.0,0.0,30,2
15a00049,15,1,0,0,False,False,0.0,0.0,30,2
15a00050,15,1,0,0,False,False,0.0,0.0,30,2
15a00051,15,1,2,2,False,False,0.0,0.0,30,2
15a00052,15,1,2,2,False,False,0.0,0.0,30,2
15a00053,15,1,2,2,False,False,0.0,0.0,30,2
15a00054,15,1,4,4,False,False,0.0,0.0,30,2
15a00055,15,1,2,2,False,False,0.0,0.0,30,2
15a00056,15,1,6,6,False,False,0.0,0.0,30,2
15a00057,15,1,4,4,False,False,0.0,0.0,30,2
15a00058,15,1,2,2,False,False,0.0,0.0,30,2
15a00059,15,1,0,0,False,False,0.0,0.0,30,2
15a00060,15,1,4,4,False,False,0.0,0.0,30,2
15a00061,15,1,0,0,False,False,0.0,0.0,30,2
15a00062,15,1,2,2,False,False,0.0,0.0,30,2
15a00063,15,1,2,2,False,False,0.0,0.0,30,2
15a00064,15,1,2,2,False,False,0.0,0.0,30,2
