mode,prevalence_regime,scenario,test,reps,n_per_rep,target_prevalence,median_selected_n,min_selected_n,max_selected_n,alpha,rejections,type1_rate,wilson_low,wilson_high,nominal_0_05_inside_wilson,clear_inflation_flag,status
oracle,moderate,uneven_propensity,multiplier,100,12000,0.02,240.0,212,275,0.05,7,0.07,0.03431926106727268,0.137495147390735,True,False,COMPATIBLE_WITH_0.05_AT_CURRENT_MONTE_CARLO_PRECISION
oracle,moderate,heteroskedastic,multiplier,100,12000,0.02,240.0,209,281,0.05,4,0.04,0.01566330399154762,0.0983707143588792,True,False,COMPATIBLE_WITH_0.05_AT_CURRENT_MONTE_CARLO_PRECISION
oracle,moderate,tail_difficulty,multiplier,100,12000,0.02,241.5,201,267,0.05,5,0.05,0.02154367915436796,0.11175046923191913,True,False,COMPATIBLE_WITH_0.05_AT_CURRENT_MONTE_CARLO_PRECISION
oracle,moderate,combined,multiplier,100,12000,0.02,239.5,209,270,0.05,7,0.07,0.03431926106727268,0.137495147390735,True,False,COMPATIBLE_WITH_0.05_AT_CURRENT_MONTE_CARLO_PRECISION
oracle,atlas_like,uneven_propensity,multiplier,100,60000,0.0007023592887015931,43.5,30,62,0.05,7,0.07,0.03431926106727268,0.137495147390735,True,False,COMPATIBLE_WITH_0.05_AT_CURRENT_MONTE_CARLO_PRECISION
oracle,atlas_like,heteroskedastic,multiplier,100,60000,0.0007023592887015931,42.0,28,56,0.05,5,0.05,0.02154367915436796,0.11175046923191913,True,False,COMPATIBLE_WITH_0.05_AT_CURRENT_MONTE_CARLO_PRECISION
oracle,atlas_like,tail_difficulty,multiplier,100,60000,0.0007023592887015931,42.0,28,66,0.05,6,0.06,0.027786123963188192,0.1247681544589592,True,False,COMPATIBLE_WITH_0.05_AT_CURRENT_MONTE_CARLO_PRECISION
oracle,atlas_like,combined,multiplier,100,60000,0.0007023592887015931,43.0,30,58,0.05,7,0.07,0.03431926106727268,0.137495147390735,True,False,COMPATIBLE_WITH_0.05_AT_CURRENT_MONTE_CARLO_PRECISION
estimated,moderate,uneven_propensity,multiplier,30,12000,0.02,244.0,222,269,0.05,5,0.16666666666666666,0.0733654237184855,0.3356435050641603,False,True,CLEAR_INFLATION
estimated,moderate,heteroskedastic,multiplier,30,12000,0.02,240.0,213,299,0.05,3,0.1,0.03459988874733419,0.25621082579184085,True,False,COMPATIBLE_WITH_0.05_AT_CURRENT_MONTE_CARLO_PRECISION
estimated,moderate,tail_difficulty,multiplier,30,12000,0.02,240.0,211,279,0.05,9,0.3,0.16664748268243793,0.47875787458714947,False,True,CLEAR_INFLATION
estimated,moderate,combined,multiplier,30,12000,0.02,239.0,209,271,0.05,7,0.23333333333333334,0.11792388144489496,0.40928326158122164,False,True,CLEAR_INFLATION
estimated,atlas_like,uneven_propensity,multiplier,30,60000,0.0007023592887015931,42.0,28,60,0.05,6,0.2,0.0950510717728987,0.3730569641314825,False,True,CLEAR_INFLATION
estimated,atlas_like,heteroskedastic,multiplier,30,60000,0.0007023592887015931,44.5,30,56,0.05,4,0.13333333333333333,0.053096554840547455,0.296813266820363,False,True,CLEAR_INFLATION
estimated,atlas_like,tail_difficulty,multiplier,30,60000,0.0007023592887015931,41.5,25,54,0.05,5,0.16666666666666666,0.0733654237184855,0.3356435050641603,False,True,CLEAR_INFLATION
estimated,atlas_like,combined,multiplier,30,60000,0.0007023592887015931,43.0,27,54,0.05,5,0.16666666666666666,0.0733654237184855,0.3356435050641603,False,True,CLEAR_INFLATION
