mode,prevalence_regime,scenario,replicate,n,target_prevalence,selected_n,realized_prevalence,gcm_stat,normal_p,multiplier_p,multiplier_reps
estimated,atlas_like,combined,0,60000,0.0007023592887015931,46,0.0007666666666666667,0.5505918394817837,0.29095675211735716,0.305,399
estimated,atlas_like,combined,1,60000,0.0007023592887015931,45,0.00075,-0.3507488091550047,0.6371115977391648,0.615,399
estimated,atlas_like,combined,2,60000,0.0007023592887015931,30,0.0005,-1.6032847944978894,0.9455641040128734,0.95,399
estimated,atlas_like,combined,3,60000,0.0007023592887015931,44,0.0007333333333333333,0.19828022846384974,0.42141290999243,0.4275,399
estimated,atlas_like,combined,4,60000,0.0007023592887015931,48,0.0008,1.8355808396914581,0.03320983652658562,0.0225,399
estimated,atlas_like,combined,5,60000,0.0007023592887015931,36,0.0006,0.45286909178216134,0.32532150421584416,0.365,399
estimated,atlas_like,combined,6,60000,0.0007023592887015931,53,0.0008833333333333333,0.5922081349664556,0.2768556113215972,0.2575,399
estimated,atlas_like,combined,7,60000,0.0007023592887015931,38,0.0006333333333333333,0.785645920845243,0.21603747685954366,0.2425,399
estimated,atlas_like,combined,8,60000,0.0007023592887015931,27,0.00045,-0.06318373013772956,0.5251898998199289,0.5475,399
estimated,atlas_like,combined,9,60000,0.0007023592887015931,54,0.0009,1.5592589592736554,0.0594675505843789,0.045,399
estimated,atlas_like,combined,10,60000,0.0007023592887015931,45,0.00075,0.6851019170555515,0.2466398053126822,0.2375,399
estimated,atlas_like,combined,11,60000,0.0007023592887015931,41,0.0006833333333333333,1.4202398704529886,0.0777689299389609,0.0725,399
estimated,atlas_like,combined,12,60000,0.0007023592887015931,41,0.0006833333333333333,0.7810435285676836,0.21738844689010145,0.2525,399
estimated,atlas_like,combined,13,60000,0.0007023592887015931,50,0.0008333333333333334,0.9792125269449174,0.16373749014493655,0.165,399
estimated,atlas_like,combined,14,60000,0.0007023592887015931,44,0.0007333333333333333,0.8760305284753013,0.19050671884367604,0.21,399
estimated,atlas_like,combined,15,60000,0.0007023592887015931,39,0.00065,1.5405578591235574,0.061712215416405466,0.055,399
estimated,atlas_like,combined,16,60000,0.0007023592887015931,49,0.0008166666666666667,-0.4300908685304352,0.666435228879179,0.6525,399
estimated,atlas_like,combined,17,60000,0.0007023592887015931,44,0.0007333333333333333,0.6307256195178939,0.26410997231179134,0.26,399
estimated,atlas_like,combined,18,60000,0.0007023592887015931,37,0.0006166666666666666,1.1012948078569533,0.13538418509863204,0.1675,399
estimated,atlas_like,combined,19,60000,0.0007023592887015931,43,0.0007166666666666667,1.6309568551412845,0.05144971181292589,0.065,399
estimated,atlas_like,combined,20,60000,0.0007023592887015931,49,0.0008166666666666667,2.6188145506759413,0.004411795064806067,0.005,399
estimated,atlas_like,combined,21,60000,0.0007023592887015931,44,0.0007333333333333333,2.019755606883776,0.02170437199784403,0.01,399
estimated,atlas_like,combined,22,60000,0.0007023592887015931,36,0.0006,1.45231926644683,0.0732064264029073,0.0725,399
estimated,atlas_like,combined,23,60000,0.0007023592887015931,49,0.0008166666666666667,0.43905038390879986,0.33031251457420363,0.35,399
estimated,atlas_like,combined,24,60000,0.0007023592887015931,37,0.0006166666666666666,1.1397660447238127,0.12719189176847667,0.1325,399
estimated,atlas_like,combined,25,60000,0.0007023592887015931,43,0.0007166666666666667,1.0416143129834439,0.14879526503787854,0.135,399
estimated,atlas_like,combined,26,60000,0.0007023592887015931,42,0.0007,-0.7552977070153567,0.7749648129010531,0.8025,399
estimated,atlas_like,combined,27,60000,0.0007023592887015931,41,0.0006833333333333333,1.9244643843189295,0.027148200432599218,0.0175,399
estimated,atlas_like,combined,28,60000,0.0007023592887015931,33,0.00055,0.6758070553025551,0.24958157733276304,0.225,399
estimated,atlas_like,combined,29,60000,0.0007023592887015931,42,0.0007,-1.1112731935135232,0.866774612867892,0.8625,399
