mode,prevalence_regime,scenario,replicate,n,target_prevalence,selected_n,realized_prevalence,gcm_stat,normal_p,multiplier_p,multiplier_reps
estimated,atlas_like,heteroskedastic,0,60000,0.0007023592887015931,36,0.0006,1.8284918811787618,0.0337378815233586,0.035,399
estimated,atlas_like,heteroskedastic,1,60000,0.0007023592887015931,51,0.00085,1.0340836441418626,0.15054853090646053,0.1525,399
estimated,atlas_like,heteroskedastic,2,60000,0.0007023592887015931,42,0.0007,2.019801412088585,0.021701995313032876,0.035,399
estimated,atlas_like,heteroskedastic,3,60000,0.0007023592887015931,40,0.0006666666666666666,1.564884846727569,0.0588049561865105,0.065,399
estimated,atlas_like,heteroskedastic,4,60000,0.0007023592887015931,47,0.0007833333333333334,1.506829878346533,0.06592713446561149,0.0875,399
estimated,atlas_like,heteroskedastic,5,60000,0.0007023592887015931,51,0.00085,1.1785196878630615,0.11929474409291502,0.0975,399
estimated,atlas_like,heteroskedastic,6,60000,0.0007023592887015931,41,0.0006833333333333333,0.051863779063591665,0.47931861776693924,0.4825,399
estimated,atlas_like,heteroskedastic,7,60000,0.0007023592887015931,42,0.0007,1.581199536282478,0.05691621068603392,0.055,399
estimated,atlas_like,heteroskedastic,8,60000,0.0007023592887015931,35,0.0005833333333333334,-0.31579868229406743,0.6239223408250988,0.6125,399
estimated,atlas_like,heteroskedastic,9,60000,0.0007023592887015931,52,0.0008666666666666666,1.0087638573689222,0.15654394920003584,0.1625,399
estimated,atlas_like,heteroskedastic,10,60000,0.0007023592887015931,44,0.0007333333333333333,1.583457890142539,0.05665856865254743,0.04,399
estimated,atlas_like,heteroskedastic,11,60000,0.0007023592887015931,45,0.00075,1.4773747538820996,0.06978760484823553,0.0725,399
estimated,atlas_like,heteroskedastic,12,60000,0.0007023592887015931,47,0.0007833333333333334,0.09870227774209057,0.46068733016106256,0.4775,399
estimated,atlas_like,heteroskedastic,13,60000,0.0007023592887015931,46,0.0007666666666666667,2.0158738492899073,0.021906584386687467,0.02,399
estimated,atlas_like,heteroskedastic,14,60000,0.0007023592887015931,30,0.0005,1.7769401776087788e-05,0.49999291103433446,0.505,399
estimated,atlas_like,heteroskedastic,15,60000,0.0007023592887015931,37,0.0006166666666666666,1.3449368014611822,0.08932282223180293,0.105,399
estimated,atlas_like,heteroskedastic,16,60000,0.0007023592887015931,45,0.00075,-0.3530312423580178,0.6379674907052495,0.6325,399
estimated,atlas_like,heteroskedastic,17,60000,0.0007023592887015931,37,0.0006166666666666666,0.0008831673781833251,0.49964766723797377,0.475,399
estimated,atlas_like,heteroskedastic,18,60000,0.0007023592887015931,47,0.0007833333333333334,1.4767316391372294,0.06987379376341375,0.06,399
estimated,atlas_like,heteroskedastic,19,60000,0.0007023592887015931,47,0.0007833333333333334,-0.17578483869141542,0.5697685094342266,0.5925,399
estimated,atlas_like,heteroskedastic,20,60000,0.0007023592887015931,41,0.0006833333333333333,-0.2072023626744332,0.5820740888965205,0.5675,399
estimated,atlas_like,heteroskedastic,21,60000,0.0007023592887015931,43,0.0007166666666666667,-0.38061944037269335,0.6482571730502616,0.6475,399
estimated,atlas_like,heteroskedastic,22,60000,0.0007023592887015931,54,0.0009,0.9070071203030179,0.18220151595804107,0.185,399
estimated,atlas_like,heteroskedastic,23,60000,0.0007023592887015931,47,0.0007833333333333334,1.6279953526974424,0.05176293559255078,0.05,399
estimated,atlas_like,heteroskedastic,24,60000,0.0007023592887015931,56,0.0009333333333333333,-1.2672172639333972,0.8974611927853724,0.8775,399
estimated,atlas_like,heteroskedastic,25,60000,0.0007023592887015931,35,0.0005833333333333334,-0.09881148211515992,0.5393560241486333,0.505,399
estimated,atlas_like,heteroskedastic,26,60000,0.0007023592887015931,47,0.0007833333333333334,-1.1493235350823767,0.8747887015118538,0.8625,399
estimated,atlas_like,heteroskedastic,27,60000,0.0007023592887015931,41,0.0006833333333333333,0.490754570508693,0.3118000224121111,0.33,399
estimated,atlas_like,heteroskedastic,28,60000,0.0007023592887015931,48,0.0008,1.0288709745292612,0.15177015469199556,0.16,399
estimated,atlas_like,heteroskedastic,29,60000,0.0007023592887015931,38,0.0006333333333333333,1.0360057034350671,0.15009974085894245,0.1325,399
