mode,prevalence_regime,scenario,replicate,n,target_prevalence,selected_n,realized_prevalence,gcm_stat,normal_p,multiplier_p,multiplier_reps
estimated,atlas_like,tail_difficulty,0,60000,0.0007023592887015931,37,0.0006166666666666666,-0.9040308277417192,0.8170104724564307,0.8425,399
estimated,atlas_like,tail_difficulty,1,60000,0.0007023592887015931,41,0.0006833333333333333,1.2812480161578172,0.10005328277342701,0.085,399
estimated,atlas_like,tail_difficulty,2,60000,0.0007023592887015931,47,0.0007833333333333334,0.4125211128396686,0.33997875453789805,0.37,399
estimated,atlas_like,tail_difficulty,3,60000,0.0007023592887015931,45,0.00075,0.7913110503834313,0.21438125079276382,0.2325,399
estimated,atlas_like,tail_difficulty,4,60000,0.0007023592887015931,42,0.0007,0.631869829446031,0.26373596973611035,0.2725,399
estimated,atlas_like,tail_difficulty,5,60000,0.0007023592887015931,40,0.0006666666666666666,0.9919349106527491,0.16061463893215838,0.1675,399
estimated,atlas_like,tail_difficulty,6,60000,0.0007023592887015931,31,0.0005166666666666667,0.3730639359537524,0.35455042956333627,0.365,399
estimated,atlas_like,tail_difficulty,7,60000,0.0007023592887015931,44,0.0007333333333333333,1.771986807326589,0.03819837359909998,0.0375,399
estimated,atlas_like,tail_difficulty,8,60000,0.0007023592887015931,34,0.0005666666666666667,1.4146131383595562,0.07859097725678485,0.085,399
estimated,atlas_like,tail_difficulty,9,60000,0.0007023592887015931,38,0.0006333333333333333,0.5054329473212898,0.3066273913624693,0.3125,399
estimated,atlas_like,tail_difficulty,10,60000,0.0007023592887015931,43,0.0007166666666666667,0.7540747184393509,0.2254021785651063,0.275,399
estimated,atlas_like,tail_difficulty,11,60000,0.0007023592887015931,25,0.0004166666666666667,0.3361530547154408,0.36837772596275065,0.3725,399
estimated,atlas_like,tail_difficulty,12,60000,0.0007023592887015931,34,0.0005666666666666667,0.789048566658865,0.2150418106894933,0.2225,399
estimated,atlas_like,tail_difficulty,13,60000,0.0007023592887015931,31,0.0005166666666666667,-0.7282354912754898,0.7667652782761973,0.8025,399
estimated,atlas_like,tail_difficulty,14,60000,0.0007023592887015931,47,0.0007833333333333334,0.6098551551371033,0.2709788806472551,0.305,399
estimated,atlas_like,tail_difficulty,15,60000,0.0007023592887015931,35,0.0005833333333333334,1.4998291280035914,0.06682933503530132,0.07,399
estimated,atlas_like,tail_difficulty,16,60000,0.0007023592887015931,54,0.0009,1.7799242942454352,0.0375441755994517,0.0325,399
estimated,atlas_like,tail_difficulty,17,60000,0.0007023592887015931,36,0.0006,2.378983771795133,0.008680220115499545,0.01,399
estimated,atlas_like,tail_difficulty,18,60000,0.0007023592887015931,47,0.0007833333333333334,1.4466582653382973,0.073996329381175,0.0675,399
estimated,atlas_like,tail_difficulty,19,60000,0.0007023592887015931,44,0.0007333333333333333,0.22988869188200528,0.4090891317971007,0.39,399
estimated,atlas_like,tail_difficulty,20,60000,0.0007023592887015931,43,0.0007166666666666667,0.7382680657069411,0.23017578406722616,0.2575,399
estimated,atlas_like,tail_difficulty,21,60000,0.0007023592887015931,41,0.0006833333333333333,2.6856320910771707,0.0036196376705372305,0.0025,399
estimated,atlas_like,tail_difficulty,22,60000,0.0007023592887015931,42,0.0007,1.556488328759958,0.059796007926653405,0.07,399
estimated,atlas_like,tail_difficulty,23,60000,0.0007023592887015931,40,0.0006666666666666666,-0.34700621172510304,0.6357066739399135,0.615,399
estimated,atlas_like,tail_difficulty,24,60000,0.0007023592887015931,40,0.0006666666666666666,0.9830296362502986,0.16279642643244574,0.1575,399
estimated,atlas_like,tail_difficulty,25,60000,0.0007023592887015931,54,0.0009,0.40539283040548374,0.342594390103144,0.335,399
estimated,atlas_like,tail_difficulty,26,60000,0.0007023592887015931,45,0.00075,2.069624568940144,0.019243757731026014,0.0175,399
estimated,atlas_like,tail_difficulty,27,60000,0.0007023592887015931,42,0.0007,-0.0263337917978168,0.5105044488531847,0.5125,399
estimated,atlas_like,tail_difficulty,28,60000,0.0007023592887015931,39,0.00065,1.6595687105255104,0.0485006236404733,0.055,399
estimated,atlas_like,tail_difficulty,29,60000,0.0007023592887015931,47,0.0007833333333333334,-0.5841010816365737,0.7204238464252724,0.7025,399
