mode,prevalence_regime,scenario,replicate,n,target_prevalence,selected_n,realized_prevalence,gcm_stat,normal_p,multiplier_p,multiplier_reps
estimated,atlas_like,uneven_propensity,0,60000,0.0007023592887015931,47,0.0007833333333333334,0.16501096856709524,0.4344676743691343,0.4175,399
estimated,atlas_like,uneven_propensity,1,60000,0.0007023592887015931,43,0.0007166666666666667,2.715528592157807,0.003308503121379712,0.0025,399
estimated,atlas_like,uneven_propensity,2,60000,0.0007023592887015931,60,0.001,0.39045487567239767,0.34810010825772486,0.385,399
estimated,atlas_like,uneven_propensity,3,60000,0.0007023592887015931,32,0.0005333333333333334,0.5908746915918041,0.2773021922684543,0.2625,399
estimated,atlas_like,uneven_propensity,4,60000,0.0007023592887015931,37,0.0006166666666666666,-0.4462300243359865,0.6722844514936371,0.6825,399
estimated,atlas_like,uneven_propensity,5,60000,0.0007023592887015931,42,0.0007,0.1441018326903891,0.44271002877516386,0.4425,399
estimated,atlas_like,uneven_propensity,6,60000,0.0007023592887015931,33,0.00055,-0.5588946642068356,0.7118831944164151,0.69,399
estimated,atlas_like,uneven_propensity,7,60000,0.0007023592887015931,38,0.0006333333333333333,0.9278604358099221,0.17673998480024183,0.1825,399
estimated,atlas_like,uneven_propensity,8,60000,0.0007023592887015931,37,0.0006166666666666666,0.3144221148252754,0.3766002310070375,0.3525,399
estimated,atlas_like,uneven_propensity,9,60000,0.0007023592887015931,29,0.00048333333333333334,0.3483259981499556,0.3637976856194043,0.405,399
estimated,atlas_like,uneven_propensity,10,60000,0.0007023592887015931,39,0.00065,1.1333719202416457,0.1285290504247225,0.14,399
estimated,atlas_like,uneven_propensity,11,60000,0.0007023592887015931,43,0.0007166666666666667,1.5439393704438966,0.061301510597856664,0.08,399
estimated,atlas_like,uneven_propensity,12,60000,0.0007023592887015931,43,0.0007166666666666667,1.8662381417035687,0.031004027469828346,0.0225,399
estimated,atlas_like,uneven_propensity,13,60000,0.0007023592887015931,48,0.0008,2.006348193705163,0.022409555747889047,0.02,399
estimated,atlas_like,uneven_propensity,14,60000,0.0007023592887015931,45,0.00075,0.0554305334176387,0.4778977355371083,0.5075,399
estimated,atlas_like,uneven_propensity,15,60000,0.0007023592887015931,50,0.0008333333333333334,1.4553112212195716,0.07279156075681127,0.0675,399
estimated,atlas_like,uneven_propensity,16,60000,0.0007023592887015931,50,0.0008333333333333334,1.0080642823783406,0.15671180159525422,0.1475,399
estimated,atlas_like,uneven_propensity,17,60000,0.0007023592887015931,46,0.0007666666666666667,-0.4136904976837454,0.6604496064764891,0.6275,399
estimated,atlas_like,uneven_propensity,18,60000,0.0007023592887015931,37,0.0006166666666666666,1.0469475307087257,0.14756188918087776,0.1975,399
estimated,atlas_like,uneven_propensity,19,60000,0.0007023592887015931,47,0.0007833333333333334,-0.017894323201449753,0.5071384211403586,0.5225,399
estimated,atlas_like,uneven_propensity,20,60000,0.0007023592887015931,33,0.00055,1.6874669841986254,0.04575679659752584,0.0475,399
estimated,atlas_like,uneven_propensity,21,60000,0.0007023592887015931,49,0.0008166666666666667,-1.34641283886866,0.9109152936677971,0.905,399
estimated,atlas_like,uneven_propensity,22,60000,0.0007023592887015931,33,0.00055,2.252312052737332,0.012151279516190452,0.01,399
estimated,atlas_like,uneven_propensity,23,60000,0.0007023592887015931,39,0.00065,2.0490020623591803,0.020230956629250136,0.0325,399
estimated,atlas_like,uneven_propensity,24,60000,0.0007023592887015931,38,0.0006333333333333333,0.11438302671758815,0.4544670841997283,0.4525,399
estimated,atlas_like,uneven_propensity,25,60000,0.0007023592887015931,39,0.00065,0.8104875629550935,0.20883000511151406,0.2,399
estimated,atlas_like,uneven_propensity,26,60000,0.0007023592887015931,43,0.0007166666666666667,1.4660599922862578,0.07131597190501188,0.07,399
estimated,atlas_like,uneven_propensity,27,60000,0.0007023592887015931,42,0.0007,-0.8366883969096472,0.7986161285421993,0.805,399
estimated,atlas_like,uneven_propensity,28,60000,0.0007023592887015931,28,0.00046666666666666666,0.951248842053465,0.1707390348929601,0.1675,399
estimated,atlas_like,uneven_propensity,29,60000,0.0007023592887015931,46,0.0007666666666666667,1.3863622340691661,0.08281816113853546,0.065,399
