mode,prevalence_regime,scenario,replicate,n,target_prevalence,selected_n,realized_prevalence,gcm_stat,normal_p,multiplier_p,multiplier_reps
estimated,moderate,combined,0,12000,0.02,233,0.019416666666666665,0.8840352820888093,0.18833858357627603,0.185,399
estimated,moderate,combined,1,12000,0.02,239,0.019916666666666666,0.49787299494778053,0.3092867812299578,0.295,399
estimated,moderate,combined,2,12000,0.02,254,0.021166666666666667,-0.06081685263113481,0.5242474656469477,0.5125,399
estimated,moderate,combined,3,12000,0.02,218,0.018166666666666668,-0.26159050761713504,0.6031814184602453,0.56,399
estimated,moderate,combined,4,12000,0.02,271,0.022583333333333334,2.8016044975564895,0.002542458499152336,0.005,399
estimated,moderate,combined,5,12000,0.02,243,0.02025,2.1797324468966854,0.014638649965006079,0.0175,399
estimated,moderate,combined,6,12000,0.02,209,0.017416666666666667,1.030120124635387,0.15147680962728605,0.14,399
estimated,moderate,combined,7,12000,0.02,263,0.021916666666666668,-0.7337044483462115,0.7684355565988821,0.77,399
estimated,moderate,combined,8,12000,0.02,236,0.019666666666666666,1.176723998503788,0.11965284298651185,0.1225,399
estimated,moderate,combined,9,12000,0.02,243,0.02025,1.4842153659763149,0.06887589728740103,0.075,399
estimated,moderate,combined,10,12000,0.02,270,0.0225,-0.8784759089467722,0.8101572470653755,0.8075,399
estimated,moderate,combined,11,12000,0.02,234,0.0195,0.44274168151487614,0.3289762950119848,0.3325,399
estimated,moderate,combined,12,12000,0.02,245,0.020416666666666666,0.5841278583091649,0.2795671466140005,0.2725,399
estimated,moderate,combined,13,12000,0.02,254,0.021166666666666667,1.1259372940831,0.13009603110521512,0.1175,399
estimated,moderate,combined,14,12000,0.02,253,0.021083333333333332,-0.6170862896389117,0.7314110943014012,0.7375,399
estimated,moderate,combined,15,12000,0.02,242,0.020166666666666666,0.6795593765822718,0.24839174959867344,0.265,399
estimated,moderate,combined,16,12000,0.02,231,0.01925,-0.045416731435559236,0.5181124275045351,0.485,399
estimated,moderate,combined,17,12000,0.02,244,0.02033333333333333,1.7237514602441217,0.04237636035716527,0.0475,399
estimated,moderate,combined,18,12000,0.02,239,0.019916666666666666,0.956720625741296,0.16935414232665202,0.1875,399
estimated,moderate,combined,19,12000,0.02,244,0.02033333333333333,1.3801833046618428,0.08376510654542574,0.07,399
estimated,moderate,combined,20,12000,0.02,219,0.01825,1.5158682594495905,0.06477633382343304,0.05,399
estimated,moderate,combined,21,12000,0.02,244,0.02033333333333333,2.1884066644738063,0.014319996631717605,0.0175,399
estimated,moderate,combined,22,12000,0.02,222,0.0185,0.9195099373259703,0.1789144551424704,0.2075,399
estimated,moderate,combined,23,12000,0.02,233,0.019416666666666665,-1.6932696684499546,0.9547979255895999,0.945,399
estimated,moderate,combined,24,12000,0.02,219,0.01825,2.654926161442509,0.003966288505997504,0.015,399
estimated,moderate,combined,25,12000,0.02,228,0.019,1.7262391285692473,0.04215220066070064,0.035,399
estimated,moderate,combined,26,12000,0.02,228,0.019,1.8817292105567867,0.029936395773657434,0.035,399
estimated,moderate,combined,27,12000,0.02,235,0.019583333333333335,1.14995067530184,0.12508209366953732,0.15,399
estimated,moderate,combined,28,12000,0.02,259,0.021583333333333333,0.876399020553711,0.19040657530791189,0.1625,399
estimated,moderate,combined,29,12000,0.02,210,0.0175,0.3663043552773867,0.3570689900362687,0.3825,399
