mode,prevalence_regime,scenario,replicate,n,target_prevalence,selected_n,realized_prevalence,gcm_stat,normal_p,multiplier_p,multiplier_reps
estimated,moderate,heteroskedastic,0,12000,0.02,229,0.019083333333333334,1.0269275181728144,0.15222729773177573,0.1125,399
estimated,moderate,heteroskedastic,1,12000,0.02,248,0.020666666666666667,0.781264792959472,0.21732338630697123,0.26,399
estimated,moderate,heteroskedastic,2,12000,0.02,231,0.01925,0.1267099551679102,0.4495849831341064,0.4875,399
estimated,moderate,heteroskedastic,3,12000,0.02,240,0.02,0.11968797740568222,0.4523651622663784,0.4625,399
estimated,moderate,heteroskedastic,4,12000,0.02,238,0.019833333333333335,0.541502374097325,0.29408068086054406,0.3275,399
estimated,moderate,heteroskedastic,5,12000,0.02,237,0.01975,-0.8037872032497326,0.7892400592594062,0.8075,399
estimated,moderate,heteroskedastic,6,12000,0.02,231,0.01925,0.8791537186765824,0.18965896724692521,0.185,399
estimated,moderate,heteroskedastic,7,12000,0.02,263,0.021916666666666668,-0.22210942491628877,0.5878856494609609,0.5875,399
estimated,moderate,heteroskedastic,8,12000,0.02,249,0.02075,0.9205006948355633,0.178655585045067,0.185,399
estimated,moderate,heteroskedastic,9,12000,0.02,261,0.02175,-0.35675515667930585,0.6393624450991597,0.67,399
estimated,moderate,heteroskedastic,10,12000,0.02,249,0.02075,1.7258548043931872,0.0421867686752203,0.045,399
estimated,moderate,heteroskedastic,11,12000,0.02,220,0.018333333333333333,0.6219791871647028,0.26697777679726814,0.2875,399
estimated,moderate,heteroskedastic,12,12000,0.02,231,0.01925,-0.580512200248069,0.7192153690942285,0.7225,399
estimated,moderate,heteroskedastic,13,12000,0.02,244,0.02033333333333333,2.4865787257377434,0.0064489014551435886,0.01,399
estimated,moderate,heteroskedastic,14,12000,0.02,227,0.018916666666666665,0.7204436087662823,0.23562595407294984,0.235,399
estimated,moderate,heteroskedastic,15,12000,0.02,240,0.02,-0.18371277851974493,0.5728806081371892,0.5875,399
estimated,moderate,heteroskedastic,16,12000,0.02,216,0.018,-0.15112840659911092,0.5600627876862916,0.5525,399
estimated,moderate,heteroskedastic,17,12000,0.02,213,0.01775,-0.89581626054731,0.8148245480577258,0.7925,399
estimated,moderate,heteroskedastic,18,12000,0.02,289,0.024083333333333335,0.38246344399348825,0.3510588195216397,0.3725,399
estimated,moderate,heteroskedastic,19,12000,0.02,249,0.02075,-0.16430748319690142,0.56525545449153,0.54,399
estimated,moderate,heteroskedastic,20,12000,0.02,235,0.019583333333333335,-0.6752476129839015,0.7502407694738366,0.7125,399
estimated,moderate,heteroskedastic,21,12000,0.02,253,0.021083333333333332,-1.7463493084407675,0.9596248636814935,0.955,399
estimated,moderate,heteroskedastic,22,12000,0.02,243,0.02025,0.40751726803075594,0.3418140570219571,0.3325,399
estimated,moderate,heteroskedastic,23,12000,0.02,299,0.024916666666666667,-0.5342910449894169,0.7034299065658022,0.7125,399
estimated,moderate,heteroskedastic,24,12000,0.02,230,0.019166666666666665,1.5044719879003223,0.06622994036786822,0.07,399
estimated,moderate,heteroskedastic,25,12000,0.02,232,0.019333333333333334,0.435696525388916,0.3315284635212946,0.2875,399
estimated,moderate,heteroskedastic,26,12000,0.02,266,0.022166666666666668,-0.2766551767586915,0.6089775536791118,0.605,399
estimated,moderate,heteroskedastic,27,12000,0.02,227,0.018916666666666665,-0.656927508946781,0.7443862354635019,0.715,399
estimated,moderate,heteroskedastic,28,12000,0.02,252,0.021,-0.2733198309724015,0.607696313712777,0.6175,399
estimated,moderate,heteroskedastic,29,12000,0.02,244,0.02033333333333333,1.7281913025233226,0.04197696626878375,0.04,399
