mode,prevalence_regime,scenario,replicate,n,target_prevalence,selected_n,realized_prevalence,gcm_stat,normal_p,multiplier_p,multiplier_reps
estimated,moderate,tail_difficulty,0,12000,0.02,220,0.018333333333333333,-1.3901581223552324,0.9177595665278425,0.9175,399
estimated,moderate,tail_difficulty,1,12000,0.02,263,0.021916666666666668,2.0844997128556138,0.018557368157199224,0.0275,399
estimated,moderate,tail_difficulty,2,12000,0.02,211,0.017583333333333333,0.15929091756138672,0.4367198380669689,0.4475,399
estimated,moderate,tail_difficulty,3,12000,0.02,263,0.021916666666666668,0.5630194911566189,0.2867108058178247,0.2875,399
estimated,moderate,tail_difficulty,4,12000,0.02,240,0.02,2.9067127264210075,0.0018262422895956078,0.005,399
estimated,moderate,tail_difficulty,5,12000,0.02,222,0.0185,0.6276019057822573,0.26513237996987177,0.24,399
estimated,moderate,tail_difficulty,6,12000,0.02,257,0.021416666666666667,1.688881801027534,0.04562104176141386,0.04,399
estimated,moderate,tail_difficulty,7,12000,0.02,261,0.02175,-0.21952875199513794,0.5868809073978034,0.6575,399
estimated,moderate,tail_difficulty,8,12000,0.02,240,0.02,0.7206851238200357,0.23555163357696118,0.245,399
estimated,moderate,tail_difficulty,9,12000,0.02,265,0.022083333333333333,-0.29595067872136255,0.6163661261941945,0.6025,399
estimated,moderate,tail_difficulty,10,12000,0.02,241,0.020083333333333335,0.9810179784402675,0.1632919379133828,0.1575,399
estimated,moderate,tail_difficulty,11,12000,0.02,243,0.02025,2.251030121324239,0.012191814829976269,0.005,399
estimated,moderate,tail_difficulty,12,12000,0.02,260,0.021666666666666667,1.7170496339538805,0.0429850517906995,0.0475,399
estimated,moderate,tail_difficulty,13,12000,0.02,229,0.019083333333333334,0.4830241509814618,0.31453929409534054,0.31,399
estimated,moderate,tail_difficulty,14,12000,0.02,235,0.019583333333333335,-0.09133274214334695,0.5363858988828436,0.495,399
estimated,moderate,tail_difficulty,15,12000,0.02,236,0.019666666666666666,1.2200937393424367,0.11121467081279102,0.1325,399
estimated,moderate,tail_difficulty,16,12000,0.02,228,0.019,1.7946825676288733,0.03635214476338719,0.0275,399
estimated,moderate,tail_difficulty,17,12000,0.02,258,0.0215,1.0971304416779903,0.136292187283792,0.1425,399
estimated,moderate,tail_difficulty,18,12000,0.02,224,0.018666666666666668,0.5091999416885868,0.3053060419802444,0.33,399
estimated,moderate,tail_difficulty,19,12000,0.02,227,0.018916666666666665,0.9051355407760026,0.18269679277519024,0.1925,399
estimated,moderate,tail_difficulty,20,12000,0.02,250,0.020833333333333332,1.0588667757150994,0.1448302286036941,0.15,399
estimated,moderate,tail_difficulty,21,12000,0.02,263,0.021916666666666668,0.21310753501155766,0.4156215437749383,0.4225,399
estimated,moderate,tail_difficulty,22,12000,0.02,253,0.021083333333333332,0.8963577196919108,0.18503087047551525,0.155,399
estimated,moderate,tail_difficulty,23,12000,0.02,227,0.018916666666666665,-0.2091248719961771,0.582824620547823,0.5825,399
estimated,moderate,tail_difficulty,24,12000,0.02,235,0.019583333333333335,1.3096142812159066,0.09516317736273677,0.115,399
estimated,moderate,tail_difficulty,25,12000,0.02,224,0.018666666666666668,1.976023748241628,0.024076043783598736,0.0175,399
estimated,moderate,tail_difficulty,26,12000,0.02,229,0.019083333333333334,1.1353625049323994,0.12811173150847566,0.145,399
estimated,moderate,tail_difficulty,27,12000,0.02,225,0.01875,2.850923422331743,0.002179623333417017,0.0075,399
estimated,moderate,tail_difficulty,28,12000,0.02,279,0.02325,3.0820041315733167,0.0010280599180018364,0.005,399
estimated,moderate,tail_difficulty,29,12000,0.02,256,0.021333333333333333,0.7497955415814186,0.2266889271805302,0.235,399
