mode,prevalence_regime,scenario,replicate,n,target_prevalence,selected_n,realized_prevalence,gcm_stat,normal_p,multiplier_p,multiplier_reps
estimated,moderate,uneven_propensity,0,12000,0.02,269,0.022416666666666668,1.4800701015883766,0.06942726979181191,0.0625,399
estimated,moderate,uneven_propensity,1,12000,0.02,243,0.02025,1.8827921847406281,0.02986426830069078,0.02,399
estimated,moderate,uneven_propensity,2,12000,0.02,257,0.021416666666666667,-0.8184152172803845,0.7934399322704264,0.78,399
estimated,moderate,uneven_propensity,3,12000,0.02,263,0.021916666666666668,0.9484188271438888,0.1714581392840826,0.175,399
estimated,moderate,uneven_propensity,4,12000,0.02,261,0.02175,-0.36697784448450255,0.6431822278343415,0.645,399
estimated,moderate,uneven_propensity,5,12000,0.02,252,0.021,-0.0854567982652222,0.5340508801144228,0.5275,399
estimated,moderate,uneven_propensity,6,12000,0.02,246,0.0205,0.0321534246422928,0.48717484935331873,0.4425,399
estimated,moderate,uneven_propensity,7,12000,0.02,250,0.020833333333333332,0.041951010500515654,0.4832688758317633,0.5,399
estimated,moderate,uneven_propensity,8,12000,0.02,235,0.019583333333333335,1.3773177005874302,0.08420702251678464,0.085,399
estimated,moderate,uneven_propensity,9,12000,0.02,244,0.02033333333333333,1.8336372334650426,0.03335393070271344,0.0325,399
estimated,moderate,uneven_propensity,10,12000,0.02,243,0.02025,0.461449265628709,0.3222381564051634,0.34,399
estimated,moderate,uneven_propensity,11,12000,0.02,235,0.019583333333333335,1.3410229652011758,0.08995649824828933,0.0925,399
estimated,moderate,uneven_propensity,12,12000,0.02,243,0.02025,-1.1546409009335037,0.8758812449164093,0.8875,399
estimated,moderate,uneven_propensity,13,12000,0.02,223,0.018583333333333334,0.520040515832276,0.3015176682315087,0.3125,399
estimated,moderate,uneven_propensity,14,12000,0.02,234,0.0195,0.2997945064019377,0.3821669529807664,0.3725,399
estimated,moderate,uneven_propensity,15,12000,0.02,244,0.02033333333333333,2.2017614758804176,0.013841080827319711,0.0125,399
estimated,moderate,uneven_propensity,16,12000,0.02,249,0.02075,-0.21053203792106714,0.5833737753516616,0.5625,399
estimated,moderate,uneven_propensity,17,12000,0.02,255,0.02125,2.5761315526885697,0.00499563125602323,0.005,399
estimated,moderate,uneven_propensity,18,12000,0.02,231,0.01925,1.5987269380623936,0.05494064466610679,0.0575,399
estimated,moderate,uneven_propensity,19,12000,0.02,247,0.020583333333333332,-0.2806102189778867,0.610495311383983,0.625,399
estimated,moderate,uneven_propensity,20,12000,0.02,248,0.020666666666666667,0.59522257213509,0.27584735200327726,0.265,399
estimated,moderate,uneven_propensity,21,12000,0.02,222,0.0185,0.7419557026584342,0.22905708745297376,0.225,399
estimated,moderate,uneven_propensity,22,12000,0.02,254,0.021166666666666667,0.26445306311812844,0.39571541394093673,0.4025,399
estimated,moderate,uneven_propensity,23,12000,0.02,256,0.021333333333333333,0.415879026819357,0.3387492636511884,0.315,399
estimated,moderate,uneven_propensity,24,12000,0.02,233,0.019416666666666665,0.05104093665754518,0.4796464501535204,0.485,399
estimated,moderate,uneven_propensity,25,12000,0.02,226,0.018833333333333334,2.237987513496168,0.012610934703196469,0.015,399
estimated,moderate,uneven_propensity,26,12000,0.02,233,0.019416666666666665,0.8426604569930803,0.19970918426490042,0.2075,399
estimated,moderate,uneven_propensity,27,12000,0.02,240,0.02,-0.02243189333996744,0.5089482802291945,0.5825,399
estimated,moderate,uneven_propensity,28,12000,0.02,238,0.019833333333333335,0.36368054437361297,0.3580482866347495,0.3375,399
estimated,moderate,uneven_propensity,29,12000,0.02,245,0.020416666666666666,-0.3458377978527877,0.635267691348411,0.655,399
