mode,prevalence_regime,scenario,replicate,n,target_prevalence,selected_n,realized_prevalence,gcm_stat,normal_p,multiplier_p,multiplier_reps
oracle,atlas_like,heteroskedastic,0,60000,0.0007023592887015931,36,0.0006,2.107623445902665,0.017531786942545157,0.02,399
oracle,atlas_like,heteroskedastic,1,60000,0.0007023592887015931,56,0.0009333333333333333,-0.7476995251654746,0.7726792911786312,0.725,399
oracle,atlas_like,heteroskedastic,2,60000,0.0007023592887015931,30,0.0005,-0.6466375994268989,0.7410667412132474,0.7125,399
oracle,atlas_like,heteroskedastic,3,60000,0.0007023592887015931,38,0.0006333333333333333,0.5222362030281812,0.30075294110298445,0.3125,399
oracle,atlas_like,heteroskedastic,4,60000,0.0007023592887015931,45,0.00075,0.9117149240581047,0.18095940281367195,0.18,399
oracle,atlas_like,heteroskedastic,5,60000,0.0007023592887015931,52,0.0008666666666666666,0.2113499151915983,0.41630711789981106,0.3725,399
oracle,atlas_like,heteroskedastic,6,60000,0.0007023592887015931,45,0.00075,-0.7058392815801298,0.7598559547147161,0.79,399
oracle,atlas_like,heteroskedastic,7,60000,0.0007023592887015931,40,0.0006666666666666666,0.6029454404739127,0.27327249270339726,0.2975,399
oracle,atlas_like,heteroskedastic,8,60000,0.0007023592887015931,36,0.0006,0.8678277960719277,0.19274430545939075,0.225,399
oracle,atlas_like,heteroskedastic,9,60000,0.0007023592887015931,48,0.0008,-0.11715678017319715,0.5466320922928697,0.5425,399
oracle,atlas_like,heteroskedastic,10,60000,0.0007023592887015931,37,0.0006166666666666666,0.9641612169550453,0.16748255255288375,0.2,399
oracle,atlas_like,heteroskedastic,11,60000,0.0007023592887015931,38,0.0006333333333333333,-1.5934989406053592,0.9444758471016592,0.9525,399
oracle,atlas_like,heteroskedastic,12,60000,0.0007023592887015931,31,0.0005166666666666667,-0.1742466132662924,0.5691641731356667,0.5225,399
oracle,atlas_like,heteroskedastic,13,60000,0.0007023592887015931,42,0.0007,-0.13406923907768978,0.553326088167036,0.605,399
oracle,atlas_like,heteroskedastic,14,60000,0.0007023592887015931,43,0.0007166666666666667,-1.063792359035663,0.856288613234936,0.8375,399
oracle,atlas_like,heteroskedastic,15,60000,0.0007023592887015931,38,0.0006333333333333333,-1.319859227873756,0.9065589887407723,0.9275,399
oracle,atlas_like,heteroskedastic,16,60000,0.0007023592887015931,44,0.0007333333333333333,0.052315676226138766,0.4791385812997432,0.525,399
oracle,atlas_like,heteroskedastic,17,60000,0.0007023592887015931,54,0.0009,0.9646858097864062,0.16735110242660972,0.17,399
oracle,atlas_like,heteroskedastic,18,60000,0.0007023592887015931,37,0.0006166666666666666,-0.4869484576420835,0.6868525712283657,0.6725,399
oracle,atlas_like,heteroskedastic,19,60000,0.0007023592887015931,43,0.0007166666666666667,0.09471865516740906,0.4622691499581426,0.5025,399
oracle,atlas_like,heteroskedastic,20,60000,0.0007023592887015931,34,0.0005666666666666667,-0.5034631861624959,0.6926806715791108,0.725,399
oracle,atlas_like,heteroskedastic,21,60000,0.0007023592887015931,34,0.0005666666666666667,0.06465466069684514,0.4742244813846463,0.555,399
oracle,atlas_like,heteroskedastic,22,60000,0.0007023592887015931,29,0.00048333333333333334,1.6571700181478202,0.04874255315884152,0.0575,399
oracle,atlas_like,heteroskedastic,23,60000,0.0007023592887015931,39,0.00065,2.018971283846338,0.021745102129598546,0.03,399
oracle,atlas_like,heteroskedastic,24,60000,0.0007023592887015931,34,0.0005666666666666667,-1.1479802338626814,0.8745116381079342,0.8775,399
oracle,atlas_like,heteroskedastic,25,60000,0.0007023592887015931,46,0.0007666666666666667,-0.02892461955521748,0.5115376448657495,0.505,399
oracle,atlas_like,heteroskedastic,26,60000,0.0007023592887015931,47,0.0007833333333333334,-1.440066150592221,0.9250756576804648,0.91,399
oracle,atlas_like,heteroskedastic,27,60000,0.0007023592887015931,31,0.0005166666666666667,-0.0065817521104121835,0.502625720238487,0.5025,399
oracle,atlas_like,heteroskedastic,28,60000,0.0007023592887015931,46,0.0007666666666666667,0.5652419247673858,0.2859546120165819,0.3275,399
oracle,atlas_like,heteroskedastic,29,60000,0.0007023592887015931,46,0.0007666666666666667,0.3607075968547074,0.35915902253153514,0.3475,399
oracle,atlas_like,heteroskedastic,30,60000,0.0007023592887015931,48,0.0008,-0.2068140058821074,0.5819224412444391,0.6025,399
oracle,atlas_like,heteroskedastic,31,60000,0.0007023592887015931,44,0.0007333333333333333,-1.9038156446985013,0.9715329008601157,0.9775,399
oracle,atlas_like,heteroskedastic,32,60000,0.0007023592887015931,28,0.00046666666666666666,0.19479786129076765,0.4227755983303061,0.4225,399
oracle,atlas_like,heteroskedastic,33,60000,0.0007023592887015931,48,0.0008,0.6491685042996495,0.25811473348831904,0.2075,399
oracle,atlas_like,heteroskedastic,34,60000,0.0007023592887015931,42,0.0007,0.49525186002067184,0.31021117377171403,0.29,399
oracle,atlas_like,heteroskedastic,35,60000,0.0007023592887015931,34,0.0005666666666666667,0.2531672869885379,0.40006947220794487,0.3975,399
oracle,atlas_like,heteroskedastic,36,60000,0.0007023592887015931,39,0.00065,-1.7234127098948888,0.9575930409503933,0.955,399
oracle,atlas_like,heteroskedastic,37,60000,0.0007023592887015931,50,0.0008333333333333334,-1.5099473850179836,0.9344715748697693,0.9425,399
oracle,atlas_like,heteroskedastic,38,60000,0.0007023592887015931,31,0.0005166666666666667,0.4163587714907429,0.33857374628028564,0.39,399
oracle,atlas_like,heteroskedastic,39,60000,0.0007023592887015931,50,0.0008333333333333334,-0.9147973058131731,0.8198509752706964,0.8275,399
oracle,atlas_like,heteroskedastic,40,60000,0.0007023592887015931,43,0.0007166666666666667,2.3058406579894717,0.010559768731735449,0.0075,399
oracle,atlas_like,heteroskedastic,41,60000,0.0007023592887015931,41,0.0006833333333333333,-1.3257682973065552,0.9075417714765095,0.915,399
oracle,atlas_like,heteroskedastic,42,60000,0.0007023592887015931,40,0.0006666666666666666,-0.7818037084981782,0.7828350293672965,0.7775,399
oracle,atlas_like,heteroskedastic,43,60000,0.0007023592887015931,51,0.00085,-0.006071020518990356,0.502421971892314,0.525,399
oracle,atlas_like,heteroskedastic,44,60000,0.0007023592887015931,42,0.0007,0.7604299609515807,0.22349880997084165,0.2,399
oracle,atlas_like,heteroskedastic,45,60000,0.0007023592887015931,36,0.0006,-1.2210708930383343,0.8889704104236841,0.87,399
oracle,atlas_like,heteroskedastic,46,60000,0.0007023592887015931,47,0.0007833333333333334,-1.1436499528423494,0.8736155817442965,0.8825,399
oracle,atlas_like,heteroskedastic,47,60000,0.0007023592887015931,41,0.0006833333333333333,0.4701295677360704,0.31913122531530147,0.28,399
oracle,atlas_like,heteroskedastic,48,60000,0.0007023592887015931,46,0.0007666666666666667,-0.05573844061341017,0.522224912046673,0.55,399
oracle,atlas_like,heteroskedastic,49,60000,0.0007023592887015931,39,0.00065,1.0620466441260756,0.14410725522765488,0.1475,399
oracle,atlas_like,heteroskedastic,50,60000,0.0007023592887015931,49,0.0008166666666666667,0.9029972889966776,0.18326366687865897,0.185,399
oracle,atlas_like,heteroskedastic,51,60000,0.0007023592887015931,50,0.0008333333333333334,-0.050580244081816494,0.520169997194787,0.49,399
oracle,atlas_like,heteroskedastic,52,60000,0.0007023592887015931,45,0.00075,1.5506356783938269,0.06049450844895631,0.0925,399
oracle,atlas_like,heteroskedastic,53,60000,0.0007023592887015931,37,0.0006166666666666666,-0.13426631382354706,0.5534040051583788,0.5725,399
oracle,atlas_like,heteroskedastic,54,60000,0.0007023592887015931,32,0.0005333333333333334,1.79019563850342,0.03671123300773435,0.0425,399
oracle,atlas_like,heteroskedastic,55,60000,0.0007023592887015931,34,0.0005666666666666667,0.5265195854895565,0.29926362381834154,0.3175,399
oracle,atlas_like,heteroskedastic,56,60000,0.0007023592887015931,42,0.0007,0.4862562333322838,0.313392752966565,0.33,399
oracle,atlas_like,heteroskedastic,57,60000,0.0007023592887015931,31,0.0005166666666666667,1.1279052690531222,0.12967996419800065,0.15,399
oracle,atlas_like,heteroskedastic,58,60000,0.0007023592887015931,47,0.0007833333333333334,-0.22361439646298076,0.5884713197196053,0.56,399
oracle,atlas_like,heteroskedastic,59,60000,0.0007023592887015931,39,0.00065,-0.5118159479889797,0.6956100861142731,0.6725,399
oracle,atlas_like,heteroskedastic,60,60000,0.0007023592887015931,39,0.00065,-2.6078434389233682,0.9954442691335835,0.9975,399
oracle,atlas_like,heteroskedastic,61,60000,0.0007023592887015931,37,0.0006166666666666666,-0.7627967198627885,0.7772076811814894,0.8,399
