mode,prevalence_regime,scenario,replicate,n,target_prevalence,selected_n,realized_prevalence,gcm_stat,normal_p,multiplier_p,multiplier_reps
oracle,atlas_like,tail_difficulty,0,60000,0.0007023592887015931,45,0.00075,0.221836784372766,0.4122204715092119,0.44,399
oracle,atlas_like,tail_difficulty,1,60000,0.0007023592887015931,45,0.00075,0.4395531178188454,0.33013040119270165,0.3575,399
oracle,atlas_like,tail_difficulty,2,60000,0.0007023592887015931,38,0.0006333333333333333,-1.4313149165155534,0.9238300096177586,0.9125,399
oracle,atlas_like,tail_difficulty,3,60000,0.0007023592887015931,39,0.00065,0.9076477193828811,0.18203218692872192,0.2275,399
oracle,atlas_like,tail_difficulty,4,60000,0.0007023592887015931,43,0.0007166666666666667,1.1912579864625905,0.11677616091349402,0.105,399
oracle,atlas_like,tail_difficulty,5,60000,0.0007023592887015931,35,0.0005833333333333334,-1.796385224357558,0.9637833639361322,0.965,399
oracle,atlas_like,tail_difficulty,6,60000,0.0007023592887015931,44,0.0007333333333333333,0.2104584730645588,0.4166549297469482,0.4425,399
oracle,atlas_like,tail_difficulty,7,60000,0.0007023592887015931,46,0.0007666666666666667,-0.5478945099249153,0.7081178306185067,0.6975,399
oracle,atlas_like,tail_difficulty,8,60000,0.0007023592887015931,31,0.0005166666666666667,-0.05868583705977904,0.5233988298581712,0.56,399
oracle,atlas_like,tail_difficulty,9,60000,0.0007023592887015931,38,0.0006333333333333333,-0.917886043153547,0.8206607353695468,0.8225,399
oracle,atlas_like,tail_difficulty,10,60000,0.0007023592887015931,34,0.0005666666666666667,1.3163404599249917,0.09402989833347952,0.11,399
oracle,atlas_like,tail_difficulty,11,60000,0.0007023592887015931,39,0.00065,0.7844714462457433,0.21638176504450962,0.2,399
oracle,atlas_like,tail_difficulty,12,60000,0.0007023592887015931,43,0.0007166666666666667,-0.18965667193528069,0.5752109123640505,0.625,399
oracle,atlas_like,tail_difficulty,13,60000,0.0007023592887015931,34,0.0005666666666666667,-1.2764282450496691,0.8990979115138092,0.8775,399
oracle,atlas_like,tail_difficulty,14,60000,0.0007023592887015931,33,0.00055,-0.6640675416035958,0.7466764583174987,0.7375,399
oracle,atlas_like,tail_difficulty,15,60000,0.0007023592887015931,38,0.0006333333333333333,1.9787928803575894,0.02391966521169813,0.025,399
oracle,atlas_like,tail_difficulty,16,60000,0.0007023592887015931,47,0.0007833333333333334,-0.053420902292773347,0.5213017243156548,0.5575,399
oracle,atlas_like,tail_difficulty,17,60000,0.0007023592887015931,37,0.0006166666666666666,-0.7587230921155718,0.775990889897251,0.7875,399
oracle,atlas_like,tail_difficulty,18,60000,0.0007023592887015931,34,0.0005666666666666667,-2.7157959770358078,0.9966941675763891,0.9925,399
