mode,prevalence_regime,scenario,replicate,n,target_prevalence,selected_n,realized_prevalence,gcm_stat,normal_p,multiplier_p,multiplier_reps
oracle,moderate,heteroskedastic,0,12000,0.02,253,0.021083333333333332,0.4285272667850579,0.33413364314547134,0.335,399
oracle,moderate,heteroskedastic,1,12000,0.02,275,0.022916666666666665,-0.8655888371797396,0.8066421603344839,0.8075,399
oracle,moderate,heteroskedastic,2,12000,0.02,237,0.01975,1.1695685423909121,0.1210873214484452,0.12,399
oracle,moderate,heteroskedastic,3,12000,0.02,226,0.018833333333333334,0.944086532621612,0.17256271537399137,0.14,399
oracle,moderate,heteroskedastic,4,12000,0.02,242,0.020166666666666666,-0.9351564390279344,0.8251461579725441,0.81,399
oracle,moderate,heteroskedastic,5,12000,0.02,241,0.020083333333333335,0.9436758422312792,0.17266766130140143,0.215,399
oracle,moderate,heteroskedastic,6,12000,0.02,247,0.020583333333333332,1.1387627435989984,0.12740106248968947,0.1525,399
oracle,moderate,heteroskedastic,7,12000,0.02,223,0.018583333333333334,0.6283202616049338,0.2648970805304093,0.2575,399
oracle,moderate,heteroskedastic,8,12000,0.02,271,0.022583333333333334,-0.281239701408524,0.6107367221674078,0.5875,399
oracle,moderate,heteroskedastic,9,12000,0.02,260,0.021666666666666667,-0.11231070157641937,0.5447114715705441,0.5475,399
oracle,moderate,heteroskedastic,10,12000,0.02,248,0.020666666666666667,-0.756971013993655,0.7754663858233186,0.7425,399
oracle,moderate,heteroskedastic,11,12000,0.02,257,0.021416666666666667,-0.6032981774956476,0.7268448274209065,0.7525,399
oracle,moderate,heteroskedastic,12,12000,0.02,249,0.02075,-0.1965275508819307,0.5779013646868975,0.56,399
oracle,moderate,heteroskedastic,13,12000,0.02,238,0.019833333333333335,-0.43023107439574626,0.6664862201289294,0.635,399
oracle,moderate,heteroskedastic,14,12000,0.02,223,0.018583333333333334,0.5626522685905139,0.2868358462897765,0.2925,399
oracle,moderate,heteroskedastic,15,12000,0.02,234,0.0195,-2.0772699605383123,0.9811116750192438,0.99,399
oracle,moderate,heteroskedastic,16,12000,0.02,261,0.02175,0.02775512464051933,0.48892872875465976,0.475,399
oracle,moderate,heteroskedastic,17,12000,0.02,247,0.020583333333333332,0.13315207235747714,0.44703655697824257,0.495,399
oracle,moderate,heteroskedastic,18,12000,0.02,222,0.0185,-1.613733981814478,0.9467074301389276,0.96,399
oracle,moderate,heteroskedastic,19,12000,0.02,247,0.020583333333333332,-0.017647350992821335,0.5070399090409221,0.545,399
oracle,moderate,heteroskedastic,20,12000,0.02,240,0.02,0.4258838512498406,0.3350962413168921,0.3175,399
oracle,moderate,heteroskedastic,21,12000,0.02,242,0.020166666666666666,1.1620685074067665,0.12260381921760549,0.1075,399
oracle,moderate,heteroskedastic,22,12000,0.02,239,0.019916666666666666,0.6395169112015325,0.26124335790346553,0.3,399
oracle,moderate,heteroskedastic,23,12000,0.02,209,0.017416666666666667,1.0030687601362602,0.15791384317021734,0.1525,399
oracle,moderate,heteroskedastic,24,12000,0.02,228,0.019,1.4892573509296285,0.06820980690371384,0.0825,399
oracle,moderate,heteroskedastic,25,12000,0.02,222,0.0185,-1.3095667334598362,0.9048287757735447,0.9,399
oracle,moderate,heteroskedastic,26,12000,0.02,225,0.01875,1.165484568222304,0.12191145158051836,0.125,399
oracle,moderate,heteroskedastic,27,12000,0.02,225,0.01875,-0.387747460829311,0.6508985352278243,0.6425,399
oracle,moderate,heteroskedastic,28,12000,0.02,233,0.019416666666666665,-1.4052717228457352,0.920029753224548,0.9075,399
oracle,moderate,heteroskedastic,29,12000,0.02,230,0.019166666666666665,-1.596638393180762,0.944826832211192,0.9575,399
oracle,moderate,heteroskedastic,30,12000,0.02,231,0.01925,-0.16740900530556432,0.5664758800205404,0.5675,399
oracle,moderate,heteroskedastic,31,12000,0.02,209,0.017416666666666667,-1.0111875011246638,0.844036651586511,0.8125,399
oracle,moderate,heteroskedastic,32,12000,0.02,217,0.018083333333333333,-1.2455346726681351,0.8935323606939032,0.905,399
oracle,moderate,heteroskedastic,33,12000,0.02,228,0.019,2.594795227133339,0.004732364481465417,0.0075,399
oracle,moderate,heteroskedastic,34,12000,0.02,241,0.020083333333333335,0.30858480900152657,0.378818688963357,0.38,399
oracle,moderate,heteroskedastic,35,12000,0.02,258,0.0215,-0.493659707411296,0.6892267371453236,0.695,399
oracle,moderate,heteroskedastic,36,12000,0.02,238,0.019833333333333335,0.9332218939948544,0.17535270637008216,0.1375,399
oracle,moderate,heteroskedastic,37,12000,0.02,234,0.0195,1.1011823934442158,0.13540864146085202,0.1475,399
oracle,moderate,heteroskedastic,38,12000,0.02,242,0.020166666666666666,1.088221194632648,0.13824873513050312,0.1575,399
oracle,moderate,heteroskedastic,39,12000,0.02,246,0.0205,-0.5142898659860246,0.6964753270812946,0.6825,399
oracle,moderate,heteroskedastic,40,12000,0.02,255,0.02125,0.6364222439670438,0.26225062319096104,0.2275,399
oracle,moderate,heteroskedastic,41,12000,0.02,233,0.019416666666666665,1.272973956951243,0.10151364171297589,0.11,399
oracle,moderate,heteroskedastic,42,12000,0.02,269,0.022416666666666668,-0.44325555439585984,0.671209550080722,0.6575,399
oracle,moderate,heteroskedastic,43,12000,0.02,220,0.018333333333333333,0.23395419155594177,0.40751027080806074,0.3975,399
oracle,moderate,heteroskedastic,44,12000,0.02,261,0.02175,0.25051153422425043,0.4010958929972897,0.3875,399
oracle,moderate,heteroskedastic,45,12000,0.02,251,0.020916666666666667,1.2761955494201587,0.10094320076071689,0.1,399
oracle,moderate,heteroskedastic,46,12000,0.02,237,0.01975,-1.2401127627780433,0.892533155509035,0.8925,399
oracle,moderate,heteroskedastic,47,12000,0.02,243,0.02025,1.0378377526708646,0.14967279869245803,0.135,399
oracle,moderate,heteroskedastic,48,12000,0.02,229,0.019083333333333334,-0.2580611514005641,0.6018201434999761,0.61,399
oracle,moderate,heteroskedastic,49,12000,0.02,252,0.021,-0.7473893341819801,0.772585709154849,0.8025,399
oracle,moderate,heteroskedastic,50,12000,0.02,243,0.02025,-0.17717293152139585,0.5703137215977555,0.595,399
oracle,moderate,heteroskedastic,51,12000,0.02,229,0.019083333333333334,-1.347895002357127,0.911153922135592,0.8975,399
oracle,moderate,heteroskedastic,52,12000,0.02,259,0.021583333333333333,-0.5676980603135587,0.7148799955610088,0.7075,399
oracle,moderate,heteroskedastic,53,12000,0.02,237,0.01975,-0.699965530565764,0.7580255844306563,0.77,399
oracle,moderate,heteroskedastic,54,12000,0.02,228,0.019,0.39794602083252173,0.3453349878726387,0.34,399
oracle,moderate,heteroskedastic,55,12000,0.02,260,0.021666666666666667,-0.20944335380986245,0.5829489241423543,0.58,399
oracle,moderate,heteroskedastic,56,12000,0.02,247,0.020583333333333332,0.3384035054178365,0.3675295664286014,0.415,399
oracle,moderate,heteroskedastic,57,12000,0.02,221,0.018416666666666668,-0.38607904785958047,0.6502809367271596,0.6525,399
oracle,moderate,heteroskedastic,58,12000,0.02,223,0.018583333333333334,0.39303475018261025,0.3471469077574289,0.3225,399
oracle,moderate,heteroskedastic,59,12000,0.02,244,0.02033333333333333,2.0563534543572692,0.01987422966797678,0.02,399
oracle,moderate,heteroskedastic,60,12000,0.02,239,0.019916666666666666,-0.36775854384551804,0.6434733584112525,0.6625,399
oracle,moderate,heteroskedastic,61,12000,0.02,251,0.020916666666666667,-0.5168519653660368,0.6973702493403897,0.6725,399
oracle,moderate,heteroskedastic,62,12000,0.02,230,0.019166666666666665,-0.5133546118650569,0.6961483555611135,0.675,399
oracle,moderate,heteroskedastic,63,12000,0.02,244,0.02033333333333333,-0.02806645746498063,0.5111954267030624,0.5375,399
oracle,moderate,heteroskedastic,64,12000,0.02,265,0.022083333333333333,-1.6562036720722313,0.9511597100647844,0.9425,399
oracle,moderate,heteroskedastic,65,12000,0.02,281,0.023416666666666665,0.8403592481529972,0.20035349546084102,0.21,399
oracle,moderate,heteroskedastic,66,12000,0.02,256,0.021333333333333333,-0.9802442794096462,0.836517223932351,0.8275,399
oracle,moderate,heteroskedastic,67,12000,0.02,244,0.02033333333333333,0.32322911515802516,0.3732608663223618,0.37,399
oracle,moderate,heteroskedastic,68,12000,0.02,218,0.018166666666666668,0.02365071899992591,0.49056560776868524,0.485,399
oracle,moderate,heteroskedastic,69,12000,0.02,237,0.01975,1.3811406425876485,0.08361786061317988,0.11,399
oracle,moderate,heteroskedastic,70,12000,0.02,271,0.022583333333333334,1.9820869207891032,0.023734756570268658,0.0225,399
oracle,moderate,heteroskedastic,71,12000,0.02,237,0.01975,0.19188026061223742,0.42391799994063334,0.3775,399
oracle,moderate,heteroskedastic,72,12000,0.02,237,0.01975,-1.0679321873278302,0.8572244489677047,0.8675,399
oracle,moderate,heteroskedastic,73,12000,0.02,253,0.021083333333333332,-0.26492312026772974,0.6044656564484852,0.61,399
oracle,moderate,heteroskedastic,74,12000,0.02,230,0.019166666666666665,2.4603620226896585,0.006939846496802537,0.0125,399
oracle,moderate,heteroskedastic,75,12000,0.02,234,0.0195,-0.5863619562176887,0.7211838478907878,0.7075,399
