mode,prevalence_regime,scenario,replicate,n,target_prevalence,selected_n,realized_prevalence,gcm_stat,normal_p,multiplier_p,multiplier_reps
oracle,moderate,tail_difficulty,0,12000,0.02,239,0.019916666666666666,1.7958336168955444,0.036260491279018925,0.055,399
oracle,moderate,tail_difficulty,1,12000,0.02,252,0.021,0.4520681990422165,0.32560992617343915,0.305,399
oracle,moderate,tail_difficulty,2,12000,0.02,260,0.021666666666666667,1.1575288684464147,0.12352817591068027,0.1375,399
oracle,moderate,tail_difficulty,3,12000,0.02,242,0.020166666666666666,-0.4016857683366423,0.6560423501942109,0.6525,399
oracle,moderate,tail_difficulty,4,12000,0.02,214,0.017833333333333333,-0.7245648096731641,0.7656404729471478,0.7925,399
oracle,moderate,tail_difficulty,5,12000,0.02,234,0.0195,-0.8884330458123749,0.8128460718636045,0.815,399
oracle,moderate,tail_difficulty,6,12000,0.02,250,0.020833333333333332,0.6745172975307794,0.2499912461837192,0.2225,399
oracle,moderate,tail_difficulty,7,12000,0.02,231,0.01925,0.21463637454249757,0.4150254160084291,0.37,399
oracle,moderate,tail_difficulty,8,12000,0.02,240,0.02,0.9698671398421497,0.1660563606224446,0.1575,399
oracle,moderate,tail_difficulty,9,12000,0.02,254,0.021166666666666667,-1.7904789953668696,0.9633115294986335,0.95,399
oracle,moderate,tail_difficulty,10,12000,0.02,237,0.01975,-0.4757688553589719,0.6828804698034241,0.7075,399
oracle,moderate,tail_difficulty,11,12000,0.02,253,0.021083333333333332,0.07211341929062455,0.47125582349059664,0.4425,399
oracle,moderate,tail_difficulty,12,12000,0.02,252,0.021,-1.9833575798941028,0.9763362490425805,0.975,399
oracle,moderate,tail_difficulty,13,12000,0.02,261,0.02175,-0.6376584245846402,0.7381519725737464,0.73,399
oracle,moderate,tail_difficulty,14,12000,0.02,260,0.021666666666666667,-0.28172036952871954,0.6109210328831478,0.6125,399
oracle,moderate,tail_difficulty,15,12000,0.02,267,0.02225,1.8034578187432078,0.03565817212894635,0.0425,399
oracle,moderate,tail_difficulty,16,12000,0.02,248,0.020666666666666667,0.6028887611939289,0.27329134652560605,0.28,399
oracle,moderate,tail_difficulty,17,12000,0.02,248,0.020666666666666667,-1.0955419030846802,0.8633603509146286,0.8775,399
oracle,moderate,tail_difficulty,18,12000,0.02,243,0.02025,-2.5069684970090327,0.9939114217930224,0.9925,399
oracle,moderate,tail_difficulty,19,12000,0.02,201,0.01675,-2.1966594732763896,0.9859776123622945,0.985,399
oracle,moderate,tail_difficulty,20,12000,0.02,213,0.01775,0.349918845721087,0.36319980161660903,0.375,399
oracle,moderate,tail_difficulty,21,12000,0.02,246,0.0205,0.6243452381812467,0.2662004402766047,0.28,399
oracle,moderate,tail_difficulty,22,12000,0.02,238,0.019833333333333335,1.134036084288328,0.12838970606647815,0.125,399
oracle,moderate,tail_difficulty,23,12000,0.02,251,0.020916666666666667,-0.18805423264241214,0.5745829310081307,0.57,399
oracle,moderate,tail_difficulty,24,12000,0.02,243,0.02025,0.4995092602197876,0.30871033237844137,0.3225,399
oracle,moderate,tail_difficulty,25,12000,0.02,231,0.01925,-0.0040751161201301725,0.5016257316182261,0.535,399
oracle,moderate,tail_difficulty,26,12000,0.02,240,0.02,0.2201620959689826,0.4128724576979135,0.4075,399
oracle,moderate,tail_difficulty,27,12000,0.02,257,0.021416666666666667,-0.5168804478143825,0.6973801913997574,0.7175,399
oracle,moderate,tail_difficulty,28,12000,0.02,227,0.018916666666666665,0.21564441910779666,0.41463246443144286,0.4475,399
oracle,moderate,tail_difficulty,29,12000,0.02,240,0.02,-0.23060462359830106,0.5911890123458062,0.595,399
oracle,moderate,tail_difficulty,30,12000,0.02,238,0.019833333333333335,1.0003673917968636,0.158566372202396,0.12,399
oracle,moderate,tail_difficulty,31,12000,0.02,230,0.019166666666666665,-0.5994015824437773,0.7255474390063342,0.69,399
oracle,moderate,tail_difficulty,32,12000,0.02,235,0.019583333333333335,1.2492061017223246,0.1057948504191375,0.125,399
oracle,moderate,tail_difficulty,33,12000,0.02,254,0.021166666666666667,-0.6350802259008391,0.7373119535050271,0.7175,399
oracle,moderate,tail_difficulty,34,12000,0.02,254,0.021166666666666667,-0.31609805791406625,0.6240359596058672,0.6575,399
oracle,moderate,tail_difficulty,35,12000,0.02,256,0.021333333333333333,1.795530906829011,0.036284576527425845,0.0425,399
oracle,moderate,tail_difficulty,36,12000,0.02,237,0.01975,2.0267039112984437,0.021346351120864596,0.0225,399
oracle,moderate,tail_difficulty,37,12000,0.02,228,0.019,-1.460054636755641,0.9278624707285332,0.9125,399
oracle,moderate,tail_difficulty,38,12000,0.02,244,0.02033333333333333,0.133543842698922,0.4468816466493758,0.455,399
oracle,moderate,tail_difficulty,39,12000,0.02,258,0.0215,3.183007094459433,0.0007287702146828581,0.0025,399
oracle,moderate,tail_difficulty,40,12000,0.02,224,0.018666666666666668,-0.5134422564725815,0.6961790034130751,0.685,399
oracle,moderate,tail_difficulty,41,12000,0.02,258,0.0215,-0.9249472552128608,0.8225033278725296,0.8275,399
oracle,moderate,tail_difficulty,42,12000,0.02,250,0.020833333333333332,-0.3325591518670718,0.6302664590457498,0.6575,399
oracle,moderate,tail_difficulty,43,12000,0.02,236,0.019666666666666666,0.02161393062077961,0.4913779605497952,0.465,399
oracle,moderate,tail_difficulty,44,12000,0.02,232,0.019333333333333334,-0.4269752286246875,0.6653013148299622,0.6525,399
oracle,moderate,tail_difficulty,45,12000,0.02,232,0.019333333333333334,-1.5297172370717644,0.9369566324366144,0.9225,399
oracle,moderate,tail_difficulty,46,12000,0.02,253,0.021083333333333332,-1.2364761886731352,0.8918591943418064,0.885,399
oracle,moderate,tail_difficulty,47,12000,0.02,251,0.020916666666666667,-1.6586695751618017,0.9514088032870747,0.9575,399
oracle,moderate,tail_difficulty,48,12000,0.02,258,0.0215,0.1780881217736404,0.42932688518540196,0.4675,399
oracle,moderate,tail_difficulty,49,12000,0.02,230,0.019166666666666665,0.8619799191171642,0.19434928409929236,0.185,399
oracle,moderate,tail_difficulty,50,12000,0.02,230,0.019166666666666665,-1.610734756985603,0.9463812266521621,0.94,399
oracle,moderate,tail_difficulty,51,12000,0.02,248,0.020666666666666667,1.4674890520916326,0.07112153264166872,0.065,399
oracle,moderate,tail_difficulty,52,12000,0.02,250,0.020833333333333332,0.21592343532181674,0.41452371461229265,0.4075,399
oracle,moderate,tail_difficulty,53,12000,0.02,224,0.018666666666666668,0.35771729275768216,0.36027744528725114,0.3525,399
oracle,moderate,tail_difficulty,54,12000,0.02,240,0.02,-0.6670393716769757,0.747626507532334,0.7525,399
oracle,moderate,tail_difficulty,55,12000,0.02,256,0.021333333333333333,0.9902812049975638,0.1610183452889264,0.1475,399
oracle,moderate,tail_difficulty,56,12000,0.02,239,0.019916666666666666,0.9456691369908002,0.17215868441823284,0.2025,399
oracle,moderate,tail_difficulty,57,12000,0.02,260,0.021666666666666667,-0.07796669550143205,0.5310727272695563,0.51,399
oracle,moderate,tail_difficulty,58,12000,0.02,235,0.019583333333333335,0.34156388285927114,0.36633956071726836,0.3825,399
oracle,moderate,tail_difficulty,59,12000,0.02,233,0.019416666666666665,1.4692403869440354,0.07088379976206909,0.07,399
oracle,moderate,tail_difficulty,60,12000,0.02,252,0.021,-0.04455244505200469,0.517767975829321,0.545,399
oracle,moderate,tail_difficulty,61,12000,0.02,238,0.019833333333333335,0.35368659336237995,0.36178688547799254,0.3725,399
oracle,moderate,tail_difficulty,62,12000,0.02,244,0.02033333333333333,0.32167387538115294,0.3738498855944692,0.3675,399
oracle,moderate,tail_difficulty,63,12000,0.02,230,0.019166666666666665,0.6242082840555082,0.2662454035832927,0.25,399
oracle,moderate,tail_difficulty,64,12000,0.02,258,0.0215,0.31677477230014295,0.3757072539585712,0.4325,399
oracle,moderate,tail_difficulty,65,12000,0.02,219,0.01825,1.270055774356664,0.10203238179958879,0.0925,399
oracle,moderate,tail_difficulty,66,12000,0.02,246,0.0205,-0.892946415637779,0.8140570655576691,0.8125,399
oracle,moderate,tail_difficulty,67,12000,0.02,264,0.022,0.0594836839680983,0.4762834303857119,0.485,399
oracle,moderate,tail_difficulty,68,12000,0.02,235,0.019583333333333335,-0.6801513947574442,0.7517956975856173,0.77,399
oracle,moderate,tail_difficulty,69,12000,0.02,243,0.02025,-0.17682457305748284,0.5701769066589427,0.5675,399
oracle,moderate,tail_difficulty,70,12000,0.02,219,0.01825,0.3126327646226573,0.37727984123278774,0.37,399
oracle,moderate,tail_difficulty,71,12000,0.02,238,0.019833333333333335,0.42693038664015276,0.3347150161182689,0.3475,399
oracle,moderate,tail_difficulty,72,12000,0.02,224,0.018666666666666668,-0.11470919912092511,0.5456621888901592,0.5675,399
oracle,moderate,tail_difficulty,73,12000,0.02,242,0.020166666666666666,1.0614423169196703,0.14424446714621386,0.13,399
oracle,moderate,tail_difficulty,74,12000,0.02,222,0.0185,-0.02902082708669235,0.5115760100121429,0.49,399
oracle,moderate,tail_difficulty,75,12000,0.02,254,0.021166666666666667,-0.9649554485436337,0.8327164365707912,0.835,399
oracle,moderate,tail_difficulty,76,12000,0.02,265,0.022083333333333333,-0.23251400783836618,0.5919305956837966,0.5975,399
oracle,moderate,tail_difficulty,77,12000,0.02,213,0.01775,1.3908897952033685,0.0821294238889339,0.075,399
oracle,moderate,tail_difficulty,78,12000,0.02,240,0.02,0.32776225720313407,0.3715457133254314,0.3625,399
oracle,moderate,tail_difficulty,79,12000,0.02,223,0.018583333333333334,-1.5201636734959472,0.9357650775931167,0.93,399
oracle,moderate,tail_difficulty,80,12000,0.02,251,0.020916666666666667,0.19571075370813015,0.4224182834714961,0.44,399
oracle,moderate,tail_difficulty,81,12000,0.02,240,0.02,0.20570942607603573,0.4185089475445094,0.465,399
oracle,moderate,tail_difficulty,82,12000,0.02,245,0.020416666666666666,1.209434934399229,0.1132478970830132,0.105,399
oracle,moderate,tail_difficulty,83,12000,0.02,241,0.020083333333333335,0.10223287673605744,0.4592859162984975,0.4575,399
oracle,moderate,tail_difficulty,84,12000,0.02,215,0.017916666666666668,-1.4496979985356981,0.9264286229347682,0.9375,399
oracle,moderate,tail_difficulty,85,12000,0.02,236,0.019666666666666666,0.5881508920185682,0.27821550804311124,0.2675,399
oracle,moderate,tail_difficulty,86,12000,0.02,234,0.0195,-0.9064590085728605,0.817653523991148,0.825,399
oracle,moderate,tail_difficulty,87,12000,0.02,237,0.01975,0.1425087171981263,0.4433390971591916,0.3975,399
oracle,moderate,tail_difficulty,88,12000,0.02,255,0.02125,-0.30402205373236996,0.6194444552638588,0.6175,399
oracle,moderate,tail_difficulty,89,12000,0.02,243,0.02025,0.4640608673723349,0.3213020687463803,0.32,399
oracle,moderate,tail_difficulty,90,12000,0.02,249,0.02075,-0.13085862330296008,0.552056426517642,0.5175,399
oracle,moderate,tail_difficulty,91,12000,0.02,251,0.020916666666666667,2.251448642321702,0.012178568120486857,0.0225,399
oracle,moderate,tail_difficulty,92,12000,0.02,245,0.020416666666666666,-0.0028950562796367474,0.5011549587407361,0.515,399
oracle,moderate,tail_difficulty,93,12000,0.02,237,0.01975,-0.4364499859538115,0.668744860555676,0.72,399
oracle,moderate,tail_difficulty,94,12000,0.02,246,0.0205,-0.1655101959284296,0.5657287873409286,0.595,399
oracle,moderate,tail_difficulty,95,12000,0.02,230,0.019166666666666665,0.27445051529416215,0.3918692135505159,0.3725,399
oracle,moderate,tail_difficulty,96,12000,0.02,250,0.020833333333333332,-2.517573826806788,0.9940916898822759,0.9875,399
oracle,moderate,tail_difficulty,97,12000,0.02,242,0.020166666666666666,-0.5423666212868239,0.7062170154193427,0.69,399
oracle,moderate,tail_difficulty,98,12000,0.02,230,0.019166666666666665,0.8238797171100442,0.20500395312703595,0.195,399
oracle,moderate,tail_difficulty,99,12000,0.02,239,0.019916666666666666,0.5153402364832632,0.3031576433549704,0.32,399
