mode,prevalence_regime,scenario,replicate,n,target_prevalence,selected_n,realized_prevalence,gcm_stat,normal_p,multiplier_p,multiplier_reps
oracle,moderate,uneven_propensity,0,12000,0.02,234,0.0195,0.7839431261483748,0.21653674151056418,0.215,399
oracle,moderate,uneven_propensity,1,12000,0.02,221,0.018416666666666668,-0.20358191219804023,0.5806598854493719,0.6075,399
oracle,moderate,uneven_propensity,2,12000,0.02,260,0.021666666666666667,0.632616596838119,0.2634920231090606,0.2525,399
oracle,moderate,uneven_propensity,3,12000,0.02,219,0.01825,-0.8037691745614188,0.7892348523000807,0.785,399
oracle,moderate,uneven_propensity,4,12000,0.02,242,0.020166666666666666,0.21016803867660275,0.41676826194621297,0.42,399
oracle,moderate,uneven_propensity,5,12000,0.02,244,0.02033333333333333,-1.6043204976076613,0.9456782874076043,0.9475,399
oracle,moderate,uneven_propensity,6,12000,0.02,238,0.019833333333333335,-0.6376324783700206,0.7381435257428196,0.7425,399
oracle,moderate,uneven_propensity,7,12000,0.02,243,0.02025,0.9531552510096669,0.1702557077651286,0.1775,399
oracle,moderate,uneven_propensity,8,12000,0.02,228,0.019,0.364981306752875,0.35756268009299774,0.385,399
oracle,moderate,uneven_propensity,9,12000,0.02,258,0.0215,0.23824114452415554,0.40584703347128614,0.4125,399
oracle,moderate,uneven_propensity,10,12000,0.02,229,0.019083333333333334,-1.013598895680425,0.8446129075780514,0.845,399
oracle,moderate,uneven_propensity,11,12000,0.02,240,0.02,0.819797805530385,0.20616569113875172,0.2025,399
oracle,moderate,uneven_propensity,12,12000,0.02,238,0.019833333333333335,-0.12608958436579723,0.550169493930194,0.5425,399
oracle,moderate,uneven_propensity,13,12000,0.02,232,0.019333333333333334,0.06651310036705205,0.47348466411079965,0.46,399
oracle,moderate,uneven_propensity,14,12000,0.02,242,0.020166666666666666,-0.005238695073248787,0.5020899273995431,0.56,399
oracle,moderate,uneven_propensity,15,12000,0.02,245,0.020416666666666666,0.2857087851933348,0.38755058772634465,0.3975,399
oracle,moderate,uneven_propensity,16,12000,0.02,229,0.019083333333333334,1.202679718610882,0.11455014261882657,0.145,399
oracle,moderate,uneven_propensity,17,12000,0.02,213,0.01775,-0.5512638746108278,0.7092736005144049,0.74,399
oracle,moderate,uneven_propensity,18,12000,0.02,248,0.020666666666666667,-0.15406809401267876,0.5612219774203071,0.59,399
oracle,moderate,uneven_propensity,19,12000,0.02,214,0.017833333333333333,-0.6028769591488032,0.7267047275555374,0.7025,399
oracle,moderate,uneven_propensity,20,12000,0.02,260,0.021666666666666667,-1.0169505965290924,0.8454115340069825,0.84,399
oracle,moderate,uneven_propensity,21,12000,0.02,229,0.019083333333333334,-1.3782641592996636,0.9159391276927404,0.935,399
oracle,moderate,uneven_propensity,22,12000,0.02,237,0.01975,0.8115383798292264,0.20852828085354203,0.2075,399
oracle,moderate,uneven_propensity,23,12000,0.02,216,0.018,-0.6210744078093206,0.7327246665091084,0.755,399
oracle,moderate,uneven_propensity,24,12000,0.02,246,0.0205,-0.0637056533940926,0.5253976984320335,0.5425,399
oracle,moderate,uneven_propensity,25,12000,0.02,246,0.0205,-1.096322464248926,0.8635311590478566,0.8575,399
oracle,moderate,uneven_propensity,26,12000,0.02,237,0.01975,-0.8512237090628958,0.8026774525625673,0.8325,399
oracle,moderate,uneven_propensity,27,12000,0.02,244,0.02033333333333333,-0.20210890030978612,0.5800842049962345,0.5675,399
oracle,moderate,uneven_propensity,28,12000,0.02,235,0.019583333333333335,-0.034441321008474926,0.5137373831983082,0.5575,399
oracle,moderate,uneven_propensity,29,12000,0.02,261,0.02175,0.23089887838183068,0.4086966810577527,0.395,399
oracle,moderate,uneven_propensity,30,12000,0.02,256,0.021333333333333333,-1.6967479260900535,0.95512783620945,0.9375,399
oracle,moderate,uneven_propensity,31,12000,0.02,250,0.020833333333333332,-2.557398534931933,0.9947270840702158,0.995,399
oracle,moderate,uneven_propensity,32,12000,0.02,241,0.020083333333333335,-1.1850441187617589,0.8819999981920044,0.8625,399
oracle,moderate,uneven_propensity,33,12000,0.02,234,0.0195,-2.2759532468333186,0.988575595981608,0.99,399
oracle,moderate,uneven_propensity,34,12000,0.02,248,0.020666666666666667,0.2677078917471839,0.394462087371304,0.41,399
oracle,moderate,uneven_propensity,35,12000,0.02,232,0.019333333333333334,1.4547809763443058,0.07286495318952335,0.055,399
oracle,moderate,uneven_propensity,36,12000,0.02,267,0.02225,0.8964567784052903,0.18500442721757765,0.1675,399
oracle,moderate,uneven_propensity,37,12000,0.02,235,0.019583333333333335,0.6955660606098538,0.2433503135149615,0.25,399
oracle,moderate,uneven_propensity,38,12000,0.02,236,0.019666666666666666,-0.856767428523614,0.8042132850370564,0.795,399
oracle,moderate,uneven_propensity,39,12000,0.02,244,0.02033333333333333,-0.4788217134603753,0.6839672659000362,0.655,399
oracle,moderate,uneven_propensity,40,12000,0.02,239,0.019916666666666666,0.5560167486197181,0.28909970260312096,0.2575,399
oracle,moderate,uneven_propensity,41,12000,0.02,223,0.018583333333333334,-0.7907700589663363,0.7854609075602021,0.7625,399
oracle,moderate,uneven_propensity,42,12000,0.02,237,0.01975,0.5069882178540551,0.3060815427884004,0.355,399
oracle,moderate,uneven_propensity,43,12000,0.02,232,0.019333333333333334,0.002222224415203593,0.4991134614538978,0.5325,399
oracle,moderate,uneven_propensity,44,12000,0.02,250,0.020833333333333332,-0.999805386223962,0.8412976506498908,0.86,399
oracle,moderate,uneven_propensity,45,12000,0.02,231,0.01925,0.025550702618518488,0.4898078534143592,0.4675,399
oracle,moderate,uneven_propensity,46,12000,0.02,258,0.0215,-0.8891789864736586,0.8130465528576143,0.815,399
oracle,moderate,uneven_propensity,47,12000,0.02,255,0.02125,-2.341697554618197,0.9904018681530813,0.985,399
oracle,moderate,uneven_propensity,48,12000,0.02,235,0.019583333333333335,3.156540651660301,0.000798263157316939,0.0025,399
oracle,moderate,uneven_propensity,49,12000,0.02,222,0.0185,-0.37349397418492625,0.6456095853445938,0.6425,399
oracle,moderate,uneven_propensity,50,12000,0.02,260,0.021666666666666667,0.4885909323817159,0.31256566695484167,0.3175,399
oracle,moderate,uneven_propensity,51,12000,0.02,256,0.021333333333333333,0.7407795895614551,0.22941354628044625,0.2375,399
oracle,moderate,uneven_propensity,52,12000,0.02,221,0.018416666666666668,0.6261992639666839,0.2655921249726245,0.255,399
oracle,moderate,uneven_propensity,53,12000,0.02,263,0.021916666666666668,-1.6650721762193956,0.9520508215013025,0.95,399
oracle,moderate,uneven_propensity,54,12000,0.02,242,0.020166666666666666,0.1159210481514094,0.45385755706973796,0.44,399
oracle,moderate,uneven_propensity,55,12000,0.02,223,0.018583333333333334,-0.5659647509657086,0.7142911286275804,0.7025,399
oracle,moderate,uneven_propensity,56,12000,0.02,221,0.018416666666666668,-0.19371085201679997,0.5767988529417667,0.6325,399
oracle,moderate,uneven_propensity,57,12000,0.02,234,0.0195,1.7407139466831296,0.040866866188325135,0.03,399
oracle,moderate,uneven_propensity,58,12000,0.02,235,0.019583333333333335,-0.6298073487257594,0.7355896814751541,0.7225,399
oracle,moderate,uneven_propensity,59,12000,0.02,253,0.021083333333333332,-0.09485913796871456,0.5377866433574056,0.5225,399
oracle,moderate,uneven_propensity,60,12000,0.02,237,0.01975,0.2670121548848117,0.39472990125476953,0.3825,399
oracle,moderate,uneven_propensity,61,12000,0.02,227,0.018916666666666665,1.8671841673406189,0.030937936907273377,0.035,399
oracle,moderate,uneven_propensity,62,12000,0.02,234,0.0195,2.0481820237325716,0.02027108358500109,0.03,399
oracle,moderate,uneven_propensity,63,12000,0.02,272,0.02266666666666667,-0.7629038487863496,0.7772396296482419,0.7675,399
oracle,moderate,uneven_propensity,64,12000,0.02,237,0.01975,-0.6481766055904205,0.7415646344002051,0.7675,399
oracle,moderate,uneven_propensity,65,12000,0.02,240,0.02,0.05955883854073495,0.4762535011125361,0.44,399
oracle,moderate,uneven_propensity,66,12000,0.02,239,0.019916666666666666,-1.6312371768081446,0.948579858191646,0.95,399
oracle,moderate,uneven_propensity,67,12000,0.02,259,0.021583333333333333,0.5232818273969398,0.30038907265061104,0.3225,399
oracle,moderate,uneven_propensity,68,12000,0.02,232,0.019333333333333334,-0.6345451364829324,0.7371374400650197,0.7775,399
oracle,moderate,uneven_propensity,69,12000,0.02,238,0.019833333333333335,0.26301355082166583,0.3962700673386576,0.4175,399
oracle,moderate,uneven_propensity,70,12000,0.02,241,0.020083333333333335,2.9962165726006953,0.0013667610874090429,0.0025,399
oracle,moderate,uneven_propensity,71,12000,0.02,242,0.020166666666666666,-0.5160194149552303,0.6970795753567129,0.6925,399
oracle,moderate,uneven_propensity,72,12000,0.02,244,0.02033333333333333,-1.1397935065535783,0.8728138301808019,0.8675,399
oracle,moderate,uneven_propensity,73,12000,0.02,263,0.021916666666666668,-0.08777871457543934,0.5349737221204754,0.5325,399
oracle,moderate,uneven_propensity,74,12000,0.02,246,0.0205,0.006901073701216541,0.4972468917731488,0.535,399
oracle,moderate,uneven_propensity,75,12000,0.02,251,0.020916666666666667,-0.29005921308535,0.614114530872316,0.61,399
oracle,moderate,uneven_propensity,76,12000,0.02,242,0.020166666666666666,1.9458826807460803,0.025834416908048465,0.0175,399
oracle,moderate,uneven_propensity,77,12000,0.02,233,0.019416666666666665,-0.3913609399476682,0.6522347700445912,0.69,399
oracle,moderate,uneven_propensity,78,12000,0.02,246,0.0205,-0.6349523618496165,0.737270257462565,0.7825,399
oracle,moderate,uneven_propensity,79,12000,0.02,220,0.018333333333333333,0.13784290280809156,0.44518228822103856,0.4525,399
oracle,moderate,uneven_propensity,80,12000,0.02,231,0.01925,-0.012953006183982757,0.5051673573278345,0.4775,399
oracle,moderate,uneven_propensity,81,12000,0.02,250,0.020833333333333332,-0.2996898236286718,0.6177931191980477,0.6425,399
oracle,moderate,uneven_propensity,82,12000,0.02,253,0.021083333333333332,1.6774523160698465,0.04672703322722648,0.0575,399
oracle,moderate,uneven_propensity,83,12000,0.02,262,0.021833333333333333,0.081177249693198,0.4676504959545165,0.5,399
oracle,moderate,uneven_propensity,84,12000,0.02,234,0.0195,-1.1299654721464938,0.8707546130982026,0.8975,399
oracle,moderate,uneven_propensity,85,12000,0.02,231,0.01925,0.2247368923901733,0.41109198133374053,0.4325,399
oracle,moderate,uneven_propensity,86,12000,0.02,252,0.021,-0.9770950297379748,0.8357389459167014,0.84,399
oracle,moderate,uneven_propensity,87,12000,0.02,212,0.017666666666666667,0.0868105253350603,0.46541106060175214,0.415,399
oracle,moderate,uneven_propensity,88,12000,0.02,255,0.02125,1.6188389340445366,0.05274096131798143,0.035,399
oracle,moderate,uneven_propensity,89,12000,0.02,230,0.019166666666666665,-1.2687909530457055,0.8977421836658512,0.8875,399
oracle,moderate,uneven_propensity,90,12000,0.02,249,0.02075,-2.2068152311715363,0.9863365147394803,0.995,399
oracle,moderate,uneven_propensity,91,12000,0.02,231,0.01925,0.5100567334656899,0.30500585791275914,0.2925,399
oracle,moderate,uneven_propensity,92,12000,0.02,272,0.02266666666666667,-0.16885348177172393,0.567044055067511,0.575,399
oracle,moderate,uneven_propensity,93,12000,0.02,226,0.018833333333333334,1.6409166275520002,0.05040736147321047,0.0725,399
oracle,moderate,uneven_propensity,94,12000,0.02,246,0.0205,-0.7017206113090418,0.758573291740894,0.7725,399
oracle,moderate,uneven_propensity,95,12000,0.02,238,0.019833333333333335,0.6783928975362439,0.24876130559202664,0.235,399
oracle,moderate,uneven_propensity,96,12000,0.02,241,0.020083333333333335,-0.01915046622372103,0.507639463713247,0.525,399
oracle,moderate,uneven_propensity,97,12000,0.02,256,0.021333333333333333,-1.2572988232102889,0.8956772750187245,0.9175,399
oracle,moderate,uneven_propensity,98,12000,0.02,275,0.022916666666666665,0.5417711224883744,0.29398809357067945,0.3225,399
oracle,moderate,uneven_propensity,99,12000,0.02,256,0.021333333333333333,-1.3033948697949607,0.9037800064633656,0.9025,399
