family,knot_id_base,coordinate,coefficient
HOMFLY_PT,13n0759,a6_z0,1
HOMFLY_PT,13n0759,a6_z2,2
HOMFLY_PT,13n0759,a6_z4,1
HOMFLY_PT,13n0759,a4_z0,-3
HOMFLY_PT,13n0759,a4_z2,-4
HOMFLY_PT,13n0759,a4_z4,-3
HOMFLY_PT,13n0759,a4_z6,-1
HOMFLY_PT,13n0759,a2_z0,2
HOMFLY_PT,13n0759,a2_z4,-2
HOMFLY_PT,13n0759,a2_z6,-1
HOMFLY_PT,13n0759,a0_z0,2
HOMFLY_PT,13n0759,a0_z2,4
HOMFLY_PT,13n0759,a0_z4,2
HOMFLY_PT,13n0759,a-2_z0,-1
HOMFLY_PT,13n0759,a-2_z2,-1
HOMFLY_PT,15n073293,a6_z0,1
HOMFLY_PT,15n073293,a6_z2,2
HOMFLY_PT,15n073293,a6_z4,1
HOMFLY_PT,15n073293,a4_z0,-3
HOMFLY_PT,15n073293,a4_z2,-4
HOMFLY_PT,15n073293,a4_z4,-3
HOMFLY_PT,15n073293,a4_z6,-1
HOMFLY_PT,15n073293,a2_z0,2
HOMFLY_PT,15n073293,a2_z4,-2
HOMFLY_PT,15n073293,a2_z6,-1
HOMFLY_PT,15n073293,a0_z0,2
HOMFLY_PT,15n073293,a0_z2,4
HOMFLY_PT,15n073293,a0_z4,2
HOMFLY_PT,15n073293,a-2_z0,-1
HOMFLY_PT,15n073293,a-2_z2,-1
Theta,13n0759,T1-6_T2-6,1
Theta,13n0759,T1-6_T2-5,-5
Theta,13n0759,T1-6_T2-4,11
Theta,13n0759,T1-6_T2-3,-15
Theta,13n0759,T1-6_T2-2,11
Theta,13n0759,T1-6_T2-1,-5
Theta,13n0759,T1-6_T20,1
Theta,13n0759,T1-5_T2-6,-5
Theta,13n0759,T1-5_T2-5,20
Theta,13n0759,T1-5_T2-4,-30
Theta,13n0759,T1-5_T2-3,20
Theta,13n0759,T1-5_T2-2,20
Theta,13n0759,T1-5_T2-1,-30
Theta,13n0759,T1-5_T20,20
Theta,13n0759,T1-5_T21,-5
Theta,13n0759,T1-4_T2-6,11
Theta,13n0759,T1-4_T2-5,-30
Theta,13n0759,T1-4_T2-4,67
Theta,13n0759,T1-4_T2-3,-172
Theta,13n0759,T1-4_T2-2,183
Theta,13n0759,T1-4_T2-1,-172
Theta,13n0759,T1-4_T20,67
Theta,13n0759,T1-4_T21,-30
Theta,13n0759,T1-4_T22,11
Theta,13n0759,T1-3_T2-6,-15
Theta,13n0759,T1-3_T2-5,20
Theta,13n0759,T1-3_T2-4,-172
Theta,13n0759,T1-3_T2-3,530
Theta,13n0759,T1-3_T2-2,-217
Theta,13n0759,T1-3_T2-1,-217
Theta,13n0759,T1-3_T20,530
Theta,13n0759,T1-3_T21,-172
Theta,13n0759,T1-3_T22,20
Theta,13n0759,T1-3_T23,-15
Theta,13n0759,T1-2_T2-6,11
Theta,13n0759,T1-2_T2-5,20
Theta,13n0759,T1-2_T2-4,183
Theta,13n0759,T1-2_T2-3,-217
Theta,13n0759,T1-2_T2-2,-1442
Theta,13n0759,T1-2_T2-1,2066
Theta,13n0759,T1-2_T20,-1442
Theta,13n0759,T1-2_T21,-217
Theta,13n0759,T1-2_T22,183
Theta,13n0759,T1-2_T23,20
Theta,13n0759,T1-2_T24,11
Theta,13n0759,T1-1_T2-6,-5
Theta,13n0759,T1-1_T2-5,-30
Theta,13n0759,T1-1_T2-4,-172
Theta,13n0759,T1-1_T2-3,-217
Theta,13n0759,T1-1_T2-2,2066
Theta,13n0759,T1-1_T2-1,-894
Theta,13n0759,T1-1_T20,-894
Theta,13n0759,T1-1_T21,2066
Theta,13n0759,T1-1_T22,-217
Theta,13n0759,T1-1_T23,-172
Theta,13n0759,T1-1_T24,-30
Theta,13n0759,T1-1_T25,-5
Theta,13n0759,T10_T2-6,1
Theta,13n0759,T10_T2-5,20
Theta,13n0759,T10_T2-4,67
Theta,13n0759,T10_T2-3,530
Theta,13n0759,T10_T2-2,-1442
Theta,13n0759,T10_T2-1,-894
Theta,13n0759,T10_T20,1620
Theta,13n0759,T10_T21,-894
Theta,13n0759,T10_T22,-1442
Theta,13n0759,T10_T23,530
Theta,13n0759,T10_T24,67
Theta,13n0759,T10_T25,20
Theta,13n0759,T10_T26,1
Theta,13n0759,T11_T2-5,-5
Theta,13n0759,T11_T2-4,-30
Theta,13n0759,T11_T2-3,-172
Theta,13n0759,T11_T2-2,-217
Theta,13n0759,T11_T2-1,2066
Theta,13n0759,T11_T20,-894
Theta,13n0759,T11_T21,-894
Theta,13n0759,T11_T22,2066
Theta,13n0759,T11_T23,-217
Theta,13n0759,T11_T24,-172
Theta,13n0759,T11_T25,-30
Theta,13n0759,T11_T26,-5
Theta,13n0759,T12_T2-4,11
Theta,13n0759,T12_T2-3,20
Theta,13n0759,T12_T2-2,183
Theta,13n0759,T12_T2-1,-217
Theta,13n0759,T12_T20,-1442
Theta,13n0759,T12_T21,2066
Theta,13n0759,T12_T22,-1442
Theta,13n0759,T12_T23,-217
Theta,13n0759,T12_T24,183
Theta,13n0759,T12_T25,20
Theta,13n0759,T12_T26,11
Theta,13n0759,T13_T2-3,-15
Theta,13n0759,T13_T2-2,20
Theta,13n0759,T13_T2-1,-172
Theta,13n0759,T13_T20,530
Theta,13n0759,T13_T21,-217
Theta,13n0759,T13_T22,-217
Theta,13n0759,T13_T23,530
Theta,13n0759,T13_T24,-172
Theta,13n0759,T13_T25,20
Theta,13n0759,T13_T26,-15
Theta,13n0759,T14_T2-2,11
Theta,13n0759,T14_T2-1,-30
Theta,13n0759,T14_T20,67
Theta,13n0759,T14_T21,-172
Theta,13n0759,T14_T22,183
Theta,13n0759,T14_T23,-172
Theta,13n0759,T14_T24,67
Theta,13n0759,T14_T25,-30
Theta,13n0759,T14_T26,11
Theta,13n0759,T15_T2-1,-5
Theta,13n0759,T15_T20,20
Theta,13n0759,T15_T21,-30
Theta,13n0759,T15_T22,20
Theta,13n0759,T15_T23,20
Theta,13n0759,T15_T24,-30
Theta,13n0759,T15_T25,20
Theta,13n0759,T15_T26,-5
Theta,13n0759,T16_T20,1
Theta,13n0759,T16_T21,-5
Theta,13n0759,T16_T22,11
Theta,13n0759,T16_T23,-15
Theta,13n0759,T16_T24,11
Theta,13n0759,T16_T25,-5
Theta,13n0759,T16_T26,1
Theta,15n073293,T1-6_T2-6,1
Theta,15n073293,T1-6_T2-5,-4
Theta,15n073293,T1-6_T2-4,6
Theta,15n073293,T1-6_T2-3,-7
Theta,15n073293,T1-6_T2-2,6
Theta,15n073293,T1-6_T2-1,-4
Theta,15n073293,T1-6_T20,1
Theta,15n073293,T1-5_T2-6,-4
Theta,15n073293,T1-5_T2-5,14
Theta,15n073293,T1-5_T2-4,-14
Theta,15n073293,T1-5_T2-3,6
Theta,15n073293,T1-5_T2-2,6
Theta,15n073293,T1-5_T2-1,-14
Theta,15n073293,T1-5_T20,14
Theta,15n073293,T1-5_T21,-4
Theta,15n073293,T1-4_T2-6,6
Theta,15n073293,T1-4_T2-5,-14
Theta,15n073293,T1-4_T2-4,-79
Theta,15n073293,T1-4_T2-3,312
Theta,15n073293,T1-4_T2-2,-423
Theta,15n073293,T1-4_T2-1,312
Theta,15n073293,T1-4_T20,-79
Theta,15n073293,T1-4_T21,-14
Theta,15n073293,T1-4_T22,6
Theta,15n073293,T1-3_T2-6,-7
Theta,15n073293,T1-3_T2-5,6
Theta,15n073293,T1-3_T2-4,312
Theta,15n073293,T1-3_T2-3,-852
Theta,15n073293,T1-3_T2-2,419
Theta,15n073293,T1-3_T2-1,419
Theta,15n073293,T1-3_T20,-852
Theta,15n073293,T1-3_T21,312
Theta,15n073293,T1-3_T22,6
Theta,15n073293,T1-3_T23,-7
Theta,15n073293,T1-2_T2-6,6
Theta,15n073293,T1-2_T2-5,6
Theta,15n073293,T1-2_T2-4,-423
Theta,15n073293,T1-2_T2-3,419
Theta,15n073293,T1-2_T2-2,1828
Theta,15n073293,T1-2_T2-1,-2858
Theta,15n073293,T1-2_T20,1828
Theta,15n073293,T1-2_T21,419
Theta,15n073293,T1-2_T22,-423
Theta,15n073293,T1-2_T23,6
Theta,15n073293,T1-2_T24,6
Theta,15n073293,T1-1_T2-6,-4
Theta,15n073293,T1-1_T2-5,-14
Theta,15n073293,T1-1_T2-4,312
Theta,15n073293,T1-1_T2-3,419
Theta,15n073293,T1-1_T2-2,-2858
Theta,15n073293,T1-1_T2-1,1366
Theta,15n073293,T1-1_T20,1366
Theta,15n073293,T1-1_T21,-2858
Theta,15n073293,T1-1_T22,419
Theta,15n073293,T1-1_T23,312
Theta,15n073293,T1-1_T24,-14
Theta,15n073293,T1-1_T25,-4
Theta,15n073293,T10_T2-6,1
Theta,15n073293,T10_T2-5,14
Theta,15n073293,T10_T2-4,-79
Theta,15n073293,T10_T2-3,-852
Theta,15n073293,T10_T2-2,1828
Theta,15n073293,T10_T2-1,1366
Theta,15n073293,T10_T20,-2640
Theta,15n073293,T10_T21,1366
Theta,15n073293,T10_T22,1828
Theta,15n073293,T10_T23,-852
Theta,15n073293,T10_T24,-79
Theta,15n073293,T10_T25,14
Theta,15n073293,T10_T26,1
Theta,15n073293,T11_T2-5,-4
Theta,15n073293,T11_T2-4,-14
Theta,15n073293,T11_T2-3,312
Theta,15n073293,T11_T2-2,419
Theta,15n073293,T11_T2-1,-2858
Theta,15n073293,T11_T20,1366
Theta,15n073293,T11_T21,1366
Theta,15n073293,T11_T22,-2858
Theta,15n073293,T11_T23,419
Theta,15n073293,T11_T24,312
Theta,15n073293,T11_T25,-14
Theta,15n073293,T11_T26,-4
Theta,15n073293,T12_T2-4,6
Theta,15n073293,T12_T2-3,6
Theta,15n073293,T12_T2-2,-423
Theta,15n073293,T12_T2-1,419
Theta,15n073293,T12_T20,1828
Theta,15n073293,T12_T21,-2858
Theta,15n073293,T12_T22,1828
Theta,15n073293,T12_T23,419
Theta,15n073293,T12_T24,-423
Theta,15n073293,T12_T25,6
Theta,15n073293,T12_T26,6
Theta,15n073293,T13_T2-3,-7
Theta,15n073293,T13_T2-2,6
Theta,15n073293,T13_T2-1,312
Theta,15n073293,T13_T20,-852
Theta,15n073293,T13_T21,419
Theta,15n073293,T13_T22,419
Theta,15n073293,T13_T23,-852
Theta,15n073293,T13_T24,312
Theta,15n073293,T13_T25,6
Theta,15n073293,T13_T26,-7
Theta,15n073293,T14_T2-2,6
Theta,15n073293,T14_T2-1,-14
Theta,15n073293,T14_T20,-79
Theta,15n073293,T14_T21,312
Theta,15n073293,T14_T22,-423
Theta,15n073293,T14_T23,312
Theta,15n073293,T14_T24,-79
Theta,15n073293,T14_T25,-14
Theta,15n073293,T14_T26,6
Theta,15n073293,T15_T2-1,-4
Theta,15n073293,T15_T20,14
Theta,15n073293,T15_T21,-14
Theta,15n073293,T15_T22,6
Theta,15n073293,T15_T23,6
Theta,15n073293,T15_T24,-14
Theta,15n073293,T15_T25,14
Theta,15n073293,T15_T26,-4
Theta,15n073293,T16_T20,1
Theta,15n073293,T16_T21,-4
Theta,15n073293,T16_T22,6
Theta,15n073293,T16_T23,-7
Theta,15n073293,T16_T24,6
Theta,15n073293,T16_T25,-4
Theta,15n073293,T16_T26,1
