example_rank,knot_a,knot_b,same_HOMFLY_PT_exact,kh_diagonal_a,kh_diagonal_b,kh_diagonal_abs_difference,kh_support_a,kh_support_b,theta_percentile_a,theta_percentile_b,theta_percentile_abs_difference,four_view_aggregate_a,four_view_aggregate_b,four_view_aggregate_abs_difference,four_view_selected_a,four_view_selected_b,four_view_split_pair,pair_aggregate_a,pair_aggregate_b,pair_selected_a,pair_selected_b,alternating_a,alternating_b,crossing_a,crossing_b,Alexander_percentile_a,Alexander_percentile_b,Jones_percentile_a,Jones_percentile_b,HOMFLY_PT_percentile_a,HOMFLY_PT_percentile_b,Theta_percentile_a,Theta_percentile_b
1,13n0759,15n073293,True,2.0,3.0,1.0,22.0,28.0,0.9596573374481218,0.03525593274449292,0.9244014047036289,0.22647653506438226,0.22058103650101096,0.005895498563371293,False,False,False,0.22647653506438226,0.03525593274449292,False,False,0,0,13,15,0.22058103650101096,0.22058103650101096,0.45458124933489413,0.45458124933489413,0.22647653506438226,0.22647653506438226,0.9596573374481218,0.03525593274449292
2,13n2434,15n103950,True,2.0,3.0,1.0,22.0,26.0,0.1911993189315739,0.9636905395338938,0.7724912206023199,0.18255826327551347,0.18255826327551347,0.0,False,False,False,0.046142385867830156,0.046142385867830156,False,False,0,0,13,15,0.18255826327551347,0.18255826327551347,0.3670426731935724,0.3670426731935724,0.046142385867830156,0.046142385867830156,0.1911993189315739,0.9636905395338938
3,12n777,13n2288,True,2.0,3.0,1.0,20.0,24.0,0.9113334042779611,0.2492071937852506,0.6621262104927105,0.13783122273065873,0.13783122273065873,0.0,False,False,False,0.06350963073321272,0.06350963073321272,False,False,0,0,12,13,0.13783122273065873,0.13783122273065873,0.5298286687240609,0.5298286687240609,0.06350963073321272,0.06350963073321272,0.9113334042779611,0.2492071937852506
4,13n0712,15n058753,True,2.0,3.0,1.0,22.0,24.0,0.10380972650846014,0.7095775247419389,0.6057677982334788,0.16985208045120784,0.26566989464722784,0.09581781419602,False,False,False,0.10380972650846014,0.16985208045120784,False,False,0,0,13,15,0.26566989464722784,0.26566989464722784,0.553080770458657,0.553080770458657,0.16985208045120784,0.16985208045120784,0.10380972650846014,0.7095775247419389
5,15n101713,15n007850,True,2.0,3.0,1.0,24.0,26.0,0.014366287112908376,0.6020751303607534,0.5877088432478451,0.014568479301904863,0.2854847291688837,0.2709162498669788,False,False,False,0.014366287112908376,0.014568479301904863,False,False,0,0,15,15,0.2854847291688837,0.2854847291688837,0.6999361498350537,0.6999361498350537,0.014568479301904863,0.014568479301904863,0.014366287112908376,0.6020751303607534
6,14n18415,15n054287,True,2.0,3.0,1.0,24.0,27.0,0.08616579759497713,0.6376503139299776,0.5514845163350005,0.23537299138022774,0.46673406406299883,0.2313610726827711,False,False,False,0.08616579759497713,0.23537299138022774,False,False,0,0,14,15,0.5364690858784719,0.5364690858784719,0.46673406406299883,0.46673406406299883,0.23537299138022774,0.23537299138022774,0.08616579759497713,0.6376503139299776
7,12a0401,15n000211,True,2.0,3.0,1.0,24.0,25.0,0.15407044801532405,0.6699797807811003,0.5159093327657762,0.15407044801532405,0.36494625944450354,0.2108758114291795,False,False,False,0.15407044801532405,0.36494625944450354,False,False,1,0,12,15,0.6576247738639992,0.6576247738639992,0.1438118548472917,0.1438118548472917,0.36494625944450354,0.36494625944450354,0.15407044801532405,0.6699797807811003
8,14n14361,15n008597,True,2.0,3.0,1.0,21.0,31.0,0.20554432265616687,0.7128551665425136,0.5073108438863467,0.4122698733638395,0.46012557199106097,0.047855698627221444,False,False,False,0.20554432265616687,0.6495796530807705,False,False,0,0,14,15,0.4122698733638395,0.4122698733638395,0.46012557199106097,0.46012557199106097,0.6495796530807705,0.6495796530807705,0.20554432265616687,0.7128551665425136
9,15n159057,15n049833,True,2.0,3.0,1.0,24.0,30.0,0.28511226987336385,0.7643716079599873,0.4792593380866234,0.4014153453229754,0.5632861551559009,0.16187080983292546,False,False,False,0.28511226987336385,0.5632861551559009,False,False,0,0,15,15,0.6230711929339151,0.6230711929339151,0.4014153453229754,0.4014153453229754,0.5632861551559009,0.5632861551559009,0.28511226987336385,0.7643716079599873
10,15n103567,15n021419,True,2.0,3.0,1.0,24.0,25.0,0.0635841225923167,0.5365222943492604,0.47293817175694364,0.42200702351814406,0.4635096307332127,0.041502607215068654,False,False,False,0.0635841225923167,0.42200702351814406,False,False,0,0,15,15,0.5121102479514739,0.5121102479514739,0.4635096307332127,0.4635096307332127,0.42200702351814406,0.42200702351814406,0.0635841225923167,0.5365222943492604
