selection,knot_id_base
HOMFLY_PT_alone,15a85188
HOMFLY_PT_alone,15n103299
HOMFLY_PT_alone,15a85249
HOMFLY_PT_alone,15n160457
HOMFLY_PT_alone,15a85000
HOMFLY_PT_alone,15a84843
HOMFLY_PT_alone,15n106132
HOMFLY_PT_alone,15n099972
HOMFLY_PT_alone,15n167837
HOMFLY_PT_alone,15a85234
HOMFLY_PT_alone,15a84781
HOMFLY_PT_alone,15a85260
HOMFLY_PT_alone,15a84561
HOMFLY_PT_alone,15a84841
HOMFLY_PT_alone,15a85243
HOMFLY_PT_alone,15n150796
HOMFLY_PT_alone,15a84776
HOMFLY_PT_alone,15a84409
HOMFLY_PT_alone,15a85198
HOMFLY_PT_alone,15a54609
HOMFLY_PT_alone,15a85146
HOMFLY_PT_alone,15a84696
HOMFLY_PT_alone,15n160317
HOMFLY_PT_alone,15a84355
HOMFLY_PT_alone,15n093610
HOMFLY_PT_alone,15n162905
HOMFLY_PT_alone,15a84794
HOMFLY_PT_alone,15n093578
HOMFLY_PT_alone,15a85116
HOMFLY_PT_alone,15n117647
HOMFLY_PT_alone,15a85257
Theta_alone,15n145702
Theta_alone,15n140176
Theta_alone,15n133702
Theta_alone,15n119898
Theta_alone,15n163908
Theta_alone,15n080207
Theta_alone,15n079830
Theta_alone,15n119385
Theta_alone,15n154499
Theta_alone,15n129647
Theta_alone,15n164613
Theta_alone,15n118265
Theta_alone,15n163303
Theta_alone,15n099074
Theta_alone,15n159774
Theta_alone,15n133329
Theta_alone,15n130081
Theta_alone,15n099039
Theta_alone,15n162721
Theta_alone,15n105625
Theta_alone,15n086622
Theta_alone,15n108874
Theta_alone,15n106705
Theta_alone,15n133567
Theta_alone,15n121468
Theta_alone,15n083589
Theta_alone,15n105958
Theta_alone,15n133533
Theta_alone,15n119483
Theta_alone,15n149596
Theta_alone,15n079230
HOMFLY_PT_plus_Theta_2of2,15n164339
HOMFLY_PT_plus_Theta_2of2,15n031865
HOMFLY_PT_plus_Theta_2of2,15a70723
HOMFLY_PT_plus_Theta_2of2,15n028185
HOMFLY_PT_plus_Theta_2of2,15a78637
HOMFLY_PT_plus_Theta_2of2,15n055160
HOMFLY_PT_plus_Theta_2of2,15a17041
HOMFLY_PT_plus_Theta_2of2,14n18082
HOMFLY_PT_plus_Theta_2of2,15a85000
HOMFLY_PT_plus_Theta_2of2,15n118265
HOMFLY_PT_plus_Theta_2of2,15n062615
HOMFLY_PT_plus_Theta_2of2,15n163303
HOMFLY_PT_plus_Theta_2of2,15n052211
HOMFLY_PT_plus_Theta_2of2,15n012482
HOMFLY_PT_plus_Theta_2of2,15n022903
HOMFLY_PT_plus_Theta_2of2,15a41661
HOMFLY_PT_plus_Theta_2of2,15n045196
HOMFLY_PT_plus_Theta_2of2,14n26230
HOMFLY_PT_plus_Theta_2of2,15a84530
HOMFLY_PT_plus_Theta_2of2,15n143605
HOMFLY_PT_plus_Theta_2of2,15a83944
HOMFLY_PT_plus_Theta_2of2,15n046700
HOMFLY_PT_plus_Theta_2of2,15a58615
HOMFLY_PT_plus_Theta_2of2,15n031888
HOMFLY_PT_plus_Theta_2of2,15n005951
HOMFLY_PT_plus_Theta_2of2,15n143746
HOMFLY_PT_plus_Theta_2of2,15n133567
HOMFLY_PT_plus_Theta_2of2,15a49064
HOMFLY_PT_plus_Theta_2of2,15n028042
HOMFLY_PT_plus_Theta_2of2,15n119483
HOMFLY_PT_plus_Theta_2of2,15n043755
four_view_3of4,14n07560
four_view_3of4,15n133702
four_view_3of4,15n156616
four_view_3of4,15n079830
four_view_3of4,14n18082
four_view_3of4,15n164613
four_view_3of4,15a83101
four_view_3of4,15n140504
four_view_3of4,15n068007
four_view_3of4,15n089064
four_view_3of4,15n033851
four_view_3of4,15n050268
four_view_3of4,15n093576
four_view_3of4,14n08510
four_view_3of4,15n163303
four_view_3of4,15n159774
four_view_3of4,15n012482
four_view_3of4,15n062696
four_view_3of4,15n140634
four_view_3of4,15a58615
four_view_3of4,15n031888
four_view_3of4,15n160317
four_view_3of4,15n012301
four_view_3of4,15n031211
four_view_3of4,15n127574
four_view_3of4,15n163311
four_view_3of4,15n143746
four_view_3of4,15n135916
four_view_3of4,15a51218
four_view_3of4,15n055602
four_view_3of4,15n119483
