knot_a,knot_b,same_HOMFLY_PT_exact,theta_differs,kh_diagonal_a,kh_diagonal_b,kh_diagonal_abs_difference,four_view_selected_a,four_view_selected_b,pair_selected_a,pair_selected_b
12a0401,15n000211,True,True,2.0,3.0,1.0,False,False,False,False
15n151004,15n068303,True,True,2.0,3.0,1.0,False,False,False,False
14n15507,14n15911,True,True,2.0,3.0,1.0,False,False,False,False
12n777,13n2288,True,True,2.0,3.0,1.0,False,False,False,False
14n18415,15n054287,True,True,2.0,3.0,1.0,False,False,False,False
15n101713,15n007850,True,True,2.0,3.0,1.0,False,False,False,False
13n0579,15n084429,True,True,2.0,3.0,1.0,False,False,False,False
15n166481,15n077936,True,True,2.0,3.0,1.0,False,False,False,False
14n18803,15n006671,True,True,2.0,3.0,1.0,False,False,False,False
13n0759,15n073293,True,True,2.0,3.0,1.0,False,False,False,False
15n110319,15n096320,True,True,2.0,3.0,1.0,False,False,False,False
15n063865,15n047685,True,True,2.0,3.0,1.0,False,False,False,False
13n2434,15n103950,True,True,2.0,3.0,1.0,False,False,False,False
14n14361,15n008597,True,True,2.0,3.0,1.0,False,False,False,False
15n063773,15n022041,True,True,2.0,3.0,1.0,False,False,False,False
07_5,13n3238,True,True,2.0,3.0,1.0,False,False,False,False
14n02643,15n040309,True,True,2.0,3.0,1.0,False,False,False,False
15n042773,15n049941,True,True,2.0,3.0,1.0,False,False,False,False
15n086472,15n120357,True,True,2.0,3.0,1.0,False,False,False,False
15n093781,15n088840,True,True,2.0,3.0,1.0,False,False,False,False
15n064120,15n076038,True,True,2.0,3.0,1.0,False,False,False,False
15n033048,15n104424,True,True,2.0,3.0,1.0,False,False,False,False
14n10533,13n0780,True,True,2.0,3.0,1.0,False,False,False,False
14n10842,15n155515,True,True,2.0,3.0,1.0,False,False,False,False
14n06467,15n096227,True,True,2.0,3.0,1.0,False,False,False,False
15n061009,15n052310,True,True,2.0,3.0,1.0,False,False,False,False
15n014992,15n001131,True,True,2.0,3.0,1.0,False,False,False,False
15n103472,15n091292,True,True,2.0,3.0,1.0,False,False,False,False
14n12866,15n005762,True,True,2.0,3.0,1.0,False,False,False,False
15n148934,15n104421,True,True,2.0,3.0,1.0,False,False,False,False
15n018479,15n040746,True,True,2.0,3.0,1.0,False,False,False,False
13n4637,15n124994,True,True,2.0,3.0,1.0,False,False,False,False
15n081227,15n014278,True,True,2.0,3.0,1.0,False,False,False,False
15n059204,15n013163,True,True,2.0,3.0,1.0,False,False,False,False
14n07727,15n072458,True,True,2.0,3.0,1.0,False,False,False,False
15n071543,15n009132,True,True,2.0,3.0,1.0,False,False,False,False
15n159057,15n049833,True,True,2.0,3.0,1.0,False,False,False,False
14n21264,15n104297,True,True,2.0,3.0,1.0,False,False,False,False
12n825,13n2557,True,True,2.0,3.0,1.0,False,False,False,False
14n18135,15n116229,True,True,2.0,3.0,1.0,False,False,False,False
12a0845,15n014048,True,True,2.0,3.0,1.0,False,False,False,False
15n085940,15n115775,True,True,2.0,3.0,1.0,False,False,False,False
15n041820,15n093273,True,True,2.0,3.0,1.0,False,False,False,False
15n059044,15n057705,True,True,2.0,3.0,1.0,False,False,False,False
13n2124,14n18414,True,True,2.0,3.0,1.0,False,False,False,False
13n0712,15n058753,True,True,2.0,3.0,1.0,False,False,False,False
15n079821,15n014275,True,True,2.0,3.0,1.0,False,False,False,False
15n157466,15n066010,True,True,2.0,3.0,1.0,False,False,False,False
15n132146,15n128926,True,True,2.0,3.0,1.0,False,False,False,False
13n0649,15n095708,True,True,2.0,3.0,1.0,False,False,False,False
13n3184,14n11896,True,True,2.0,3.0,1.0,False,False,False,False
15n056629,15n088084,True,True,2.0,3.0,1.0,False,False,False,False
13n2661,15n013989,True,True,2.0,3.0,1.0,False,False,False,False
15n014158,15n129199,True,True,2.0,3.0,1.0,False,False,False,False
14n07963,15n060883,True,True,2.0,3.0,1.0,False,False,False,False
15n071025,15n031634,True,True,2.0,3.0,1.0,False,False,False,False
15n103567,15n021419,True,True,2.0,3.0,1.0,False,False,False,False
15n033082,15n067853,True,True,2.0,3.0,1.0,False,False,False,False
15n093251,15n018232,True,True,2.0,3.0,1.0,False,False,False,False
15n113756,15n016152,True,True,2.0,3.0,1.0,False,False,False,False
14n21564,15n067422,True,True,2.0,3.0,1.0,False,False,False,False
14n16199,15n104989,True,True,2.0,3.0,1.0,False,False,False,False
15n108683,15n044444,True,True,2.0,3.0,1.0,False,False,False,False
12a0009,15n002107,True,True,2.0,3.0,1.0,False,False,False,False
15n113483,15n104840,True,True,2.0,3.0,1.0,False,False,False,False
14n18759,15n105453,True,True,2.0,3.0,1.0,False,False,False,False
09_36,13n1488,True,True,2.0,3.0,1.0,False,False,False,False
14n25738,14n11610,True,True,2.0,3.0,1.0,False,False,False,False
