selection,knot_id_base,stored_F_diagonal_count_WKh,stored_F_support_size,certified_Turaev_genus_lower_bound_if_convention_verified,certified_dealternating_number_lower_bound_if_convention_verified,almost_alternating_excluded_if_convention_verified
canonical_noKh_n220,14n08362,4.0,31.0,2,2,True
canonical_noKh_n220,14n08510,4.0,32.0,2,2,True
canonical_noKh_n220,14n09742,4.0,31.0,2,2,True
canonical_noKh_n220,14n19947,4.0,26.0,2,2,True
canonical_noKh_n220,14n23835,4.0,29.0,2,2,True
canonical_noKh_n220,14n24120,4.0,31.0,2,2,True
canonical_noKh_n220,14n24763,4.0,21.0,2,2,True
canonical_noKh_n220,14n24778,4.0,22.0,2,2,True
canonical_noKh_n220,14n27179,4.0,27.0,2,2,True
canonical_noKh_n220,14n27214,4.0,27.0,2,2,True
canonical_noKh_n220,15n012301,4.0,31.0,2,2,True
canonical_noKh_n220,15n018579,4.0,33.0,2,2,True
canonical_noKh_n220,15n026021,4.0,34.0,2,2,True
canonical_noKh_n220,15n032227,4.0,34.0,2,2,True
canonical_noKh_n220,15n038419,4.0,39.0,2,2,True
canonical_noKh_n220,15n043686,4.0,26.0,2,2,True
canonical_noKh_n220,15n048057,4.0,35.0,2,2,True
canonical_noKh_n220,15n055602,4.0,34.0,2,2,True
canonical_noKh_n220,15n080794,4.0,26.0,2,2,True
canonical_noKh_n220,15n084090,4.0,32.0,2,2,True
canonical_noKh_n220,15n084461,4.0,32.0,2,2,True
canonical_noKh_n220,15n087652,4.0,31.0,2,2,True
canonical_noKh_n220,15n087971,4.0,34.0,2,2,True
canonical_noKh_n220,15n094893,4.0,34.0,2,2,True
canonical_noKh_n220,15n107177,4.0,34.0,2,2,True
canonical_noKh_n220,15n107223,4.0,34.0,2,2,True
canonical_noKh_n220,15n115629,4.0,35.0,2,2,True
canonical_noKh_n220,15n119483,4.0,30.0,2,2,True
canonical_noKh_n220,15n122907,4.0,30.0,2,2,True
canonical_noKh_n220,15n140472,4.0,26.0,2,2,True
canonical_noKh_n220,15n140484,4.0,27.0,2,2,True
canonical_noKh_n220,15n140504,4.0,26.0,2,2,True
canonical_noKh_n220,15n140512,4.0,25.0,2,2,True
canonical_noKh_n220,15n142188,4.0,33.0,2,2,True
canonical_noKh_n220,15n143434,4.0,28.0,2,2,True
canonical_noKh_n220,15n143746,4.0,26.0,2,2,True
canonical_noKh_n220,15n148674,4.0,31.0,2,2,True
canonical_noKh_n220,15n150441,4.0,33.0,2,2,True
canonical_noKh_n220,15n156260,4.0,34.0,2,2,True
canonical_noKh_n220,15n161040,4.0,28.0,2,2,True
canonical_noKh_n220,15n161055,4.0,35.0,2,2,True
canonical_noKh_n220,15n163295,4.0,28.0,2,2,True
canonical_noKh_n220,15n163303,4.0,35.0,2,2,True
canonical_noKh_n220,15n163311,4.0,28.0,2,2,True
canonical_noKh_n220,15n163322,4.0,36.0,2,2,True
canonical_noKh_n220,15n163697,4.0,28.0,2,2,True
canonical_noKh_n220,15n163708,4.0,36.0,2,2,True
canonical_noKh_n220,15n163769,4.0,32.0,2,2,True
heldout_conditional_n31,15n156616,4.0,35.0,2,2,True
heldout_conditional_n31,15n140504,4.0,26.0,2,2,True
heldout_conditional_n31,14n08510,4.0,32.0,2,2,True
heldout_conditional_n31,15n163303,4.0,35.0,2,2,True
heldout_conditional_n31,15n012301,4.0,31.0,2,2,True
heldout_conditional_n31,15n163311,4.0,28.0,2,2,True
heldout_conditional_n31,15n143746,4.0,26.0,2,2,True
heldout_conditional_n31,15n055602,4.0,34.0,2,2,True
heldout_conditional_n31,15n119483,4.0,30.0,2,2,True
heldout_relative_n31,15n156616,4.0,35.0,2,2,True
heldout_relative_n31,14n08510,4.0,32.0,2,2,True
heldout_relative_n31,15n012332,4.0,29.0,2,2,True
heldout_relative_n31,15n012301,4.0,31.0,2,2,True
heldout_relative_n31,15n055602,4.0,34.0,2,2,True
