family,coordinate
F,F_q-35_t-13
F,F_q-33_t-13
F,F_q-33_t-12
F,F_q-31_t-13
F,F_q-31_t-12
F,F_q-31_t-11
F,F_q-29_t-13
F,F_q-29_t-12
F,F_q-29_t-11
F,F_q-29_t-10
F,F_q-27_t-12
F,F_q-27_t-11
F,F_q-27_t-10
F,F_q-27_t-9
F,F_q-25_t-12
F,F_q-25_t-11
F,F_q-25_t-10
F,F_q-25_t-9
F,F_q-25_t-8
F,F_q-23_t-11
F,F_q-23_t-10
F,F_q-23_t-9
F,F_q-23_t-8
F,F_q-23_t-7
F,F_q-21_t-10
F,F_q-21_t-9
F,F_q-21_t-8
F,F_q-21_t-7
F,F_q-21_t-6
F,F_q-21_t-5
F,F_q-19_t-10
F,F_q-19_t-9
F,F_q-19_t-8
F,F_q-19_t-7
F,F_q-19_t-6
F,F_q-19_t-5
F,F_q-17_t-9
F,F_q-17_t-8
F,F_q-17_t-7
F,F_q-17_t-6
F,F_q-17_t-5
F,F_q-17_t-4
F,F_q-17_t-3
F,F_q-15_t-8
F,F_q-15_t-7
F,F_q-15_t-6
F,F_q-15_t-5
F,F_q-15_t-4
F,F_q-15_t-3
F,F_q-13_t-8
F,F_q-13_t-7
F,F_q-13_t-6
F,F_q-13_t-5
F,F_q-13_t-4
F,F_q-13_t-3
F,F_q-13_t-2
F,F_q-11_t-7
F,F_q-11_t-6
F,F_q-11_t-5
F,F_q-11_t-4
F,F_q-11_t-3
F,F_q-11_t-2
F,F_q-11_t-1
F,F_q-11_t0
F,F_q-9_t-6
F,F_q-9_t-5
F,F_q-9_t-4
F,F_q-9_t-3
F,F_q-9_t-2
F,F_q-9_t-1
F,F_q-9_t0
F,F_q-7_t-6
F,F_q-7_t-5
F,F_q-7_t-4
F,F_q-7_t-3
F,F_q-7_t-2
F,F_q-7_t-1
F,F_q-7_t0
F,F_q-7_t1
F,F_q-5_t-5
F,F_q-5_t-4
F,F_q-5_t-3
F,F_q-5_t-2
F,F_q-5_t-1
F,F_q-5_t0
F,F_q-5_t1
F,F_q-5_t2
F,F_q-3_t-5
F,F_q-3_t-4
F,F_q-3_t-3
F,F_q-3_t-2
F,F_q-3_t-1
F,F_q-3_t0
F,F_q-3_t1
F,F_q-3_t2
F,F_q-1_t-4
F,F_q-1_t-3
F,F_q-1_t-2
F,F_q-1_t-1
F,F_q-1_t0
F,F_q-1_t1
F,F_q-1_t2
F,F_q-1_t3
F,F_q1_t-3
F,F_q1_t-2
F,F_q1_t-1
F,F_q1_t0
F,F_q1_t1
F,F_q1_t2
F,F_q1_t3
F,F_q1_t4
F,F_q3_t-3
F,F_q3_t-2
F,F_q3_t-1
F,F_q3_t0
F,F_q3_t1
F,F_q3_t2
F,F_q3_t3
F,F_q3_t4
F,F_q5_t-2
F,F_q5_t-1
F,F_q5_t0
F,F_q5_t1
F,F_q5_t2
F,F_q5_t3
F,F_q5_t4
F,F_q5_t5
F,F_q7_t-1
F,F_q7_t0
F,F_q7_t1
F,F_q7_t2
F,F_q7_t3
F,F_q7_t4
F,F_q7_t5
F,F_q7_t6
F,F_q9_t-1
F,F_q9_t0
F,F_q9_t1
F,F_q9_t2
F,F_q9_t3
F,F_q9_t4
F,F_q9_t5
F,F_q9_t6
F,F_q9_t7
F,F_q11_t0
F,F_q11_t1
F,F_q11_t2
F,F_q11_t3
F,F_q11_t4
F,F_q11_t5
F,F_q11_t6
F,F_q11_t7
F,F_q13_t0
F,F_q13_t1
F,F_q13_t2
F,F_q13_t3
F,F_q13_t4
F,F_q13_t5
F,F_q13_t6
F,F_q13_t7
F,F_q13_t8
F,F_q15_t2
F,F_q15_t3
F,F_q15_t4
F,F_q15_t5
F,F_q15_t6
F,F_q15_t7
F,F_q15_t8
F,F_q15_t9
F,F_q17_t3
F,F_q17_t4
F,F_q17_t5
F,F_q17_t6
F,F_q17_t7
F,F_q17_t8
F,F_q17_t9
F,F_q19_t3
F,F_q19_t4
F,F_q19_t5
F,F_q19_t6
F,F_q19_t7
F,F_q19_t8
F,F_q19_t9
F,F_q19_t10
F,F_q21_t5
F,F_q21_t6
F,F_q21_t7
F,F_q21_t8
F,F_q21_t9
F,F_q21_t10
F,F_q21_t11
F,F_q23_t5
F,F_q23_t6
F,F_q23_t7
F,F_q23_t8
F,F_q23_t9
F,F_q23_t10
F,F_q23_t11
F,F_q25_t7
F,F_q25_t8
F,F_q25_t9
F,F_q25_t10
F,F_q25_t11
F,F_q25_t12
F,F_q27_t7
F,F_q27_t8
F,F_q27_t9
F,F_q27_t10
F,F_q27_t11
F,F_q27_t12
F,F_q29_t9
F,F_q29_t10
F,F_q29_t11
F,F_q29_t12
F,F_q29_t13
F,F_q31_t9
F,F_q31_t10
F,F_q31_t11
F,F_q31_t12
F,F_q31_t13
F,F_q33_t11
F,F_q33_t12
F,F_q33_t13
F,F_q33_t14
F,F_q35_t11
F,F_q35_t12
F,F_q35_t13
F,F_q35_t14
F,F_q37_t13
F,F_q37_t14
F,F_q39_t13
F,F_q39_t14
F,F_q-37_t-13
F,F_q-35_t-12
F,F_q-33_t-11
F,F_q-31_t-10
F,F_q-29_t-9
F,F_q-27_t-8
F,F_q-25_t-7
F,F_q-23_t-6
F,F_q-21_t-11
F,F_q-19_t-4
F,F_q-15_t-9
F,F_q-15_t-2
F,F_q-13_t-1
F,F_q-9_t-7
F,F_q-9_t1
F,F_q-3_t3
F,F_q3_t5
F,F_q15_t0
F,F_q17_t2
F,F_q21_t3
F,F_q21_t4
F,F_q25_t5
F,F_q25_t6
F,F_q29_t7
F,F_q29_t8
F,F_q29_t14
F,F_q31_t14
F,F_q33_t9
F,F_q33_t10
F,F_q33_t15
F,F_q35_t15
F,F_q37_t11
F,F_q37_t12
F,F_q37_t15
F,F_q39_t15
F,F_q41_t13
F,F_q41_t14
F,F_q41_t15
F,F_q43_t15
F,F_q45_t15
F,F_q-37_t-14
F,F_q-35_t-14
F,F_q-33_t-14
F,F_q-39_t-14
F,F_q-27_t-13
F,F_q-23_t-12
F,F_q-17_t-10
F,F_q-11_t-8
F,F_q-7_t2
F,F_q-5_t-6
F,F_q-1_t-5
F,F_q-1_t4
F,F_q1_t-4
F,F_q5_t-3
F,F_q5_t6
F,F_q7_t-2
F,F_q7_t7
F,F_q11_t-1
F,F_q11_t8
F,F_q13_t9
F,F_q15_t1
F,F_q17_t10
F,F_q19_t11
F,F_q23_t12
F,F_q25_t13
F,F_q27_t13
F,F_q37_t16
F,F_q39_t16
F,F_q41_t16
F,F_q43_t16
F,F_q45_t16
F,F_q-41_t-15
F,F_q-39_t-15
F,F_q-37_t-15
F,F_q-35_t-15
F,F_q-33_t-15
F,F_q-31_t-14
F,F_q-29_t-14
F,F_q-23_t-5
F,F_q-19_t-3
F,F_q-13_t0
F,F_q-47_t-17
F,F_q-45_t-17
F,F_q-45_t-16
F,F_q-43_t-17
F,F_q-43_t-16
F,F_q-43_t-15
F,F_q-41_t-17
F,F_q-41_t-16
F,F_q-41_t-14
F,F_q-39_t-17
F,F_q-39_t-16
F,F_q-39_t-13
F,F_q-37_t-16
F,F_q-37_t-12
F,F_q-35_t-16
F,F_q-35_t-11
F,F_q-33_t-10
F,F_q-31_t-9
F,F_q-29_t-8
F,F_q-27_t-7
F,F_q-25_t-13
F,F_q-25_t-6
F,F_q-21_t-4
F,F_q-19_t-11
F,F_q-17_t-2
F,F_q-13_t-9
F,F_q-7_t-7
F,F_q1_t5
F,F_q19_t2
