bins_per_view,metric,observed,null_mean,observed_minus_null,null_sd,z_null,p_lower,p_upper,p_two_sided,null_reps,strata_n_strata,strata_median_cell,strata_selected_fixed,strata_selected_movable
20,mean_E,47.277272727272724,48.87186818181818,-1.5945954545454555,0.3684039941145304,-4.3283880740167096,0.0004997501249375312,1.0,0.0009995002498750624,2000,129847,1.0,132,88
20,mean_total_free_rank,129.62727272727273,133.82638636363635,-4.19911363636362,1.0253586239635932,-4.095263391974665,0.0004997501249375312,1.0,0.0009995002498750624,2000,129847,1.0,132,88
20,mean_cancelled_fraction_of_rank,0.7246457120531358,0.7264159987494233,-0.0017702866962875374,0.000802591540417507,-2.205713126961987,0.01649175412293853,0.984007996001999,0.03298350824587706,2000,129847,1.0,132,88
10,mean_E,47.277272727272724,56.01164772727273,-8.734375000000007,0.825531902969159,-10.580299766230008,0.0004997501249375312,1.0,0.0009995002498750624,2000,39989,3.0,67,153
10,mean_total_free_rank,129.62727272727273,154.62061818181817,-24.993345454545448,2.370864319355679,-10.541870848745068,0.0004997501249375312,1.0,0.0009995002498750624,2000,39989,3.0,67,153
10,mean_cancelled_fraction_of_rank,0.7246457120531358,0.7219183001819564,0.0027274118711794193,0.0013416882606975076,2.03282085047201,0.9785107446276862,0.021989005497251374,0.04397801099450275,2000,39989,3.0,67,153
5,mean_E,47.277272727272724,67.92628863636364,-20.649015909090913,1.3330193357038838,-15.49040989580805,0.0004997501249375312,1.0,0.0009995002498750624,2000,7242,8.0,31,189
5,mean_total_free_rank,129.62727272727273,190.60948181818182,-60.982209090909095,3.8210340426110143,-15.959608946388325,0.0004997501249375312,1.0,0.0009995002498750624,2000,7242,8.0,31,189
5,mean_cancelled_fraction_of_rank,0.7246457120531358,0.7127153029260872,0.011930409127048569,0.0015559263762452782,7.6677208569718625,1.0,0.0004997501249375312,0.0009995002498750624,2000,7242,8.0,31,189
2,mean_E,47.277272727272724,80.11829772727273,-32.84102500000001,1.8405711993294631,-17.84284411924097,0.0004997501249375312,1.0,0.0009995002498750624,2000,583,34.0,21,199
2,mean_total_free_rank,129.62727272727273,226.01451818181818,-96.38724545454545,5.320602354266552,-18.115852122881016,0.0004997501249375312,1.0,0.0009995002498750624,2000,583,34.0,21,199
2,mean_cancelled_fraction_of_rank,0.7246457120531358,0.7134777700624909,0.011167941990644858,0.0015087571547116004,7.402080550716338,1.0,0.0004997501249375312,0.0009995002498750624,2000,583,34.0,21,199
1,mean_E,47.277272727272724,88.04251818181818,-40.76524545454546,2.9973368695024263,-13.600488443366963,0.0004997501249375312,1.0,0.0009995002498750624,2000,91,51.0,20,200
1,mean_total_free_rank,129.62727272727273,247.64312727272727,-118.01585454545454,8.687943468209482,-13.583865385092876,0.0004997501249375312,1.0,0.0009995002498750624,2000,91,51.0,20,200
1,mean_cancelled_fraction_of_rank,0.7246457120531358,0.7172686392905837,0.007377072762552062,0.0020234051903494296,3.645870237823244,1.0,0.0004997501249375312,0.0009995002498750624,2000,91,51.0,20,200
