knot_id_base,E_cancellation,total_free_rank,n_occupied_q_degrees,sum_abs_euler_coeff,E_fraction_of_rank
13a3092,19,48,15,10,0.7916666666666666
13a4878,5,14,9,4,0.7142857142857143
14n01955,21,60,15,18,0.7
14n05024,32,92,15,28,0.6956521739130435
14n07507,32,96,13,32,0.6666666666666666
14n07560,32,96,13,32,0.6666666666666666
14n08362,17,44,14,10,0.7727272727272727
14n08510,23,64,14,18,0.71875
14n09742,18,48,14,12,0.75
14n12201,10,34,14,14,0.5882352941176471
14n15856,12,38,14,14,0.631578947368421
14n18079,8,26,13,10,0.6153846153846154
14n19947,13,36,12,10,0.7222222222222222
14n21324,6,22,13,10,0.5454545454545454
14n23835,15,40,14,10,0.75
14n24120,19,52,14,14,0.7307692307692307
14n24551,14,46,14,18,0.6086956521739131
14n24763,8,22,12,6,0.7272727272727273
14n24778,11,28,12,6,0.7857142857142857
14n27179,12,34,14,10,0.7058823529411765
14n27214,12,38,14,14,0.631578947368421
14n27436,61,180,15,58,0.6777777777777778
15a41133,76,206,17,54,0.7378640776699029
15a51447,74,198,17,50,0.7474747474747475
15a54584,24,58,17,10,0.8275862068965517
15a54597,62,166,17,42,0.7469879518072289
15a54664,42,106,17,22,0.7924528301886793
15a54671,66,178,17,46,0.7415730337078652
15a54813,50,130,17,30,0.7692307692307693
15a54846,88,238,17,62,0.7394957983193278
15a58615,63,166,17,40,0.7590361445783133
15a58637,69,186,17,48,0.7419354838709677
15a58650,63,166,17,40,0.7590361445783133
15a67050,156,426,17,114,0.7323943661971831
15a68273,156,430,17,118,0.7255813953488373
15a69409,109,296,17,78,0.7364864864864865
15a74186,171,470,17,128,0.7276595744680852
15a74300,117,320,17,86,0.73125
15a74865,156,426,17,114,0.7323943661971831
15a78720,34,86,17,18,0.7906976744186046
15a78721,69,184,17,46,0.75
15a78727,82,222,17,58,0.7387387387387387
15a78734,77,210,17,56,0.7333333333333333
15a78793,56,146,17,34,0.7671232876712328
15a78802,52,138,17,34,0.7536231884057971
15a78843,62,166,17,42,0.7469879518072289
15a81420,69,186,17,48,0.7419354838709677
15a82172,75,202,17,52,0.7425742574257426
15a82178,75,202,17,52,0.7425742574257426
15a83944,110,300,17,80,0.7333333333333333
15a84245,109,296,17,78,0.7364864864864865
15a84772,38,98,17,22,0.7755102040816326
15a84773,70,188,17,48,0.7446808510638298
15a84775,65,172,17,42,0.7558139534883721
15a84784,65,174,17,44,0.7471264367816092
15a84787,58,154,17,38,0.7532467532467533
15a84790,71,194,17,52,0.7319587628865979
15a84832,58,154,17,38,0.7532467532467533
15a84957,48,126,17,30,0.7619047619047619
15a85074,70,190,17,50,0.7368421052631579
15a85170,36,94,17,22,0.7659574468085106
15a85171,55,144,17,34,0.7638888888888888
15a85172,71,192,17,50,0.7395833333333334
15a85181,50,130,17,30,0.7692307692307693
15a85193,22,58,16,14,0.7586206896551724
15a85204,74,202,17,54,0.7326732673267327
15a85240,30,74,17,14,0.8108108108108109
15a85241,62,164,17,40,0.7560975609756098
15a85245,21,52,16,10,0.8076923076923077
15a85246,43,114,16,28,0.7543859649122807
15a85247,73,198,17,52,0.7373737373737373
15a85258,16,38,16,6,0.8421052631578947
15a85259,35,88,16,18,0.7954545454545454
15n005173,45,132,15,42,0.6818181818181818
15n005788,32,96,13,32,0.6666666666666666
15n005900,32,96,13,32,0.6666666666666666
15n006162,45,132,15,42,0.6818181818181818
15n008500,27,80,13,26,0.675
15n012212,31,92,15,30,0.6739130434782609
15n012301,17,44,14,10,0.7727272727272727
15n012482,33,96,14,30,0.6875
15n012642,33,96,14,30,0.6875
15n013472,31,92,15,30,0.6739130434782609
15n013955,31,92,13,30,0.6739130434782609
15n015791,31,92,13,30,0.6739130434782609
15n018530,37,112,13,38,0.6607142857142857
15n018579,25,68,15,18,0.7352941176470589
15n026021,30,80,15,20,0.75
15n027211,34,96,16,28,0.7083333333333334
15n028035,34,96,16,28,0.7083333333333334
15n031211,76,210,16,58,0.7238095238095238
15n031235,94,258,16,70,0.7286821705426356
15n031240,51,152,14,50,0.6710526315789473
15n031888,51,152,14,50,0.6710526315789473
15n032227,28,76,15,20,0.7368421052631579
15n032331,48,140,16,44,0.6857142857142857
15n032334,48,140,16,44,0.6857142857142857
15n032574,94,258,16,70,0.7286821705426356
15n032653,76,210,16,58,0.7238095238095238
15n033777,68,186,16,50,0.7311827956989247
15n033851,68,186,16,50,0.7311827956989247
15n038323,34,96,16,28,0.7083333333333334
15n038419,37,98,14,24,0.7551020408163265
15n040125,35,104,13,34,0.6730769230769231
15n041009,34,104,13,36,0.6538461538461539
15n041132,53,152,14,46,0.6973684210526315
15n043686,16,50,14,18,0.64
15n045218,53,138,15,32,0.7681159420289855
15n046405,61,160,15,38,0.7625
15n046450,44,120,16,32,0.7333333333333333
15n046508,60,154,16,34,0.7792207792207793
15n046825,47,116,15,22,0.8103448275862069
15n048057,47,128,15,34,0.734375
15n048979,35,96,13,26,0.7291666666666666
15n050148,76,200,15,48,0.76
15n050179,58,160,15,44,0.725
15n054115,44,132,14,44,0.6666666666666666
15n055347,50,144,14,44,0.6944444444444444
15n055395,48,130,15,34,0.7384615384615385
15n055558,80,232,16,72,0.6896551724137931
15n055602,27,72,15,18,0.75
15n056608,65,180,15,50,0.7222222222222222
15n057093,63,178,16,52,0.7078651685393258
15n060856,37,104,13,30,0.7115384615384616
15n061299,51,138,15,36,0.7391304347826086
15n062629,42,114,16,30,0.7368421052631579
15n062696,42,114,16,30,0.7368421052631579
15n068007,24,68,15,20,0.7058823529411765
15n068021,30,78,15,18,0.7692307692307693
15n068323,45,120,15,30,0.75
15n079291,68,166,15,30,0.8192771084337349
15n080794,14,42,14,14,0.6666666666666666
15n082717,46,122,15,30,0.7540983606557377
15n083035,57,160,15,46,0.7125
15n084090,25,68,14,18,0.7352941176470589
15n084272,48,126,16,30,0.7619047619047619
15n084300,21,60,13,18,0.7
15n084461,27,76,14,22,0.7105263157894737
15n086486,69,196,15,58,0.7040816326530612
15n086622,54,154,16,46,0.7012987012987013
15n087652,22,60,14,16,0.7333333333333333
15n087971,31,84,15,22,0.7380952380952381
15n088458,59,168,14,50,0.7023809523809523
15n089064,32,96,13,32,0.6666666666666666
15n093546,40,104,15,24,0.7692307692307693
15n094282,51,152,14,50,0.6710526315789473
15n094893,34,92,15,24,0.7391304347826086
15n096183,53,146,15,40,0.726027397260274
15n096562,119,340,16,102,0.7
15n103051,63,172,15,46,0.7325581395348837
15n106833,60,154,16,34,0.7792207792207793
15n107018,44,120,16,32,0.7333333333333333
15n107177,38,104,15,28,0.7307692307692307
15n107223,34,92,15,24,0.7391304347826086
15n108154,83,206,15,40,0.8058252427184466
15n108315,69,200,14,62,0.69
15n110206,65,166,15,36,0.7831325301204819
15n110281,57,154,15,40,0.7402597402597403
15n115419,48,140,16,44,0.6857142857142857
15n115629,20,56,15,16,0.7142857142857143
15n116367,51,148,15,46,0.6891891891891891
15n116901,54,160,14,52,0.675
15n119483,22,62,15,18,0.7096774193548387
15n120002,72,182,16,38,0.7912087912087912
15n121436,74,202,16,54,0.7326732673267327
15n122242,58,148,16,32,0.7837837837837838
15n122445,58,148,16,32,0.7837837837837838
15n122907,22,62,15,18,0.7096774193548387
15n125077,35,100,14,30,0.7
15n130688,68,174,15,38,0.7816091954022989
15n133019,53,152,14,46,0.6973684210526315
15n133040,52,138,15,34,0.7536231884057971
15n133702,38,108,13,32,0.7037037037037037
15n135861,64,174,16,46,0.735632183908046
15n135916,22,56,15,12,0.7857142857142857
15n136334,45,118,14,28,0.7627118644067796
15n137353,55,160,14,50,0.6875
15n139999,50,138,15,38,0.7246376811594203
15n140472,12,38,14,14,0.631578947368421
15n140484,13,36,13,10,0.7222222222222222
15n140504,10,34,14,14,0.5882352941176471
15n140512,11,32,13,10,0.6875
15n140525,33,92,13,26,0.717391304347826
15n140634,49,140,14,42,0.7
15n142168,58,150,15,34,0.7733333333333333
15n142188,13,36,14,10,0.7222222222222222
15n142411,31,88,13,26,0.7045454545454546
15n143434,29,86,15,28,0.6744186046511628
15n143607,51,134,15,32,0.7611940298507462
15n143746,17,54,14,20,0.6296296296296297
15n147304,37,104,14,30,0.7115384615384616
15n148674,26,68,14,16,0.7647058823529411
15n149210,65,170,15,40,0.7647058823529411
15n150441,31,84,15,22,0.7380952380952381
15n156260,24,64,14,16,0.75
15n158421,45,128,14,38,0.703125
15n159643,21,56,12,14,0.75
15n159744,47,136,14,42,0.6911764705882353
15n159774,57,164,15,50,0.6951219512195121
15n159815,43,124,15,38,0.6935483870967742
15n160316,86,210,15,38,0.819047619047619
15n161008,39,112,14,34,0.6964285714285714
15n161040,21,62,15,20,0.6774193548387096
15n161055,16,44,15,12,0.7272727272727273
15n163276,84,226,16,58,0.7433628318584071
15n163295,13,42,15,16,0.6190476190476191
15n163303,15,44,15,14,0.6818181818181818
15n163311,25,74,15,24,0.6756756756756757
15n163322,20,56,15,16,0.7142857142857143
15n163697,22,66,15,22,0.6666666666666666
15n163708,18,48,15,12,0.75
15n163769,23,56,14,10,0.8214285714285714
15n164605,42,110,16,26,0.7636363636363637
15n164606,47,136,14,42,0.6911764705882353
15n164613,44,124,16,36,0.7096774193548387
15n164614,62,166,16,42,0.7469879518072289
15n164615,69,194,16,56,0.711340206185567
15n164617,44,124,16,36,0.7096774193548387
15n164618,62,166,16,42,0.7469879518072289
15n166674,51,134,16,32,0.7611940298507462
