knot_id_base,reproduced_t_standard,reproduced_t_inverse,jones_khovanov_same_representative,orientation_ambiguous
03_1,True,False,True,False
04_1,True,True,True,True
05_1,True,False,True,False
05_2,True,False,True,False
06_1,True,False,True,False
06_2,True,False,True,False
06_3,True,True,True,True
07_1,True,False,True,False
07_2,True,False,True,False
07_3,True,False,True,False
07_4,True,False,True,False
07_5,True,False,True,False
07_6,True,False,True,False
07_7,False,True,False,False
08_01,True,False,True,False
08_02,True,False,True,False
08_03,True,True,True,True
08_04,False,True,False,False
08_05,True,False,True,False
08_06,True,False,True,False
08_07,False,True,False,False
08_08,False,True,False,False
08_09,True,True,True,True
08_10,False,True,False,False
08_11,True,False,True,False
08_12,True,True,True,True
08_13,False,True,False,False
08_14,True,False,True,False
08_15,True,False,True,False
08_16,False,True,False,False
08_17,True,True,True,True
08_18,True,True,True,True
08_19,True,False,True,False
08_20,False,True,False,False
08_21,True,False,True,False
09_01,True,False,True,False
09_02,True,False,True,False
09_03,True,False,True,False
09_04,True,False,True,False
09_05,True,False,True,False
09_06,True,False,True,False
09_07,True,False,True,False
09_08,True,False,True,False
09_09,True,False,True,False
09_10,True,False,True,False
09_11,False,True,False,False
09_12,True,False,True,False
09_13,True,False,True,False
09_14,False,True,False,False
09_15,False,True,False,False
09_16,True,False,True,False
09_17,True,False,True,False
09_18,True,False,True,False
09_19,True,False,True,False
09_20,True,False,True,False
09_21,False,True,False,False
09_22,True,False,True,False
09_23,True,False,True,False
09_24,True,False,True,False
09_25,True,False,True,False
09_26,False,True,False,False
09_27,True,False,True,False
09_28,True,False,True,False
09_29,False,True,False,False
09_30,False,True,False,False
09_31,True,False,True,False
09_32,False,True,False,False
09_33,False,True,False,False
09_34,False,True,False,False
09_35,True,False,True,False
09_36,False,True,False,False
09_37,True,False,True,False
09_38,True,False,True,False
09_39,False,True,False,False
09_40,True,False,True,False
09_41,False,True,False,False
09_42,True,True,True,True
09_43,True,False,True,False
09_44,True,False,True,False
09_45,False,True,False,False
09_46,False,True,False,False
09_47,True,False,True,False
09_48,False,True,False,False
09_49,True,False,True,False
10_001,True,False,True,False
10_002,True,False,True,False
10_003,True,False,True,False
10_004,False,True,False,False
10_005,False,True,False,False
10_006,True,False,True,False
10_007,True,False,True,False
10_008,True,False,True,False
10_009,True,False,True,False
10_010,False,True,False,False
10_011,True,False,True,False
10_012,False,True,False,False
10_013,True,False,True,False
10_014,True,False,True,False
10_015,False,True,False,False
10_016,True,False,True,False
10_017,True,True,True,True
10_018,True,False,True,False
10_019,True,False,True,False
10_020,True,False,True,False
10_021,True,False,True,False
10_022,True,False,True,False
