knot_id_base,W_F,in_frozen_canonical
14a13661,2.0,False
14n01604,3.0,False
14n02353,3.0,False
14n03580,3.0,False
14n04819,2.0,False
14n05024,3.0,True
14n06022,3.0,False
14n07507,3.0,True
14n07560,3.0,True
14n07850,3.0,False
14n09219,3.0,False
14n10320,3.0,False
14n12201,3.0,True
14n12864,3.0,False
14n13191,3.0,False
14n15856,3.0,True
14n17435,3.0,False
14n18079,3.0,True
14n19749,3.0,False
14n20123,3.0,False
14n20188,3.0,False
14n20257,3.0,False
14n20458,3.0,False
14n20459,3.0,False
14n20467,3.0,False
14n20475,3.0,False
14n20480,3.0,False
14n20483,3.0,False
14n20614,3.0,False
14n20618,3.0,False
14n20644,3.0,False
14n20645,3.0,False
14n20656,3.0,False
14n21024,3.0,False
14n21324,3.0,True
14n22068,4.0,False
14n24120,4.0,True
14n24551,3.0,True
14n24763,4.0,True
14n26229,3.0,False
14n27179,4.0,True
14n27214,4.0,True
14n27436,3.0,True
15a53144,2.0,False
15a54584,2.0,True
15a54585,2.0,False
15a54623,2.0,False
15a54670,2.0,False
15a54813,2.0,True
15a62744,2.0,False
15a68105,2.0,False
15a68262,2.0,False
15a69409,2.0,True
15a70037,2.0,False
15a73113,2.0,False
15a74186,2.0,True
15a78720,2.0,True
15a78721,2.0,True
15a78726,2.0,False
15a78727,2.0,True
15a78746,2.0,False
15a78796,2.0,False
15a78806,2.0,False
15a84245,2.0,True
15a84530,2.0,False
15a84561,2.0,False
15a84772,2.0,True
15a84773,2.0,True
15a84775,2.0,True
15a84789,2.0,False
15a84793,2.0,False
15a84800,2.0,False
15a84962,2.0,False
15a85092,2.0,False
15a85170,2.0,True
15a85171,2.0,True
15a85172,2.0,True
15a85182,2.0,False
15a85184,2.0,False
15a85193,2.0,True
15a85204,2.0,True
15a85240,2.0,True
15a85241,2.0,True
15a85245,2.0,True
15a85246,2.0,True
15a85247,2.0,True
15a85258,2.0,True
15a85259,2.0,True
15n005300,3.0,False
15n005552,3.0,False
15n005788,3.0,True
15n005900,3.0,True
15n006107,3.0,False
15n006246,3.0,False
15n008500,3.0,True
15n012212,3.0,True
15n012482,3.0,True
15n012642,3.0,True
15n013472,3.0,True
15n013955,3.0,True
15n015263,3.0,False
15n015791,3.0,True
15n017250,3.0,False
15n017633,3.0,False
15n018579,4.0,True
15n020132,3.0,False
15n021015,3.0,False
15n021361,3.0,False
15n022479,3.0,False
15n022790,3.0,False
15n023825,3.0,False
15n024013,3.0,False
15n024219,3.0,False
15n024666,3.0,False
15n025890,3.0,False
15n025977,3.0,False
15n026945,3.0,False
15n027177,3.0,False
15n027211,3.0,True
15n027354,3.0,False
15n027456,3.0,False
15n028035,3.0,True
15n028074,3.0,False
15n028188,3.0,False
15n028344,3.0,False
15n028460,3.0,False
15n028527,3.0,False
15n028709,3.0,False
15n028736,3.0,False
15n028744,3.0,False
15n030389,3.0,False
15n031235,3.0,True
15n031240,3.0,True
15n031865,3.0,False
15n031888,3.0,True
15n032227,4.0,True
15n032331,3.0,True
15n032334,3.0,True
15n032559,3.0,False
15n032574,3.0,True
15n033741,3.0,False
15n033771,3.0,False
15n033777,3.0,True
15n033842,3.0,False
15n033851,3.0,True
15n038323,3.0,True
15n040125,3.0,True
15n040211,4.0,False
15n040293,3.0,False
15n041009,3.0,True
15n041132,3.0,True
15n043127,3.0,False
15n043341,3.0,False
15n043686,4.0,True
15n044903,3.0,False
15n045111,3.0,False
15n045218,3.0,True
15n045316,3.0,False
15n046450,3.0,True
15n046470,3.0,False
15n046825,3.0,True
15n047893,3.0,False
15n048057,4.0,True
15n048933,3.0,False
15n048979,3.0,True
15n049480,3.0,False
15n050268,3.0,False
15n051826,3.0,False
15n053717,4.0,False
15n053781,3.0,False
15n054100,3.0,False
15n054115,3.0,True
15n054809,3.0,False
15n055065,3.0,False
15n055109,3.0,False
15n055325,3.0,False
15n055347,3.0,True
15n055395,3.0,True
15n055412,3.0,False
15n055526,3.0,False
15n055558,3.0,True
15n056215,3.0,False
15n056240,3.0,False
15n057093,3.0,True
15n057733,3.0,False
15n057962,3.0,False
15n060856,3.0,True
15n061227,3.0,False
15n062618,3.0,False
15n062629,3.0,True
15n062642,3.0,False
15n062685,3.0,False
15n062696,3.0,True
15n063859,3.0,False
15n066302,3.0,False
15n067005,3.0,False
15n068323,3.0,True
15n068939,3.0,False
15n070531,3.0,False
15n070744,3.0,False
15n076811,3.0,False
15n079291,3.0,True
15n080202,3.0,False
15n080691,3.0,False
15n080794,4.0,True
15n082717,3.0,True
15n084090,4.0,True
15n084272,3.0,True
15n084461,4.0,True
15n085226,3.0,False
15n085691,3.0,False
15n085695,3.0,False
15n086619,3.0,False
15n086622,3.0,True
15n087971,4.0,True
15n088458,3.0,True
15n089064,3.0,True
15n091714,3.0,False
15n092547,3.0,False
15n093574,3.0,False
15n094282,3.0,True
15n095539,3.0,False
15n096254,3.0,False
15n096562,3.0,True
15n096709,3.0,False
15n099463,3.0,False
15n100287,3.0,False
15n101016,3.0,False
15n104914,3.0,False
15n106007,3.0,False
15n106791,3.0,False
15n106950,3.0,False
15n106974,3.0,False
15n106987,3.0,False
15n107018,3.0,True
15n107287,3.0,False
15n107682,3.0,False
15n108315,3.0,True
15n108908,3.0,False
15n112284,2.0,False
15n113262,2.0,False
15n115256,3.0,False
15n115283,3.0,False
15n115419,3.0,True
15n115584,3.0,False
15n116367,3.0,True
15n116822,2.0,False
15n116901,3.0,True
15n118352,3.0,False
15n118446,3.0,False
15n118454,3.0,False
15n118684,3.0,False
15n119995,3.0,False
15n120001,3.0,False
15n120002,3.0,True
15n120243,3.0,False
15n121327,3.0,False
15n121374,3.0,False
15n121375,3.0,False
15n121429,3.0,False
15n121435,3.0,False
15n121450,3.0,False
15n122047,3.0,False
15n122242,3.0,True
15n122316,3.0,False
15n122445,3.0,True
15n125077,3.0,True
15n126567,3.0,False
15n129772,4.0,False
15n129829,3.0,False
15n131651,3.0,False
15n133019,3.0,True
15n133220,3.0,False
15n133318,3.0,False
15n133328,3.0,False
15n133702,3.0,True
15n135860,3.0,False
15n135866,3.0,False
15n137353,3.0,True
15n138098,3.0,False
15n140117,3.0,False
15n140159,3.0,False
15n140192,4.0,False
15n140472,4.0,True
15n140484,4.0,True
15n140504,4.0,True
15n140525,3.0,True
15n140618,3.0,False
15n140634,3.0,True
15n142188,4.0,True
15n142411,3.0,True
15n142511,3.0,False
15n143322,3.0,False
15n143434,4.0,True
15n143584,3.0,False
15n143746,4.0,True
15n143902,3.0,False
15n147304,3.0,True
15n150829,3.0,False
15n151082,4.0,False
15n153400,3.0,False
15n156377,3.0,False
15n157607,3.0,False
15n158361,2.0,False
15n158421,3.0,True
15n159643,3.0,True
15n159744,3.0,True
15n159815,3.0,True
15n160317,3.0,False
15n161040,4.0,True
15n161055,4.0,True
15n161187,3.0,False
15n163189,3.0,False
15n163203,3.0,False
15n163276,3.0,True
15n163295,4.0,True
15n163311,4.0,True
15n163322,4.0,True
15n163697,4.0,True
15n163708,4.0,True
15n164148,3.0,False
15n164606,3.0,True
15n164613,3.0,True
15n164617,3.0,True
15n166536,3.0,False
15n166644,3.0,False
15n166674,3.0,True
15n166758,3.0,False
15n168025,4.0,False
