n_bins,n,nonalternating_n,abs_gap_positive_prop,mean_abs_gap,abs_gap_ge_4_prop,kh_diagonal_mean,kh_diagonal_ge_3_prop,kh_support_mean,crossing_15_prop,alternating_prop,comparison_bins,jaccard
50,65.0,56.0,0.75,1.75,0.125,2.9846153846153847,0.8307692307692308,28.907692307692308,0.7692307692307693,0.13846153846153847,,
100,60.0,52.0,0.7307692307692307,1.7307692307692308,0.1346153846153846,3.0166666666666666,0.85,30.133333333333333,0.8166666666666667,0.13333333333333333,,
200,47.0,40.0,0.675,1.45,0.05,2.893617021276596,0.8085106382978723,30.21276595744681,0.9361702127659575,0.14893617021276595,,
50,,,,,,,,,,,50.0,1.0
50,,,,,,,,,,,100.0,0.6447368421052632
50,,,,,,,,,,,200.0,0.4358974358974359
100,,,,,,,,,,,50.0,0.6447368421052632
100,,,,,,,,,,,100.0,1.0
100,,,,,,,,,,,200.0,0.5070422535211268
200,,,,,,,,,,,50.0,0.4358974358974359
200,,,,,,,,,,,100.0,0.5070422535211268
200,,,,,,,,,,,200.0,1.0
