family,method_a,method_b,size_a,size_b,overlap,jaccard
All 5 >=3/5,raw_sse,raw_sse,263,263,263,1.0
All 5 >=3/5,raw_sse,relative_nre,263,18,1,0.0035714285714285713
All 5 >=3/5,raw_sse,residual_mahalanobis,263,328,201,0.5153846153846153
All 5 >=3/5,raw_sse,residual_isolation_forest,263,200,113,0.32285714285714284
All 5 >=3/5,raw_sse,conditional_percentile_100,263,60,23,0.07666666666666666
All 5 >=3/5,relative_nre,raw_sse,18,263,1,0.0035714285714285713
All 5 >=3/5,relative_nre,relative_nre,18,18,18,1.0
All 5 >=3/5,relative_nre,residual_mahalanobis,18,328,3,0.008746355685131196
All 5 >=3/5,relative_nre,residual_isolation_forest,18,200,1,0.004608294930875576
All 5 >=3/5,relative_nre,conditional_percentile_100,18,60,6,0.08333333333333333
All 5 >=3/5,residual_mahalanobis,raw_sse,328,263,201,0.5153846153846153
All 5 >=3/5,residual_mahalanobis,relative_nre,328,18,3,0.008746355685131196
All 5 >=3/5,residual_mahalanobis,residual_mahalanobis,328,328,328,1.0
All 5 >=3/5,residual_mahalanobis,residual_isolation_forest,328,200,113,0.27228915662650605
All 5 >=3/5,residual_mahalanobis,conditional_percentile_100,328,60,33,0.09295774647887324
All 5 >=3/5,residual_isolation_forest,raw_sse,200,263,113,0.32285714285714284
All 5 >=3/5,residual_isolation_forest,relative_nre,200,18,1,0.004608294930875576
All 5 >=3/5,residual_isolation_forest,residual_mahalanobis,200,328,113,0.27228915662650605
All 5 >=3/5,residual_isolation_forest,residual_isolation_forest,200,200,200,1.0
All 5 >=3/5,residual_isolation_forest,conditional_percentile_100,200,60,15,0.061224489795918366
All 5 >=3/5,conditional_percentile_100,raw_sse,60,263,23,0.07666666666666666
All 5 >=3/5,conditional_percentile_100,relative_nre,60,18,6,0.08333333333333333
All 5 >=3/5,conditional_percentile_100,residual_mahalanobis,60,328,33,0.09295774647887324
All 5 >=3/5,conditional_percentile_100,residual_isolation_forest,60,200,15,0.061224489795918366
All 5 >=3/5,conditional_percentile_100,conditional_percentile_100,60,60,60,1.0
No Khovanov >=3/4,raw_sse,raw_sse,220,220,220,1.0
No Khovanov >=3/4,raw_sse,relative_nre,220,5,0,0.0
No Khovanov >=3/4,raw_sse,residual_mahalanobis,220,275,161,0.4820359281437126
No Khovanov >=3/4,raw_sse,residual_isolation_forest,220,103,76,0.3076923076923077
No Khovanov >=3/4,raw_sse,conditional_percentile_100,220,31,10,0.04149377593360996
No Khovanov >=3/4,relative_nre,raw_sse,5,220,0,0.0
No Khovanov >=3/4,relative_nre,relative_nre,5,5,5,1.0
No Khovanov >=3/4,relative_nre,residual_mahalanobis,5,275,0,0.0
No Khovanov >=3/4,relative_nre,residual_isolation_forest,5,103,0,0.0
No Khovanov >=3/4,relative_nre,conditional_percentile_100,5,31,3,0.09090909090909091
No Khovanov >=3/4,residual_mahalanobis,raw_sse,275,220,161,0.4820359281437126
No Khovanov >=3/4,residual_mahalanobis,relative_nre,275,5,0,0.0
No Khovanov >=3/4,residual_mahalanobis,residual_mahalanobis,275,275,275,1.0
No Khovanov >=3/4,residual_mahalanobis,residual_isolation_forest,275,103,80,0.2684563758389262
No Khovanov >=3/4,residual_mahalanobis,conditional_percentile_100,275,31,17,0.058823529411764705
No Khovanov >=3/4,residual_isolation_forest,raw_sse,103,220,76,0.3076923076923077
No Khovanov >=3/4,residual_isolation_forest,relative_nre,103,5,0,0.0
No Khovanov >=3/4,residual_isolation_forest,residual_mahalanobis,103,275,80,0.2684563758389262
No Khovanov >=3/4,residual_isolation_forest,residual_isolation_forest,103,103,103,1.0
No Khovanov >=3/4,residual_isolation_forest,conditional_percentile_100,103,31,10,0.08064516129032258
No Khovanov >=3/4,conditional_percentile_100,raw_sse,31,220,10,0.04149377593360996
No Khovanov >=3/4,conditional_percentile_100,relative_nre,31,5,3,0.09090909090909091
No Khovanov >=3/4,conditional_percentile_100,residual_mahalanobis,31,275,17,0.058823529411764705
No Khovanov >=3/4,conditional_percentile_100,residual_isolation_forest,31,103,10,0.08064516129032258
No Khovanov >=3/4,conditional_percentile_100,conditional_percentile_100,31,31,31,1.0
