method,method_label,family,n,nonalternating_n,abs_gap_positive_prop,mean_abs_gap,abs_gap_ge_4_prop,kh_diagonal_mean,kh_diagonal_ge_3_prop,kh_support_mean,crossing_15_prop,alternating_prop
raw_sse,Raw SSE,All 5 >=3/5,263,102,0.696078431372549,1.5098039215686274,0.058823529411764705,2.349809885931559,0.3193916349809886,29.988593155893536,0.9429657794676806,0.6121673003802282
raw_sse,Raw SSE,No Khovanov >=3/4,220,69,0.7391304347826086,1.6231884057971016,0.07246376811594203,2.290909090909091,0.2590909090909091,30.154545454545456,0.9363636363636364,0.6863636363636364
raw_sse,Raw SSE,Original raw strict 5/5,39,16,1.0,2.25,0.125,2.4615384615384617,0.41025641025641024,30.692307692307693,1.0,0.5897435897435898
relative_nre,Relative error,All 5 >=3/5,18,18,0.3333333333333333,0.8888888888888888,0.1111111111111111,3.388888888888889,0.9444444444444444,29.77777777777778,0.4444444444444444,0.0
relative_nre,Relative error,No Khovanov >=3/4,5,5,0.6,1.6,0.2,3.6,1.0,31.4,0.6,0.0
residual_mahalanobis,Residual Mahalanobis,All 5 >=3/5,330,144,0.625,1.3333333333333333,0.041666666666666664,2.3545454545454545,0.32727272727272727,29.69090909090909,0.9484848484848485,0.5636363636363636
residual_mahalanobis,Residual Mahalanobis,No Khovanov >=3/4,275,96,0.59375,1.2916666666666667,0.052083333333333336,2.2654545454545456,0.24,29.625454545454545,0.9672727272727273,0.6509090909090909
residual_isolation_forest,Residual Isolation Forest,All 5 >=3/5,205,98,0.8469387755102041,1.816326530612245,0.061224489795918366,2.473170731707317,0.43414634146341463,30.526829268292683,0.9609756097560975,0.5219512195121951
residual_isolation_forest,Residual Isolation Forest,No Khovanov >=3/4,107,32,1.0,2.25,0.125,2.3551401869158877,0.29906542056074764,29.91588785046729,0.9813084112149533,0.7009345794392523
conditional_percentile_100,Conditional percentile,All 5 >=3/5,60,52,0.7307692307692307,1.7307692307692308,0.1346153846153846,3.0166666666666666,0.85,30.133333333333333,0.8166666666666667,0.13333333333333333
conditional_percentile_100,Conditional percentile,No Khovanov >=3/4,31,28,0.7857142857142857,2.0,0.21428571428571427,3.161290322580645,0.8709677419354839,31.129032258064516,0.9032258064516129,0.0967741935483871
