family,method_a,method_b,size_a,size_b,overlap,jaccard
All 5 >=3/5,raw_sse,raw_sse,263,263,263,1.0
All 5 >=3/5,raw_sse,relative_nre,263,18,1,0.0035714285714285713
All 5 >=3/5,raw_sse,residual_mahalanobis,263,330,201,0.5127551020408163
All 5 >=3/5,raw_sse,residual_isolation_forest,263,205,131,0.3887240356083086
All 5 >=3/5,raw_sse,conditional_percentile_100,263,60,23,0.07666666666666666
All 5 >=3/5,relative_nre,raw_sse,18,263,1,0.0035714285714285713
All 5 >=3/5,relative_nre,relative_nre,18,18,18,1.0
All 5 >=3/5,relative_nre,residual_mahalanobis,18,330,3,0.008695652173913044
All 5 >=3/5,relative_nre,residual_isolation_forest,18,205,1,0.0045045045045045045
All 5 >=3/5,relative_nre,conditional_percentile_100,18,60,6,0.08333333333333333
All 5 >=3/5,residual_mahalanobis,raw_sse,330,263,201,0.5127551020408163
All 5 >=3/5,residual_mahalanobis,relative_nre,330,18,3,0.008695652173913044
All 5 >=3/5,residual_mahalanobis,residual_mahalanobis,330,330,330,1.0
All 5 >=3/5,residual_mahalanobis,residual_isolation_forest,330,205,130,0.32098765432098764
All 5 >=3/5,residual_mahalanobis,conditional_percentile_100,330,60,33,0.09243697478991597
All 5 >=3/5,residual_isolation_forest,raw_sse,205,263,131,0.3887240356083086
All 5 >=3/5,residual_isolation_forest,relative_nre,205,18,1,0.0045045045045045045
All 5 >=3/5,residual_isolation_forest,residual_mahalanobis,205,330,130,0.32098765432098764
All 5 >=3/5,residual_isolation_forest,residual_isolation_forest,205,205,205,1.0
All 5 >=3/5,residual_isolation_forest,conditional_percentile_100,205,60,17,0.06854838709677419
All 5 >=3/5,conditional_percentile_100,raw_sse,60,263,23,0.07666666666666666
All 5 >=3/5,conditional_percentile_100,relative_nre,60,18,6,0.08333333333333333
All 5 >=3/5,conditional_percentile_100,residual_mahalanobis,60,330,33,0.09243697478991597
All 5 >=3/5,conditional_percentile_100,residual_isolation_forest,60,205,17,0.06854838709677419
All 5 >=3/5,conditional_percentile_100,conditional_percentile_100,60,60,60,1.0
No Khovanov >=3/4,raw_sse,raw_sse,220,220,220,1.0
No Khovanov >=3/4,raw_sse,relative_nre,220,5,0,0.0
No Khovanov >=3/4,raw_sse,residual_mahalanobis,220,275,161,0.4820359281437126
No Khovanov >=3/4,raw_sse,residual_isolation_forest,220,107,82,0.3346938775510204
No Khovanov >=3/4,raw_sse,conditional_percentile_100,220,31,10,0.04149377593360996
No Khovanov >=3/4,relative_nre,raw_sse,5,220,0,0.0
No Khovanov >=3/4,relative_nre,relative_nre,5,5,5,1.0
No Khovanov >=3/4,relative_nre,residual_mahalanobis,5,275,0,0.0
No Khovanov >=3/4,relative_nre,residual_isolation_forest,5,107,0,0.0
No Khovanov >=3/4,relative_nre,conditional_percentile_100,5,31,3,0.09090909090909091
No Khovanov >=3/4,residual_mahalanobis,raw_sse,275,220,161,0.4820359281437126
No Khovanov >=3/4,residual_mahalanobis,relative_nre,275,5,0,0.0
No Khovanov >=3/4,residual_mahalanobis,residual_mahalanobis,275,275,275,1.0
No Khovanov >=3/4,residual_mahalanobis,residual_isolation_forest,275,107,85,0.28619528619528617
No Khovanov >=3/4,residual_mahalanobis,conditional_percentile_100,275,31,17,0.058823529411764705
No Khovanov >=3/4,residual_isolation_forest,raw_sse,107,220,82,0.3346938775510204
No Khovanov >=3/4,residual_isolation_forest,relative_nre,107,5,0,0.0
No Khovanov >=3/4,residual_isolation_forest,residual_mahalanobis,107,275,85,0.28619528619528617
No Khovanov >=3/4,residual_isolation_forest,residual_isolation_forest,107,107,107,1.0
No Khovanov >=3/4,residual_isolation_forest,conditional_percentile_100,107,31,9,0.06976744186046512
No Khovanov >=3/4,conditional_percentile_100,raw_sse,31,220,10,0.04149377593360996
No Khovanov >=3/4,conditional_percentile_100,relative_nre,31,5,3,0.09090909090909091
No Khovanov >=3/4,conditional_percentile_100,residual_mahalanobis,31,275,17,0.058823529411764705
No Khovanov >=3/4,conditional_percentile_100,residual_isolation_forest,31,107,9,0.06976744186046512
No Khovanov >=3/4,conditional_percentile_100,conditional_percentile_100,31,31,31,1.0
