family,method_a,method_b,size_a,size_b,overlap,jaccard
All 5 >=3/5,raw_sse,raw_sse,263,263,263,1.0
All 5 >=3/5,raw_sse,relative_nre,263,18,1,0.0035714285714285713
All 5 >=3/5,raw_sse,residual_mahalanobis,263,334,202,0.5113924050632911
All 5 >=3/5,raw_sse,residual_isolation_forest,263,230,132,0.3656509695290859
All 5 >=3/5,raw_sse,conditional_percentile_100,263,60,23,0.07666666666666666
All 5 >=3/5,relative_nre,raw_sse,18,263,1,0.0035714285714285713
All 5 >=3/5,relative_nre,relative_nre,18,18,18,1.0
All 5 >=3/5,relative_nre,residual_mahalanobis,18,334,4,0.011494252873563218
All 5 >=3/5,relative_nre,residual_isolation_forest,18,230,1,0.004048582995951417
All 5 >=3/5,relative_nre,conditional_percentile_100,18,60,6,0.08333333333333333
All 5 >=3/5,residual_mahalanobis,raw_sse,334,263,202,0.5113924050632911
All 5 >=3/5,residual_mahalanobis,relative_nre,334,18,4,0.011494252873563218
All 5 >=3/5,residual_mahalanobis,residual_mahalanobis,334,334,334,1.0
All 5 >=3/5,residual_mahalanobis,residual_isolation_forest,334,230,147,0.35251798561151076
All 5 >=3/5,residual_mahalanobis,conditional_percentile_100,334,60,32,0.08839779005524862
All 5 >=3/5,residual_isolation_forest,raw_sse,230,263,132,0.3656509695290859
All 5 >=3/5,residual_isolation_forest,relative_nre,230,18,1,0.004048582995951417
All 5 >=3/5,residual_isolation_forest,residual_mahalanobis,230,334,147,0.35251798561151076
All 5 >=3/5,residual_isolation_forest,residual_isolation_forest,230,230,230,1.0
All 5 >=3/5,residual_isolation_forest,conditional_percentile_100,230,60,19,0.07011070110701106
All 5 >=3/5,conditional_percentile_100,raw_sse,60,263,23,0.07666666666666666
All 5 >=3/5,conditional_percentile_100,relative_nre,60,18,6,0.08333333333333333
All 5 >=3/5,conditional_percentile_100,residual_mahalanobis,60,334,32,0.08839779005524862
All 5 >=3/5,conditional_percentile_100,residual_isolation_forest,60,230,19,0.07011070110701106
All 5 >=3/5,conditional_percentile_100,conditional_percentile_100,60,60,60,1.0
No Khovanov >=3/4,raw_sse,raw_sse,220,220,220,1.0
No Khovanov >=3/4,raw_sse,relative_nre,220,5,0,0.0
No Khovanov >=3/4,raw_sse,residual_mahalanobis,220,275,161,0.4820359281437126
No Khovanov >=3/4,raw_sse,residual_isolation_forest,220,120,81,0.3127413127413127
No Khovanov >=3/4,raw_sse,conditional_percentile_100,220,31,10,0.04149377593360996
No Khovanov >=3/4,relative_nre,raw_sse,5,220,0,0.0
No Khovanov >=3/4,relative_nre,relative_nre,5,5,5,1.0
No Khovanov >=3/4,relative_nre,residual_mahalanobis,5,275,0,0.0
No Khovanov >=3/4,relative_nre,residual_isolation_forest,5,120,0,0.0
No Khovanov >=3/4,relative_nre,conditional_percentile_100,5,31,3,0.09090909090909091
No Khovanov >=3/4,residual_mahalanobis,raw_sse,275,220,161,0.4820359281437126
No Khovanov >=3/4,residual_mahalanobis,relative_nre,275,5,0,0.0
No Khovanov >=3/4,residual_mahalanobis,residual_mahalanobis,275,275,275,1.0
No Khovanov >=3/4,residual_mahalanobis,residual_isolation_forest,275,120,92,0.30363036303630364
No Khovanov >=3/4,residual_mahalanobis,conditional_percentile_100,275,31,17,0.058823529411764705
No Khovanov >=3/4,residual_isolation_forest,raw_sse,120,220,81,0.3127413127413127
No Khovanov >=3/4,residual_isolation_forest,relative_nre,120,5,0,0.0
No Khovanov >=3/4,residual_isolation_forest,residual_mahalanobis,120,275,92,0.30363036303630364
No Khovanov >=3/4,residual_isolation_forest,residual_isolation_forest,120,120,120,1.0
No Khovanov >=3/4,residual_isolation_forest,conditional_percentile_100,120,31,10,0.07092198581560284
No Khovanov >=3/4,conditional_percentile_100,raw_sse,31,220,10,0.04149377593360996
No Khovanov >=3/4,conditional_percentile_100,relative_nre,31,5,3,0.09090909090909091
No Khovanov >=3/4,conditional_percentile_100,residual_mahalanobis,31,275,17,0.058823529411764705
No Khovanov >=3/4,conditional_percentile_100,residual_isolation_forest,31,120,10,0.07092198581560284
No Khovanov >=3/4,conditional_percentile_100,conditional_percentile_100,31,31,31,1.0
