family,method_a,method_b,size_a,size_b,overlap,jaccard
All 5 >=3/5,raw_sse,raw_sse,263,263,263,1.0
All 5 >=3/5,raw_sse,relative_nre,263,18,1,0.0035714285714285713
All 5 >=3/5,raw_sse,residual_mahalanobis,263,317,202,0.5343915343915344
All 5 >=3/5,raw_sse,residual_isolation_forest,263,211,138,0.4107142857142857
All 5 >=3/5,raw_sse,conditional_percentile_100,263,60,23,0.07666666666666666
All 5 >=3/5,relative_nre,raw_sse,18,263,1,0.0035714285714285713
All 5 >=3/5,relative_nre,relative_nre,18,18,18,1.0
All 5 >=3/5,relative_nre,residual_mahalanobis,18,317,2,0.006006006006006006
All 5 >=3/5,relative_nre,residual_isolation_forest,18,211,1,0.0043859649122807015
All 5 >=3/5,relative_nre,conditional_percentile_100,18,60,6,0.08333333333333333
All 5 >=3/5,residual_mahalanobis,raw_sse,317,263,202,0.5343915343915344
All 5 >=3/5,residual_mahalanobis,relative_nre,317,18,2,0.006006006006006006
All 5 >=3/5,residual_mahalanobis,residual_mahalanobis,317,317,317,1.0
All 5 >=3/5,residual_mahalanobis,residual_isolation_forest,317,211,164,0.45054945054945056
All 5 >=3/5,residual_mahalanobis,conditional_percentile_100,317,60,31,0.08959537572254335
All 5 >=3/5,residual_isolation_forest,raw_sse,211,263,138,0.4107142857142857
All 5 >=3/5,residual_isolation_forest,relative_nre,211,18,1,0.0043859649122807015
All 5 >=3/5,residual_isolation_forest,residual_mahalanobis,211,317,164,0.45054945054945056
All 5 >=3/5,residual_isolation_forest,residual_isolation_forest,211,211,211,1.0
All 5 >=3/5,residual_isolation_forest,conditional_percentile_100,211,60,20,0.0796812749003984
All 5 >=3/5,conditional_percentile_100,raw_sse,60,263,23,0.07666666666666666
All 5 >=3/5,conditional_percentile_100,relative_nre,60,18,6,0.08333333333333333
All 5 >=3/5,conditional_percentile_100,residual_mahalanobis,60,317,31,0.08959537572254335
All 5 >=3/5,conditional_percentile_100,residual_isolation_forest,60,211,20,0.0796812749003984
All 5 >=3/5,conditional_percentile_100,conditional_percentile_100,60,60,60,1.0
No Khovanov >=3/4,raw_sse,raw_sse,220,220,220,1.0
No Khovanov >=3/4,raw_sse,relative_nre,220,5,0,0.0
No Khovanov >=3/4,raw_sse,residual_mahalanobis,220,269,158,0.4773413897280967
No Khovanov >=3/4,raw_sse,residual_isolation_forest,220,129,93,0.36328125
No Khovanov >=3/4,raw_sse,conditional_percentile_100,220,31,10,0.04149377593360996
No Khovanov >=3/4,relative_nre,raw_sse,5,220,0,0.0
No Khovanov >=3/4,relative_nre,relative_nre,5,5,5,1.0
No Khovanov >=3/4,relative_nre,residual_mahalanobis,5,269,0,0.0
No Khovanov >=3/4,relative_nre,residual_isolation_forest,5,129,0,0.0
No Khovanov >=3/4,relative_nre,conditional_percentile_100,5,31,3,0.09090909090909091
No Khovanov >=3/4,residual_mahalanobis,raw_sse,269,220,158,0.4773413897280967
No Khovanov >=3/4,residual_mahalanobis,relative_nre,269,5,0,0.0
No Khovanov >=3/4,residual_mahalanobis,residual_mahalanobis,269,269,269,1.0
No Khovanov >=3/4,residual_mahalanobis,residual_isolation_forest,269,129,117,0.41637010676156583
No Khovanov >=3/4,residual_mahalanobis,conditional_percentile_100,269,31,17,0.06007067137809187
No Khovanov >=3/4,residual_isolation_forest,raw_sse,129,220,93,0.36328125
No Khovanov >=3/4,residual_isolation_forest,relative_nre,129,5,0,0.0
No Khovanov >=3/4,residual_isolation_forest,residual_mahalanobis,129,269,117,0.41637010676156583
No Khovanov >=3/4,residual_isolation_forest,residual_isolation_forest,129,129,129,1.0
No Khovanov >=3/4,residual_isolation_forest,conditional_percentile_100,129,31,10,0.06666666666666667
No Khovanov >=3/4,conditional_percentile_100,raw_sse,31,220,10,0.04149377593360996
No Khovanov >=3/4,conditional_percentile_100,relative_nre,31,5,3,0.09090909090909091
No Khovanov >=3/4,conditional_percentile_100,residual_mahalanobis,31,269,17,0.06007067137809187
No Khovanov >=3/4,conditional_percentile_100,residual_isolation_forest,31,129,10,0.06666666666666667
No Khovanov >=3/4,conditional_percentile_100,conditional_percentile_100,31,31,31,1.0
