method,method_label,norm,role,n_pairs,mean_selected,mean_control,mean_difference,conventional_smd,paired_smd
conditional_percentile_100,Conditional percentile,mean_log_sq_norm,matched on,56,3.7238103428057263,3.7210732783590044,0.002737064446721758,0.002638112631612582,0.02247252059314608
conditional_percentile_100,Conditional percentile,max_log_sq_norm,matched on,56,6.401362529822758,6.438946230070932,-0.037583700248173306,-0.029284245662370322,-0.27058704662462624
conditional_percentile_100,Conditional percentile,Alexander_log_sq_norm,reported only,56,1.204932797966259,1.595554913261107,-0.3906221152948482,-0.46201276617190323,-0.6116199305509201
conditional_percentile_100,Conditional percentile,Jones_log_sq_norm,reported only,56,2.7687089387327433,2.3774635546973775,0.3912453840353659,0.2634429040555641,0.2873970757561659
conditional_percentile_100,Conditional percentile,HOMFLY_PT_log_sq_norm,reported only,56,5.939059845038822,5.210762209125927,0.7282976359128952,0.5619773854652339,0.6064729249399088
conditional_percentile_100,Conditional percentile,Theta_log_sq_norm,reported only,56,2.702169381215104,3.3090714402496815,-0.6069020590345774,-0.30661941184852565,-0.5228558945242128
conditional_percentile_100,Conditional percentile,Khovanov_log_sq_norm,reported only,56,6.004180699586868,6.112514282975878,-0.10833358338900975,-0.07883137045757418,-0.19068749662303852
raw_sse,Raw SSE,mean_log_sq_norm,matched on,25,5.874769268035888,5.836181640625,0.03858762741088867,0.038845110131747775,0.21175672322154793
raw_sse,Raw SSE,max_log_sq_norm,matched on,25,7.935306739807129,8.035248203277588,-0.09994146347045899,-0.08036777870788242,-0.4663064344338045
raw_sse,Raw SSE,Alexander_log_sq_norm,reported only,25,2.4733481931686403,2.9369900894165037,-0.4636418962478638,-0.5387431243343818,-0.49063072515992656
raw_sse,Raw SSE,Jones_log_sq_norm,reported only,25,5.489039421081543,4.662733479738235,0.8263059413433075,0.49147984461997263,0.43461393658304803
raw_sse,Raw SSE,HOMFLY_PT_log_sq_norm,reported only,25,7.574881496429444,6.99557804107666,0.5793034553527832,0.3779363721322369,0.553874303332226
raw_sse,Raw SSE,Theta_log_sq_norm,reported only,25,6.4175435829162595,6.737797002792359,-0.3202534198760986,-0.20829902691208996,-0.30725505896312044
raw_sse,Raw SSE,Khovanov_log_sq_norm,reported only,25,7.419033317565918,7.847809715270996,-0.42877639770507814,-0.38705928737840617,-0.9424000771501875
relative_nre,Relative error,mean_log_sq_norm,matched on,56,2.249569538448538,2.271310660455908,-0.021741122007369995,-0.03135018804716938,-0.2507379969790713
relative_nre,Relative error,max_log_sq_norm,matched on,56,5.083016054970877,5.07476202079228,0.008254034178597587,0.007451146945316437,0.07335472913708777
relative_nre,Relative error,Alexander_log_sq_norm,reported only,56,0.48727623464739217,0.7381662125532914,-0.2508899779058993,-0.5302968744222245,-0.6962917564991877
relative_nre,Relative error,Jones_log_sq_norm,reported only,56,0.9824482634929674,0.9593757341748902,0.023072529318077222,0.03094408022432954,0.030181147865301017
relative_nre,Relative error,HOMFLY_PT_log_sq_norm,reported only,56,4.353018630828176,3.809343640293394,0.5436749905347824,0.3642372085653768,0.5127177895262788
relative_nre,Relative error,Theta_log_sq_norm,reported only,56,0.6995845067181757,1.1471886093329107,-0.4476041026147349,-0.45999322927802,-0.5135598592733497
relative_nre,Relative error,Khovanov_log_sq_norm,reported only,56,4.725519916840962,4.702479124069214,0.023040792771748135,0.018952614016885454,0.037005625184356204
residual_isolation_forest,Residual isolation forest,mean_log_sq_norm,matched on,24,6.231469015280406,6.187578757603963,0.043890257676442467,0.04836253169998759,0.30489822743706624
residual_isolation_forest,Residual isolation forest,max_log_sq_norm,matched on,24,8.5477747519811,8.529313663641611,0.018461088339487713,0.014715218392350203,0.11819928287265274
residual_isolation_forest,Residual isolation forest,Alexander_log_sq_norm,reported only,24,3.1268892735242844,3.1858736326297126,-0.05898435910542806,-0.05991378473394684,-0.09193401517885993
residual_isolation_forest,Residual isolation forest,Jones_log_sq_norm,reported only,24,5.132397272934516,5.100450646132231,0.031946626802285515,0.015896682712240297,0.02664267322872722
residual_isolation_forest,Residual isolation forest,HOMFLY_PT_log_sq_norm,reported only,24,7.2881061633427935,7.027037441730499,0.2610687216122945,0.1934424329174871,0.2939566486332974
residual_isolation_forest,Residual isolation forest,Theta_log_sq_norm,reported only,24,7.581240236759186,7.535050014654796,0.046190222104390465,0.024142155616865463,0.12443901348715844
residual_isolation_forest,Residual isolation forest,Khovanov_log_sq_norm,reported only,24,8.028711895147959,8.089482029279074,-0.060770134131113686,-0.057760727634916145,-0.14517151771297793
residual_mahalanobis,Residual Mahalanobis,mean_log_sq_norm,matched on,29,5.780544231677878,5.723659309847601,0.056884921830275964,0.05967954084877147,0.44591435233883236
residual_mahalanobis,Residual Mahalanobis,max_log_sq_norm,matched on,29,8.027557142849627,8.074567285077325,-0.04701014222769902,-0.039308938082788854,-0.27656942624605446
residual_mahalanobis,Residual Mahalanobis,Alexander_log_sq_norm,reported only,29,2.490594276066484,2.790649775801034,-0.3000554997345497,-0.37331195450920024,-0.3610780161208035
residual_mahalanobis,Residual Mahalanobis,Jones_log_sq_norm,reported only,29,5.217329033489885,4.871781619458363,0.345547414031522,0.19657480335941183,0.203059331776408
residual_mahalanobis,Residual Mahalanobis,HOMFLY_PT_log_sq_norm,reported only,29,6.913700210637059,6.443458639342209,0.47024157129485034,0.2588918497323432,0.4504281838507196
residual_mahalanobis,Residual Mahalanobis,Theta_log_sq_norm,reported only,29,6.663248670512233,6.855055274634526,-0.19180660412229342,-0.1220745642485693,-0.22751088171565959
residual_mahalanobis,Residual Mahalanobis,Khovanov_log_sq_norm,reported only,29,7.617849070450355,7.657351148539576,-0.03950207808922077,-0.03447846511587106,-0.04331471330164501
