oracle    | moderate   | uneven_propensity  | 1/100 | selected=234 | p_mult=0.215
oracle    | moderate   | uneven_propensity  | 2/100 | selected=221 | p_mult=0.6075
oracle    | moderate   | uneven_propensity  | 3/100 | selected=260 | p_mult=0.2525
oracle    | moderate   | uneven_propensity  | 4/100 | selected=219 | p_mult=0.785
oracle    | moderate   | uneven_propensity  | 5/100 | selected=242 | p_mult=0.42
oracle    | moderate   | uneven_propensity  | 6/100 | selected=244 | p_mult=0.9475
oracle    | moderate   | uneven_propensity  | 7/100 | selected=238 | p_mult=0.7425
oracle    | moderate   | uneven_propensity  | 8/100 | selected=243 | p_mult=0.1775
oracle    | moderate   | uneven_propensity  | 9/100 | selected=228 | p_mult=0.385
oracle    | moderate   | uneven_propensity  | 10/100 | selected=258 | p_mult=0.4125
oracle    | moderate   | uneven_propensity  | 11/100 | selected=229 | p_mult=0.845
oracle    | moderate   | uneven_propensity  | 12/100 | selected=240 | p_mult=0.2025
oracle    | moderate   | uneven_propensity  | 13/100 | selected=238 | p_mult=0.5425
oracle    | moderate   | uneven_propensity  | 14/100 | selected=232 | p_mult=0.46
oracle    | moderate   | uneven_propensity  | 15/100 | selected=242 | p_mult=0.56
oracle    | moderate   | uneven_propensity  | 16/100 | selected=245 | p_mult=0.3975
oracle    | moderate   | uneven_propensity  | 17/100 | selected=229 | p_mult=0.145
oracle    | moderate   | uneven_propensity  | 18/100 | selected=213 | p_mult=0.74
oracle    | moderate   | uneven_propensity  | 19/100 | selected=248 | p_mult=0.59
oracle    | moderate   | uneven_propensity  | 20/100 | selected=214 | p_mult=0.7025
oracle    | moderate   | uneven_propensity  | 21/100 | selected=260 | p_mult=0.84
oracle    | moderate   | uneven_propensity  | 22/100 | selected=229 | p_mult=0.935
oracle    | moderate   | uneven_propensity  | 23/100 | selected=237 | p_mult=0.2075
oracle    | moderate   | uneven_propensity  | 24/100 | selected=216 | p_mult=0.755
oracle    | moderate   | uneven_propensity  | 25/100 | selected=246 | p_mult=0.5425
