design,family,method_a,method_b,n_a,n_b,intersection,union,jaccard
original_variable_size,All 5 >=3/5,conditional_percentile_100,raw_sse,60,263,23,300,0.07666666666666666
original_variable_size,All 5 >=3/5,conditional_percentile_100,relative_nre,60,18,6,72,0.08333333333333333
original_variable_size,All 5 >=3/5,conditional_percentile_100,residual_isolation_forest,60,213,17,256,0.06640625
original_variable_size,All 5 >=3/5,conditional_percentile_100,residual_mahalanobis,60,333,31,362,0.0856353591160221
original_variable_size,All 5 >=3/5,raw_sse,relative_nre,263,18,1,280,0.0035714285714285713
original_variable_size,All 5 >=3/5,raw_sse,residual_isolation_forest,263,213,133,343,0.3877551020408163
original_variable_size,All 5 >=3/5,raw_sse,residual_mahalanobis,263,333,202,394,0.5126903553299492
original_variable_size,All 5 >=3/5,relative_nre,residual_isolation_forest,18,213,1,230,0.004347826086956522
original_variable_size,All 5 >=3/5,relative_nre,residual_mahalanobis,18,333,4,347,0.011527377521613832
original_variable_size,All 5 >=3/5,residual_isolation_forest,residual_mahalanobis,213,333,148,398,0.37185929648241206
original_variable_size,No Khovanov >=3/4,conditional_percentile_100,raw_sse,31,220,10,241,0.04149377593360996
original_variable_size,No Khovanov >=3/4,conditional_percentile_100,relative_nre,31,5,3,33,0.09090909090909091
original_variable_size,No Khovanov >=3/4,conditional_percentile_100,residual_isolation_forest,31,122,10,143,0.06993006993006994
original_variable_size,No Khovanov >=3/4,conditional_percentile_100,residual_mahalanobis,31,271,16,286,0.055944055944055944
original_variable_size,No Khovanov >=3/4,raw_sse,relative_nre,220,5,0,225,0.0
original_variable_size,No Khovanov >=3/4,raw_sse,residual_isolation_forest,220,122,85,257,0.33073929961089493
original_variable_size,No Khovanov >=3/4,raw_sse,residual_mahalanobis,220,271,158,333,0.4744744744744745
original_variable_size,No Khovanov >=3/4,relative_nre,residual_isolation_forest,5,122,0,127,0.0
original_variable_size,No Khovanov >=3/4,relative_nre,residual_mahalanobis,5,271,0,276,0.0
original_variable_size,No Khovanov >=3/4,residual_isolation_forest,residual_mahalanobis,122,271,94,299,0.31438127090301005
equal_size,All 5 C3,conditional_percentile_100,raw_sse,60,60,14,106,0.1320754716981132
equal_size,All 5 C3,conditional_percentile_100,relative_nre,60,60,18,102,0.17647058823529413
equal_size,All 5 C3,conditional_percentile_100,residual_isolation_forest,60,60,8,112,0.07142857142857142
equal_size,All 5 C3,conditional_percentile_100,residual_mahalanobis,60,60,12,108,0.1111111111111111
equal_size,All 5 C3,raw_sse,relative_nre,60,60,0,120,0.0
equal_size,All 5 C3,raw_sse,residual_isolation_forest,60,60,39,81,0.48148148148148145
equal_size,All 5 C3,raw_sse,residual_mahalanobis,60,60,46,74,0.6216216216216216
equal_size,All 5 C3,relative_nre,residual_isolation_forest,60,60,0,120,0.0
equal_size,All 5 C3,relative_nre,residual_mahalanobis,60,60,0,120,0.0
equal_size,All 5 C3,residual_isolation_forest,residual_mahalanobis,60,60,39,81,0.48148148148148145
equal_size,No Khovanov C3,conditional_percentile_100,raw_sse,31,31,4,58,0.06896551724137931
equal_size,No Khovanov C3,conditional_percentile_100,relative_nre,31,31,5,57,0.08771929824561403
equal_size,No Khovanov C3,conditional_percentile_100,residual_isolation_forest,31,31,4,58,0.06896551724137931
equal_size,No Khovanov C3,conditional_percentile_100,residual_mahalanobis,31,31,8,54,0.14814814814814814
equal_size,No Khovanov C3,raw_sse,relative_nre,31,31,0,62,0.0
equal_size,No Khovanov C3,raw_sse,residual_isolation_forest,31,31,21,41,0.5121951219512195
equal_size,No Khovanov C3,raw_sse,residual_mahalanobis,31,31,13,49,0.2653061224489796
equal_size,No Khovanov C3,relative_nre,residual_isolation_forest,31,31,0,62,0.0
equal_size,No Khovanov C3,relative_nre,residual_mahalanobis,31,31,0,62,0.0
equal_size,No Khovanov C3,residual_isolation_forest,residual_mahalanobis,31,31,18,44,0.4090909090909091
equal_size_reconstructed,All 5 C3,conditional_percentile_100,raw_sse,60,60,14,106,0.1320754716981132
