cell_index,script,script_present,execution_count,saved_text_chars,errors
161,stage21_final_mlst_artifacts.py,True,,2307,
165,stage22_gap_thickness_dependence.py,True,,7390,
166,stage23_anomaly_score_baselines.py,True,,6124,
169,stage24_mirror_support_directional_audit.py,True,,8206,
170,stage23B_size_matched_score_sensitivity.py,True,,3579,
173,stage25A_revision_audit_tables.py,True,,8595,
174,stage25_score_matched_geometry.py,True,,7675,
176,stage26_bootstrap_confidence_intervals.py,True,,674,
177,stage27_khovanov_norm_bin_null_sensitivity.py,True,,6788,
178,stage28_definition_provenance_audit.py,True,,2010,
179,stage29_statistical_null_audit.py,True,,3790,
180,stage30_tie_boundary_audit.py,True,,3309,
182,stage29b_final_joint_null.py,True,,1936,
183,stage29c_continuous_amplitude_residualized.py,True,,1717,
184,stage29c_continuous_amplitude_residualized_v2.py,True,,1717,
185,stage32_representation_robustness_audits.py,True,,2934,
186,stage32_representation_robustness_audits_v2.py,True,,2999,
187,stage31A_theta_mirror_action_audit.py,True,,1649,
188,stage31B_corrected_four_view_mirror_withheld_khovanov.py,True,,5817,
189,stage32_gcm_width_association.py,True,,7090,
190,stage33_view_ablation_and_fibers.py,True,,6265,
191,stage34_turaev_width_consequence_audit.py,True,,9348,
192,stage32B_multiplier_gcm_calibration.py,True,,91485,
193,stage33B_example_pair_extraction.py,True,,9472,
194,stage35_khovanov_grading_width_audit.py,True,,3846,
195,stage31_crossing_number_extrapolation.py,True,,3608,
196,stage36_euler_cancellation_endpoint.py,True,,4161,
197,stage38_residual_compression_sensitivity.py,True,,32241,
198,stage37_mirror_symmetrized_score.py,True,,3327,
199,stage39_per_norm_matching_balance.py,True,,3206,
200,stage40_revision_audit.py,False,4,55,"ValueError: Ambiguous caches: [PosixPath('/content/drive/MyDrive/Colab Notebooks/data_invariants/Invariants/processed_consensus_hardness/corrected_run_20260819/23_anomaly_score_baselines/score_selected_test_ids.csv'), PosixPath('/content/drive/MyDrive/Colab Notebooks/data_invariants/Invariants/processed_consensus_hardness/corrected_run_20260819/38_residual_compression_sensitivity/residual_dim_32/residual_dim_64/residual_dim_128/residual_dim_none/score_selected_test_ids.csv'), PosixPath('/content/drive/MyDrive/Colab Notebooks/data_invariants/Invariants/processed_consensus_hardness/corrected_run_20260819/38_residual_compression_sensitivity/residual_dim_32/residual_dim_64/residual_dim_128/score_selected_test_ids.csv'), PosixPath('/content/drive/MyDrive/Colab Notebooks/data_invariants/Invariants/processed_consensus_hardness/corrected_run_20260819/38_residual_compression_sensitivity/residual_dim_32/residual_dim_64/score_selected_test_ids.csv'), PosixPath('/content/drive/MyDrive/Colab Notebooks/data_invariants/Invariants/processed_consensus_hardness/corrected_run_20260819/38_residual_compression_sensitivity/residual_dim_32/score_selected_test_ids.csv')]"
