variant,knot_id_base
historical_standardized_fixed_k,14n07560
historical_standardized_fixed_k,15n133702
historical_standardized_fixed_k,15n156616
historical_standardized_fixed_k,15n079830
historical_standardized_fixed_k,14n18082
historical_standardized_fixed_k,15n164613
historical_standardized_fixed_k,15a83101
historical_standardized_fixed_k,15n140504
historical_standardized_fixed_k,15n068007
historical_standardized_fixed_k,15n089064
historical_standardized_fixed_k,15n033851
historical_standardized_fixed_k,15n050268
historical_standardized_fixed_k,15n093576
historical_standardized_fixed_k,14n08510
historical_standardized_fixed_k,15n163303
historical_standardized_fixed_k,15n159774
historical_standardized_fixed_k,15n012482
historical_standardized_fixed_k,15n062696
historical_standardized_fixed_k,15n140634
historical_standardized_fixed_k,15a58615
historical_standardized_fixed_k,15n031888
historical_standardized_fixed_k,15n160317
historical_standardized_fixed_k,15n012301
historical_standardized_fixed_k,15n031211
historical_standardized_fixed_k,15n127574
historical_standardized_fixed_k,15n163311
historical_standardized_fixed_k,15n143746
historical_standardized_fixed_k,15n135916
historical_standardized_fixed_k,15a51218
historical_standardized_fixed_k,15n055602
historical_standardized_fixed_k,15n119483
centered_only,15n133220
centered_only,15a70723
centered_only,15a82939
centered_only,15a78797
centered_only,15a85000
centered_only,15a83101
centered_only,15a76624
centered_only,15a58638
centered_only,15a84781
centered_only,15a68099
centered_only,15n017635
centered_only,15n050268
centered_only,15n093576
centered_only,15n069290
centered_only,15n163303
centered_only,15a85260
centered_only,15n012482
centered_only,15a85204
centered_only,15a85243
centered_only,15a84776
centered_only,15a83944
centered_only,15a58615
centered_only,15n031888
centered_only,15a76043
centered_only,15n160317
centered_only,15a58616
centered_only,15n143746
centered_only,15a51218
centered_only,15n113543
centered_only,15a54872
centered_only,15a83769
prevalence_01,14n07560
prevalence_01,15n133702
prevalence_01,15n156616
prevalence_01,15n079830
prevalence_01,14n18082
prevalence_01,15a85000
prevalence_01,15n164613
prevalence_01,15a83101
prevalence_01,15n068007
prevalence_01,15n089064
prevalence_01,15n033851
prevalence_01,15n050268
prevalence_01,15n093576
prevalence_01,14n08510
prevalence_01,15n163303
prevalence_01,15n159774
prevalence_01,15n012482
prevalence_01,15n062696
prevalence_01,15n140634
prevalence_01,15a83944
prevalence_01,15n031888
prevalence_01,15n160317
prevalence_01,15n012301
prevalence_01,15n031211
prevalence_01,15n127574
prevalence_01,15n163311
prevalence_01,15n143746
prevalence_01,15n135916
prevalence_01,15a51218
prevalence_01,15n055602
prevalence_01,15n119483
prevalence_05,15n133220
prevalence_05,15n120245
prevalence_05,15n149746
prevalence_05,15a70723
prevalence_05,15n079830
prevalence_05,15n017253
prevalence_05,15a78797
prevalence_05,14n18082
prevalence_05,15a85000
prevalence_05,15a83101
prevalence_05,15n033851
prevalence_05,15n050268
prevalence_05,15n093576
prevalence_05,14n08510
prevalence_05,15n163303
prevalence_05,15a84561
prevalence_05,15n012482
prevalence_05,15n062696
prevalence_05,15a84530
prevalence_05,15n167197
prevalence_05,15a58615
prevalence_05,15n031888
prevalence_05,15n160317
prevalence_05,15n012301
prevalence_05,15n086622
prevalence_05,15n031211
prevalence_05,15n127574
prevalence_05,15n143746
prevalence_05,15a74186
prevalence_05,15n028042
prevalence_05,15n055602
