encoding,input_family,n_test,unique_tuples,nontrivial_groups,groups_spanning_partitions,validation_seen_in_train_n,test_seen_in_train_n,test_seen_in_train_fraction,test_seen_in_validation_n,test_seen_in_validation_fraction,test_seen_in_train_or_validation_n,test_seen_in_train_or_validation_fraction
source_integer,Alexander,46985,76904,41793,29466,40141,40019,0.8517399169947856,29082,0.618963498989039,40912,0.8707459827604555
source_integer,Jones,46985,149227,65059,40213,30855,30700,0.6534000212833884,14672,0.31226987336383955,32650,0.694902628498457
source_integer,HOMFLY-PT,46985,225449,57177,30792,17757,17422,0.370799191231244,5583,0.11882515696498883,19627,0.4177290624667447
source_integer,Theta,46985,306181,6065,2903,1455,1436,0.030562945620942854,396,0.008428221772906247,1699,0.03616047674789827
source_integer,Khovanov,46985,185947,64579,37429,24809,24626,0.5241247206555284,9702,0.20649143343620305,26802,0.5704373736298819
source_integer,HOMFLY_PT_plus_Theta,46985,306667,6042,2880,1372,1353,0.02879642439076301,319,0.006789400872618921,1613,0.03433010535277216
source_integer,four_view_noKh,46985,306667,6042,2880,1372,1353,0.02879642439076301,319,0.006789400872618921,1613,0.03433010535277216
source_integer,all_five,46985,306676,6036,2877,1372,1350,0.02873257422581675,319,0.006789400872618921,1610,0.0342662551878259
pipeline_float32,Alexander,46985,76904,41793,29466,40141,40019,0.8517399169947856,29082,0.618963498989039,40912,0.8707459827604555
pipeline_float32,Jones,46985,149227,65059,40213,30855,30700,0.6534000212833884,14672,0.31226987336383955,32650,0.694902628498457
pipeline_float32,HOMFLY-PT,46985,225449,57177,30792,17757,17422,0.370799191231244,5583,0.11882515696498883,19627,0.4177290624667447
pipeline_float32,Theta,46985,306181,6065,2903,1455,1436,0.030562945620942854,396,0.008428221772906247,1699,0.03616047674789827
pipeline_float32,Khovanov,46985,185947,64579,37429,24809,24626,0.5241247206555284,9702,0.20649143343620305,26802,0.5704373736298819
pipeline_float32,HOMFLY_PT_plus_Theta,46985,306667,6042,2880,1372,1353,0.02879642439076301,319,0.006789400872618921,1613,0.03433010535277216
pipeline_float32,four_view_noKh,46985,306667,6042,2880,1372,1353,0.02879642439076301,319,0.006789400872618921,1613,0.03433010535277216
pipeline_float32,all_five,46985,306676,6036,2877,1372,1350,0.02873257422581675,319,0.006789400872618921,1610,0.0342662551878259
