variant,knot_id_base
historical_standardized,14n07560
historical_standardized,15n133702
historical_standardized,15n156616
historical_standardized,15n079830
historical_standardized,14n18082
historical_standardized,15n164613
historical_standardized,15a83101
historical_standardized,15n140504
historical_standardized,15n068007
historical_standardized,15n089064
historical_standardized,15n033851
historical_standardized,15n050268
historical_standardized,15n093576
historical_standardized,14n08510
historical_standardized,15n163303
historical_standardized,15n159774
historical_standardized,15n012482
historical_standardized,15n062696
historical_standardized,15n140634
historical_standardized,15a58615
historical_standardized,15n031888
historical_standardized,15n160317
historical_standardized,15n012301
historical_standardized,15n031211
historical_standardized,15n127574
historical_standardized,15n163311
historical_standardized,15n143746
historical_standardized,15n135916
historical_standardized,15a51218
historical_standardized,15n055602
historical_standardized,15n119483
centered_only_stage41,15n133220
centered_only_stage41,15a70723
centered_only_stage41,15a82939
centered_only_stage41,15a78797
centered_only_stage41,15a85000
centered_only_stage41,15a83101
centered_only_stage41,15a76624
centered_only_stage41,15a58638
centered_only_stage41,15a84781
centered_only_stage41,15a68099
centered_only_stage41,15n017635
centered_only_stage41,15n050268
centered_only_stage41,15n093576
centered_only_stage41,15n069290
centered_only_stage41,15n163303
centered_only_stage41,15a85260
centered_only_stage41,15n012482
centered_only_stage41,15a85204
centered_only_stage41,15a85243
centered_only_stage41,15a84776
centered_only_stage41,15a83944
centered_only_stage41,15a58615
centered_only_stage41,15n031888
centered_only_stage41,15a76043
centered_only_stage41,15n160317
centered_only_stage41,15a58616
centered_only_stage41,15n143746
centered_only_stage41,15a51218
centered_only_stage41,15n113543
centered_only_stage41,15a54872
centered_only_stage41,15a83769
centered_only_float64,15n133220
centered_only_float64,15a70723
centered_only_float64,15a82939
centered_only_float64,15a78797
centered_only_float64,15a85000
centered_only_float64,15a83101
centered_only_float64,15a76624
centered_only_float64,15a58638
centered_only_float64,15a84781
centered_only_float64,15a68099
centered_only_float64,15n017635
centered_only_float64,15n050268
centered_only_float64,15n093576
centered_only_float64,15n069290
centered_only_float64,15n163303
centered_only_float64,15a85260
centered_only_float64,15n012482
centered_only_float64,15a85204
centered_only_float64,15a85243
centered_only_float64,15a84776
centered_only_float64,15a83944
centered_only_float64,15a58615
centered_only_float64,15n031888
centered_only_float64,15a76043
centered_only_float64,15n160317
centered_only_float64,15a58616
centered_only_float64,15n143746
centered_only_float64,15a51218
centered_only_float64,15n113543
centered_only_float64,15a54872
centered_only_float64,15a83769
