knot_id_base,W_F,F_rank,F_support,stored_union_diagonal_count,F_tuple_group,F_reflection_orbit,stored_torsion_tuple_group,source_khovanov_id
08_09,2,26,16,2,0,0,1580,08_09
09_41,2,50,18,2,1,1,2643,09_41
10_043,2,74,20,2,2,2,2070,10_043
10_045,2,90,20,2,3,3,2087,10_045
10_059,2,76,20,2,4,4,1192,10_059
10_081,2,86,20,2,5,5,2072,10_081
10_106,2,76,20,2,4,4,1192,10_106
10_137,2,26,16,2,6,6,751,10_137
11a005,2,126,22,2,7,7,2649,11a005
11a044,2,118,22,2,8,8,2077,11a044
11a047,2,118,22,2,8,8,2077,11a047
11a057,2,100,22,2,9,9,3187,11a057
11a112,2,126,22,2,7,7,2649,11a112
11a231,2,100,22,2,9,9,3187,11a231
11n073,3,26,21,3,10,10,1649,11n073
11n074,3,26,21,3,10,10,1649,11n074
12a0030,2,190,24,2,11,11,3285,12a0030
12a0033,2,190,24,2,11,11,3285,12a0033
12a0122,2,172,24,2,12,12,3753,12a0122
12a0164,2,172,24,2,13,13,1227,12a0164
12a0166,2,172,24,2,13,13,1227,12a0166
12a0167,2,154,24,2,14,14,5008,12a0167
12a0182,2,172,24,2,12,12,3753,12a0182
12a0273,2,206,24,2,15,15,2667,12a0273
12a0341,2,230,24,2,16,16,2676,12a0341
12a0427,2,226,24,2,17,17,2675,12a0427
12a0435,2,226,24,2,17,17,2675,12a0435
12a0458,2,290,24,2,18,18,2768,12a0458
12a0510,2,194,24,2,19,19,2665,12a0510
12a0572,2,176,24,2,20,20,1194,12a0572
12a0627,2,230,24,2,16,16,2676,12a0627
12a0692,2,154,24,2,14,14,5008,12a0692
12a0821,2,194,24,2,19,19,2665,12a0821
12a0887,2,290,24,2,18,18,2768,12a0887
12a0890,2,206,24,2,15,15,2667,12a0890
12a0920,2,126,24,2,21,21,939,12a0920
12a0921,2,176,24,2,22,22,1226,12a0921
12a0990,2,226,24,2,17,17,2675,12a0990
12a1225,2,226,24,2,17,17,2675,12a1225
12n056,3,42,28,3,23,23,3234,12n056
12n057,3,42,28,3,23,23,3234,12n057
12n060,2,100,20,2,24,24,1691,12n060
12n061,2,100,20,2,24,24,1691,12n061
12n062,2,82,20,2,25,25,1153,12n062
12n066,2,82,20,2,25,25,1153,12n066
12n144,2,76,20,2,26,26,4287,12n144
12n360,2,50,18,2,27,27,755,12n360
12n369,2,76,20,2,4,4,1192,12n369
12n507,2,76,20,2,26,26,4287,12n507
12n605,3,42,28,3,28,28,2635,12n605
12n767,2,76,20,2,26,26,4287,12n767
12n768,2,26,17,2,29,29,3867,12n768
13a0104,2,280,26,2,30,30,1697,13a0104
13a0107,2,280,26,2,30,30,1697,13a0107
13a0136,2,392,26,2,31,31,1261,13a0136
13a0137,2,402,26,2,32,32,635,13a0137
13a0141,2,390,26,2,33,33,3443,13a0141
13a0142,2,390,26,2,33,33,3443,13a0142
13a0150,2,298,26,2,34,34,348,13a0150
13a0154,2,298,26,2,34,34,348,13a0154
13a0157,2,298,26,2,35,35,593,13a0157
13a0160,2,298,26,2,35,35,593,13a0160
13a0194,2,392,26,2,31,31,1261,13a0194
13a0196,2,402,26,2,32,32,635,13a0196
13a0199,2,392,26,2,36,36,4393,13a0199
13a0204,2,392,26,2,36,36,4393,13a0204
13a0290,2,326,26,2,37,37,2692,13a0290
13a0316,2,352,26,2,38,38,4357,13a0316
13a0336,2,326,26,2,37,37,2692,13a0336
13a0349,2,352,26,2,38,38,4357,13a0349
13a0361,2,352,26,2,39,39,1804,13a0361
13a0384,2,326,26,2,40,40,3397,13a0384
13a0395,2,352,26,2,39,39,1804,13a0395
13a0412,2,326,26,2,40,40,3397,13a0412
13a0413,2,244,26,2,41,41,1709,13a0413
13a0414,2,226,26,2,42,42,2078,13a0414
13a0471,2,374,26,2,43,43,2701,13a0471
13a0480,2,298,26,2,44,44,620,13a0480
13a0481,2,298,26,2,44,44,620,13a0481
13a0482,2,244,26,2,45,45,3756,13a0482
13a0483,2,374,26,2,43,43,2701,13a0483
13a0485,2,244,26,2,45,45,3756,13a0485
13a0518,2,368,26,2,46,46,1255,13a0518
13a0530,2,368,26,2,46,46,1255,13a0530
13a0549,2,226,26,2,47,47,3361,13a0549
13a0555,2,262,26,2,48,48,2678,13a0555
13a0556,2,226,26,2,47,47,3361,13a0556
13a0557,2,208,26,2,49,49,1700,13a0557
13a0558,2,262,26,2,50,50,2101,13a0558
13a0636,2,154,26,2,51,51,4667,13a0636
13a0637,2,244,26,2,52,52,4294,13a0637
13a0638,2,208,26,2,53,53,4310,13a0638
13a0664,2,262,26,2,48,48,2678,13a0664
13a0906,2,244,26,2,54,54,3758,13a0906
13a0916,2,244,26,2,54,54,3758,13a0916
13a0947,2,334,26,2,55,55,2683,13a0947
13a0948,2,316,26,2,56,56,3774,13a0948
13a0967,2,374,26,2,43,43,2701,13a0967
13a0994,2,190,26,2,57,57,4668,13a0994
13a0995,2,244,26,2,58,58,1702,13a0995
13a1058,2,260,26,2,59,59,4296,13a1058
13a1059,2,374,26,2,43,43,2701,13a1059
13a1114,2,372,26,2,60,60,1784,13a1114
13a1123,2,330,26,2,61,61,977,13a1123
13a1126,2,332,26,2,62,62,4325,13a1126
13a1143,2,372,26,2,60,60,1784,13a1143
13a1163,2,332,26,2,62,62,4325,13a1163
13a1231,2,208,26,2,63,63,3754,13a1231
13a1232,2,262,26,2,64,64,3301,13a1232
13a1237,2,208,26,2,63,63,3754,13a1237
13a1238,2,262,26,2,64,64,3301,13a1238
13a1316,2,316,26,2,65,65,1773,13a1316
13a1392,2,226,26,2,42,42,2078,13a1392
13a1394,2,330,26,2,61,61,977,13a1394
13a1459,2,226,26,2,66,66,2654,13a1459
13a1486,2,334,26,2,67,67,2693,13a1486
13a1604,2,316,26,2,68,68,3777,13a1604
13a1638,2,172,26,2,69,69,3188,13a1638
13a1662,2,406,26,2,70,70,2778,13a1662
13a1781,2,334,26,2,71,71,2769,13a1781
13a1813,2,316,26,2,72,72,1853,13a1813
13a1816,2,334,26,2,71,71,2769,13a1816
13a1821,2,276,26,2,73,73,2383,13a1821
13a1831,2,316,26,2,72,72,1853,13a1831
13a1990,2,348,26,2,74,74,2396,13a1990
13a1991,2,350,26,2,75,75,3381,13a1991
13a1993,2,334,26,2,76,76,2729,13a1993
13a1995,2,280,26,2,77,77,1204,13a1995
13a1996,2,316,26,2,78,78,3779,13a1996
13a2006,2,280,26,2,77,77,1204,13a2006
13a2020,2,348,26,2,74,74,2396,13a2020
13a2021,2,350,26,2,75,75,3381,13a2021
13a2022,2,316,26,2,78,78,3779,13a2022
13a2024,2,334,26,2,76,76,2729,13a2024
13a2283,2,226,26,2,79,79,2650,13a2283
13a2404,2,316,26,2,80,80,1777,13a2404
13a2407,2,334,26,2,81,81,2699,13a2407
13a2613,2,244,26,2,41,41,1709,13a2613
13a2614,2,208,26,2,49,49,1700,13a2614
13a2615,2,262,26,2,50,50,2101,13a2615
13a2616,2,154,26,2,51,51,4667,13a2616
13a2617,2,244,26,2,52,52,4294,13a2617
13a2618,2,208,26,2,53,53,4310,13a2618
13a2656,2,334,26,2,81,81,2699,13a2656
13a2720,2,244,26,2,82,82,1237,13a2720
13a2727,2,244,26,2,82,82,1237,13a2727
13a2800,2,262,26,2,83,83,3945,13a2800
13a2801,2,262,26,2,83,83,3945,13a2801
13a2802,2,334,26,2,84,84,2694,13a2802
13a2808,2,334,26,2,84,84,2694,13a2808
13a2929,2,316,26,2,80,80,1777,13a2929
13a3034,2,406,26,2,70,70,2778,13a3034
13a3035,2,190,26,2,57,57,4668,13a3035
13a3037,2,334,26,2,55,55,2683,13a3037
13a3039,2,244,26,2,58,58,1702,13a3039
13a3041,2,316,26,2,56,56,3774,13a3041
13a3043,2,334,26,2,67,67,2693,13a3043
13a3048,2,316,26,2,65,65,1773,13a3048
13a3058,2,316,26,2,68,68,3777,13a3058
13a3071,2,226,26,2,66,66,2654,13a3071
13a3072,2,172,26,2,69,69,3188,13a3072
13a3227,2,276,26,2,85,85,2303,13a3227
13a3238,2,298,26,2,86,86,974,13a3238
13a3246,2,276,26,2,85,85,2303,13a3246
13a3254,2,298,26,2,86,86,974,13a3254
13a3258,2,298,26,2,87,87,3302,13a3258
13a3271,2,276,26,2,88,88,1705,13a3271
13a3279,2,298,26,2,87,87,3302,13a3279
13a3286,2,276,26,2,88,88,1705,13a3286
13a3317,2,300,26,2,89,89,2391,13a3317
13a3320,2,300,26,2,89,89,2391,13a3320
13a3331,2,294,26,2,90,90,1041,13a3331
13a3335,2,294,26,2,90,90,1041,13a3335
13a3363,2,444,26,2,91,91,4394,13a3363
13a3365,2,444,26,2,91,91,4394,13a3365
13a3388,2,446,26,2,92,92,2788,13a3388
13a3390,2,446,26,2,92,92,2788,13a3390
13a3395,2,444,26,2,91,91,4394,13a3395
13a3396,2,444,26,2,91,91,4394,13a3396
13a3400,2,446,26,2,92,92,2788,13a3400
13a3401,2,446,26,2,92,92,2788,13a3401
13a3548,2,276,26,2,93,93,4313,13a3548
13a3549,2,226,26,2,94,94,3942,13a3549
13n0331,2,238,22,2,95,95,2689,13n0331
13n0332,3,96,31,3,96,96,206,13n0332
13n0346,2,220,22,2,97,97,1771,13n0346
13n0347,3,126,31,3,98,98,604,13n0347
13n0348,3,98,21,3,99,99,2333,13n0348
13n0351,2,170,22,2,100,100,1601,13n0351
13n0352,3,144,27,3,101,101,882,13n0352
13n0355,2,122,20,2,102,102,3338,13n0355
13n0357,2,192,22,2,103,103,817,13n0357
13n0358,3,122,31,3,104,104,1655,13n0358
13n0370,2,158,22,2,105,105,608,13n0370
13n0371,2,216,22,2,106,106,854,13n0371
13n0372,3,82,31,3,107,107,1667,13n0372
13n0373,2,158,22,2,105,105,608,13n0373
13n0374,2,216,22,2,106,106,854,13n0374
13n0375,3,82,31,3,107,107,1667,13n0375
13n0403,2,82,20,2,108,108,3921,13n0403
13n0404,2,136,22,2,109,109,508,13n0404
13n0405,3,98,27,3,110,110,2195,13n0405
13n0406,2,172,22,2,111,111,1198,13n0406
13n0407,3,78,30,3,112,112,927,13n0407
13n0415,2,82,20,2,108,108,3921,13n0415
13n0416,2,136,22,2,109,109,508,13n0416
13n0417,3,98,27,3,110,110,2195,13n0417
13n0418,2,172,22,2,111,111,1198,13n0418
13n0419,3,78,30,3,112,112,927,13n0419
13n0422,2,100,20,2,113,113,1218,13n0422
13n0423,2,100,20,2,113,113,1218,13n0423
13n0426,2,118,20,2,114,114,2158,13n0426
13n0427,2,118,20,2,114,114,2158,13n0427
13n0430,3,78,30,3,115,115,588,13n0430
13n0431,3,78,30,3,115,115,588,13n0431
13n0434,2,172,22,2,116,116,1701,13n0434
13n0435,2,172,22,2,116,116,1701,13n0435
13n0436,2,82,20,2,117,117,3273,13n0436
13n0439,2,136,22,2,118,118,780,13n0439
13n0440,3,98,27,3,119,119,1651,13n0440
13n0447,2,82,20,2,117,117,3273,13n0447
13n0448,2,136,22,2,118,118,780,13n0448
13n0449,3,98,27,3,119,119,1651,13n0449
13n0510,3,98,21,3,99,99,2333,13n0510
13n0513,2,170,22,2,100,100,1601,13n0513
13n0514,3,144,27,3,101,101,882,13n0514
13n0518,2,122,20,2,102,102,3338,13n0518
13n0520,2,192,22,2,103,103,817,13n0520
13n0521,3,122,31,3,104,104,1655,13n0521
13n0527,2,238,22,2,95,95,2689,13n0527
13n0528,3,96,31,3,96,96,206,13n0528
13n0532,2,220,22,2,97,97,1771,13n0532
13n0533,3,126,31,3,98,98,604,13n0533
13n0534,2,144,22,2,120,120,222,13n0534
13n0535,2,206,22,2,121,121,1638,13n0535
13n0536,3,92,31,3,122,122,890,13n0536
13n0549,2,144,22,2,120,120,222,13n0549
13n0550,2,206,22,2,121,121,1638,13n0550
13n0551,3,92,31,3,122,122,890,13n0551
13n0561,2,76,20,2,123,123,2260,13n0561
13n0602,2,46,18,2,124,124,145,13n0602
13n0603,2,46,18,2,124,124,145,13n0603
13n0607,2,64,18,2,125,125,841,13n0607
13n0608,2,64,18,2,125,125,841,13n0608
13n0611,3,26,22,3,126,126,766,13n0611
13n0612,3,26,22,3,126,126,766,13n0612
13n0617,2,118,22,2,127,127,3278,13n0617
