scope,input_family,tuple_group,n_knots,n_pairs,n_width_values,n_free_reflection_orbits,width_diff_pairs,F_diff_mod_reflection_pairs,F_reflection_only_pairs,stored_torsion_direct_diff_pairs
test,HOMFLY_PT_plus_Theta,309,3,3,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,2828,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,3559,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,4265,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,5840,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,6247,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,14222,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,15719,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,17561,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,20236,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,24892,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,25558,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,25630,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,26911,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,27266,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,28320,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,30094,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,36567,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,38819,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,38908,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,40621,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,41577,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,42035,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,42270,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,43054,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,44011,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,44553,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,45025,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,47150,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,48427,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,48519,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,49862,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,51106,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,51291,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,51444,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,52032,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,52091,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,52397,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,56339,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,57071,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,58983,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,59189,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,62198,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,67809,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,68207,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,70717,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,71327,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,80325,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,83126,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,85231,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,88573,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,88693,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,89873,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,91460,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,92813,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,93371,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,95295,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,100319,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,102803,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,103034,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,103204,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,103659,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,104384,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,109076,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,110351,3,3,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,113128,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,113858,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,115684,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,116945,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,117092,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,123107,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,125512,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,128059,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,132208,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,133764,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,134167,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,135434,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,135530,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,137648,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,138779,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,139599,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,145435,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,145805,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,146150,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,146952,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,147655,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,149724,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,150048,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,150723,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,151141,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,153381,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,154250,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,157599,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,157974,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,158298,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,158487,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,158595,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,158668,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,159277,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,160754,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,162076,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,162532,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,164652,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,167877,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,170655,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,172723,2,1,1,1,0,0,0,0
