scope,input_family,tuple_group,knot_id_base,split,W_F,F_rank,F_support,stored_union_diagonal_count,F_tuple_group,F_reflection_orbit,stored_torsion_tuple_group
test,HOMFLY_PT_plus_Theta,309,15a58293,test,2,876,30,2,2352,2330,4410
test,HOMFLY_PT_plus_Theta,309,15a58317,test,2,876,30,2,2352,2330,4410
test,HOMFLY_PT_plus_Theta,309,15a59121,test,2,876,30,2,2352,2330,4410
test,HOMFLY_PT_plus_Theta,2828,15n012782,test,2,406,26,2,3171,3140,2180
test,HOMFLY_PT_plus_Theta,2828,15n012783,test,2,406,26,2,3171,3140,2180
test,HOMFLY_PT_plus_Theta,3559,15n005510,test,2,382,26,2,2728,2702,172
test,HOMFLY_PT_plus_Theta,3559,15n005625,test,2,382,26,2,2728,2702,172
test,HOMFLY_PT_plus_Theta,4265,15n024139,test,3,160,23,3,3547,3506,477
test,HOMFLY_PT_plus_Theta,4265,15n024702,test,3,160,23,3,3547,3506,477
test,HOMFLY_PT_plus_Theta,5840,15a15244,test,2,868,30,2,1521,1506,1914
test,HOMFLY_PT_plus_Theta,5840,15a15519,test,2,868,30,2,1521,1506,1914
test,HOMFLY_PT_plus_Theta,6247,15n143171,test,3,150,32,3,5509,5412,2159
test,HOMFLY_PT_plus_Theta,6247,15n162121,test,3,150,32,3,5509,5412,2159
test,HOMFLY_PT_plus_Theta,14222,15n134415,test,2,526,26,2,5468,5375,3638
test,HOMFLY_PT_plus_Theta,14222,15n134426,test,2,526,26,2,5468,5375,3638
test,HOMFLY_PT_plus_Theta,15719,15a33441,test,2,838,30,2,1949,1933,3509
test,HOMFLY_PT_plus_Theta,15719,15a51734,test,2,838,30,2,1949,1933,3509
test,HOMFLY_PT_plus_Theta,17561,15a15574,test,2,818,30,2,1526,1511,3484
test,HOMFLY_PT_plus_Theta,17561,15a18847,test,2,818,30,2,1526,1511,3484
test,HOMFLY_PT_plus_Theta,20236,15n007462,test,3,274,36,3,2877,2849,2221
test,HOMFLY_PT_plus_Theta,20236,15n010119,test,3,274,36,3,2877,2849,2221
test,HOMFLY_PT_plus_Theta,24892,15a35546,test,2,730,30,2,1977,1960,2728
test,HOMFLY_PT_plus_Theta,24892,15a39075,test,2,730,30,2,1977,1960,2728
test,HOMFLY_PT_plus_Theta,25558,12a0341,test,2,230,24,2,16,16,2676
test,HOMFLY_PT_plus_Theta,25558,12a0627,test,2,230,24,2,16,16,2676
test,HOMFLY_PT_plus_Theta,25630,14n14688,test,2,140,24,2,913,903,2611
test,HOMFLY_PT_plus_Theta,25630,14n15695,test,2,140,24,2,913,903,2611
test,HOMFLY_PT_plus_Theta,26911,14n07586,test,2,154,23,2,807,799,73
test,HOMFLY_PT_plus_Theta,26911,14n07678,test,2,154,23,2,807,799,73
test,HOMFLY_PT_plus_Theta,27266,14n10002,test,3,126,34,3,838,830,3266
test,HOMFLY_PT_plus_Theta,27266,14n11740,test,3,126,34,3,838,830,3266
test,HOMFLY_PT_plus_Theta,28320,15n118606,test,3,120,33,3,5250,5167,1415
test,HOMFLY_PT_plus_Theta,28320,15n118622,test,3,120,33,3,5250,5167,1415
test,HOMFLY_PT_plus_Theta,30094,15n081070,test,2,454,26,2,4774,4698,3426
test,HOMFLY_PT_plus_Theta,30094,15n115354,test,2,454,26,2,4774,4698,3426
test,HOMFLY_PT_plus_Theta,36567,15n139491,test,3,174,34,3,5505,5408,5328
test,HOMFLY_PT_plus_Theta,36567,15n141943,test,3,174,34,3,5505,5408,5328
test,HOMFLY_PT_plus_Theta,38819,15n027736,test,3,158,31,3,3655,3612,677
test,HOMFLY_PT_plus_Theta,38819,15n029728,test,3,158,31,3,3655,3612,677
test,HOMFLY_PT_plus_Theta,38908,14n07576,test,2,334,24,2,804,796,2700
test,HOMFLY_PT_plus_Theta,38908,14n07676,test,2,334,24,2,804,796,2700
test,HOMFLY_PT_plus_Theta,40621,15n060513,test,2,226,24,2,4380,4311,1467
test,HOMFLY_PT_plus_Theta,40621,15n062811,test,2,226,24,2,4380,4311,1467
test,HOMFLY_PT_plus_Theta,41577,15n123194,test,3,282,37,3,5307,5220,4648
test,HOMFLY_PT_plus_Theta,41577,15n123196,test,3,282,37,3,5307,5220,4648
test,HOMFLY_PT_plus_Theta,42035,13n1693,test,2,76,20,2,123,123,2260
test,HOMFLY_PT_plus_Theta,42035,14n08782,test,2,76,20,2,123,123,2260
test,HOMFLY_PT_plus_Theta,42270,14n02926,test,3,66,30,3,632,629,2232
test,HOMFLY_PT_plus_Theta,42270,14n03510,test,3,66,30,3,632,629,2232
test,HOMFLY_PT_plus_Theta,43054,15n099361,test,2,316,26,2,5070,4988,4446
test,HOMFLY_PT_plus_Theta,43054,15n099473,test,2,316,26,2,5070,4988,4446
test,HOMFLY_PT_plus_Theta,44011,15n037024,test,2,298,26,2,3901,3845,1607
test,HOMFLY_PT_plus_Theta,44011,15n037092,test,2,298,26,2,3901,3845,1607
test,HOMFLY_PT_plus_Theta,44553,15n041330,test,2,262,26,2,4067,4009,5235
test,HOMFLY_PT_plus_Theta,44553,15n109474,test,2,262,26,2,4067,4009,5235
test,HOMFLY_PT_plus_Theta,45025,15n058537,test,2,406,26,2,4342,4274,2780
test,HOMFLY_PT_plus_Theta,45025,15n109517,test,2,406,26,2,4342,4274,2780
test,HOMFLY_PT_plus_Theta,47150,14n13439,test,3,124,31,3,869,860,3864
test,HOMFLY_PT_plus_Theta,47150,14n18900,test,3,124,31,3,869,860,3864
test,HOMFLY_PT_plus_Theta,48427,15n004801,test,2,262,22,2,2665,2639,2861
test,HOMFLY_PT_plus_Theta,48427,15n005021,test,2,262,22,2,2665,2639,2861
test,HOMFLY_PT_plus_Theta,48519,15n032755,test,2,262,26,2,3811,3755,4008
test,HOMFLY_PT_plus_Theta,48519,15n032756,test,2,262,26,2,3811,3755,4008
test,HOMFLY_PT_plus_Theta,49862,15n077963,test,3,180,37,3,4725,4651,4491
test,HOMFLY_PT_plus_Theta,49862,15n083112,test,3,180,37,3,4725,4651,4491
test,HOMFLY_PT_plus_Theta,51106,15n008509,test,2,280,26,2,2968,2940,4723
test,HOMFLY_PT_plus_Theta,51106,15n008522,test,2,280,26,2,2968,2940,4723
test,HOMFLY_PT_plus_Theta,51291,15n001215,test,2,324,24,2,2547,2521,575
test,HOMFLY_PT_plus_Theta,51291,15n001321,test,2,324,24,2,2547,2521,575
test,HOMFLY_PT_plus_Theta,51444,15a50336,test,2,550,30,2,2226,2206,2786
test,HOMFLY_PT_plus_Theta,51444,15a50415,test,2,550,30,2,2226,2206,2786
test,HOMFLY_PT_plus_Theta,52032,15a18468,test,2,1054,30,2,1594,1579,3630
test,HOMFLY_PT_plus_Theta,52032,15a21121,test,2,1054,30,2,1594,1579,3630
test,HOMFLY_PT_plus_Theta,52091,13n1654,test,2,154,22,2,164,164,4996
test,HOMFLY_PT_plus_Theta,52091,13n1684,test,2,154,22,2,164,164,4996
test,HOMFLY_PT_plus_Theta,52397,15a03832,test,2,638,30,2,1150,1139,4089
test,HOMFLY_PT_plus_Theta,52397,15a04453,test,2,638,30,2,1150,1139,4089
test,HOMFLY_PT_plus_Theta,56339,15n039485,test,3,184,35,3,3975,3918,895
test,HOMFLY_PT_plus_Theta,56339,15n039936,test,3,184,35,3,3975,3918,895
test,HOMFLY_PT_plus_Theta,57071,15n009398,test,3,128,37,3,3050,3022,903
test,HOMFLY_PT_plus_Theta,57071,15n011146,test,3,128,37,3,3050,3022,903
test,HOMFLY_PT_plus_Theta,58983,15n080199,test,3,170,34,3,4751,4675,3900
test,HOMFLY_PT_plus_Theta,58983,15n115332,test,3,170,34,3,4751,4675,3900
test,HOMFLY_PT_plus_Theta,59189,15n039209,test,2,356,24,2,3930,3874,2509
test,HOMFLY_PT_plus_Theta,59189,15n039413,test,2,356,24,2,3930,3874,2509
test,HOMFLY_PT_plus_Theta,62198,15a02612,test,2,900,30,2,1108,1097,5215
test,HOMFLY_PT_plus_Theta,62198,15a02728,test,2,900,30,2,1108,1097,5215
test,HOMFLY_PT_plus_Theta,67809,15n023682,test,3,178,35,3,3530,3489,3989
test,HOMFLY_PT_plus_Theta,67809,15n023798,test,3,178,35,3,3530,3489,3989
test,HOMFLY_PT_plus_Theta,68207,15a28432,test,2,984,30,2,1844,1828,2565
test,HOMFLY_PT_plus_Theta,68207,15a30797,test,2,984,30,2,1844,1828,2565
test,HOMFLY_PT_plus_Theta,70717,15a63324,test,2,926,30,2,2173,2154,4214
test,HOMFLY_PT_plus_Theta,70717,15a63951,test,2,926,30,2,2173,2154,4214
test,HOMFLY_PT_plus_Theta,71327,15n100523,test,2,328,24,2,5128,5045,5137
test,HOMFLY_PT_plus_Theta,71327,15n101203,test,2,328,24,2,5128,5045,5137
